full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
Mike Quigley,-17005,healthcare,1,"Quigley co-sponsored the Medicare for All Act of 2021, which would provide comprehensive benefits to every American through a fully public system. He has consistently voted against ACA repeal and opposed Medicare privatization, aligning with stance 1: make healthcare free and available to everyone paid for and run by the public sector.",https://en.wikipedia.org/wiki/Mike_Quigley_(politician),https://www.ontheissues.org/IL/Mike_Quigley.htm,,,
Mike Quigley,-17005,abortion,2,"Quigley co-sponsored the Women's Health Protection Act banning state-level restrictions on abortion services, voted NO on the No Taxpayer Funding for Abortion Act (2011 and 2015), and backed the MARCH for Military Women Act allowing military abortion access in rape/incest cases. His record broadly supports keeping abortion legal and accessible, consistent with stance 2.",https://www.ontheissues.org/IL/Mike_Quigley_Abortion.htm,https://en.wikipedia.org/wiki/Mike_Quigley_(politician),,,
Mike Quigley,-17005,campaign-finance,2,"Quigley co-sponsored the DISCLOSE Act (2012, 2013) requiring disclosure of corporate and dark money political spending, the Government by the People Act (2014) with a citizen voucher and federal matching fund system, and the For the People Act (2021) with small-donor matching. He supports a constitutional amendment overturning Citizens United, consistent with stance 2: strictly limit corporate donations and dark money groups.",https://www.ontheissues.org/IL/Mike_Quigley_Government_Reform.htm,https://www.ontheissues.org/IL/Mike_Quigley_Corporations.htm,,Corporate political spending is not free speech,Corporate political spending is not free speech
Mike Quigley,-17005,civil-rights,2,"Quigley co-sponsored the Employment Non-Discrimination Act (ENDA) covering sexual orientation and gender identity, voted YES on the Violence Against Women Act reauthorization, supported the Equal Rights Amendment multiple times, and backed enforcement of anti-discrimination rules in federally funded schools. His record reflects stance 2: strengthen civil rights enforcement and address systemic discrimination.",https://www.ontheissues.org/IL/Mike_Quigley_Civil_Rights.htm,https://www.ontheissues.org/IL/Mike_Quigley.htm,,,
Mike Quigley,-17005,climate-change,2,"Quigley carries a 98% lifetime LCV score and a perfect 100% in 2025. He voted for the Inflation Reduction Act's climate investments (double-weighted), supported the American Clean Energy and Security Act (2009), endorses 50% clean electricity by 2030, and backs Green New Deal mobilization. This aligns with stance 2: rapidly transition to renewable energy and phase out fossil fuels by 2030.",https://www.lcv.org/congressional-scorecard/moc/mike-quigley/1222,https://www.ontheissues.org/IL/Mike_Quigley.htm,https://en.wikipedia.org/wiki/Mike_Quigley_(politician),,
Mike Quigley,-17005,deportation,2,"Quigley has consistently voted to protect long-term undocumented residents: supported the DREAM Act allowing DREAMers to pursue legal status, co-sponsored the Fair Day in Court for Kids Act providing legal counsel to children in removal proceedings, and backed the NO BAN Act prohibiting religion-based immigration restrictions. His record centers on protecting most undocumented residents from removal, aligning with stance 2: only deport people convicted of serious violent crimes.",https://www.ontheissues.org/IL/Mike_Quigley_Immigration.htm,https://www.ontheissues.org/IL/Mike_Quigley.htm,,,
Mike Quigley,-17005,fossil-fuels,2,"Quigley consistently voted against new fossil fuel extraction: opposed opening the Arctic National Wildlife Refuge to drilling, voted against blocking fracking bans in the Delaware River Basin (2024), and opposed measures rolling back methane polluter fees (2025). His LCV 98% lifetime score reflects sustained opposition to new drilling permits, aligning with stance 2: stop issuing new permits for fossil fuel drilling.",https://www.lcv.org/congressional-scorecard/moc/mike-quigley/1222,https://www.ontheissues.org/IL/Mike_Quigley.htm,,,
Mike Quigley,-17005,immigration,2,"Quigley supports expanded legal immigration pathways (50,000 new STEM visas via the Attracting the Best and Brightest Act), increased family-based visa caps, DREAMer legalization, and opposes religion-based immigration bans (NO BAN Act). He favors keeping legal immigration open and extending protections to long-term undocumented residents, consistent with stance 2: keep legal immigration open and let most residents use public services regardless of legal status.",https://www.ontheissues.org/IL/Mike_Quigley_Immigration.htm,https://www.ontheissues.org/IL/Mike_Quigley.htm,,,
Mike Quigley,-17005,medicare/aid,1,"Quigley co-sponsored the Medicare for All Act of 2021, which would expand Medicare to provide comprehensive coverage to every American regardless of age. He also voted NO on the Ryan Budget that would have partially privatized Medicare. His co-sponsorship of Medicare for All places him squarely at stance 1: expand Medicare to cover everyone regardless of age.",https://en.wikipedia.org/wiki/Mike_Quigley_(politician),https://www.ontheissues.org/IL/Mike_Quigley.htm,,,
Mike Quigley,-17005,redistricting,1,"Quigley co-sponsored the For the People Act (H.R.1, 2019 and 2021), which requires every state to establish an independent, nonpartisan redistricting commission to replace partisan legislative map-drawing for congressional districts. This aligns with stance 1: independent citizens' commissions with no elected officials involved at any level.",https://www.ontheissues.org/IL/Mike_Quigley_Government_Reform.htm,https://en.wikipedia.org/wiki/Mike_Quigley_(politician),,,
