external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-44001,Gabe Amo,ukraine-support,2,"Voted in favor of all three military aid supplemental packages for Ukraine, Israel, and Taiwan in April 2024, aligning with the bipartisan majority. Membership in the Congressional Ukraine Caucus further documents his commitment to continued U.S. support for Ukraine.",https://en.wikipedia.org/wiki/Gabe_Amo,,,,
-44001,Gabe Amo,abortion,2,"Made protecting abortion rights a central campaign priority in his 2023 special election. As a moderate Democrat who defeated a progressive challenger, his stated position aligns with keeping abortion legal and accessible through the second trimester, consistent with the Women's Health Protection Act position held by most House Democrats.",https://en.wikipedia.org/wiki/Gabe_Amo,,,,
-44001,Gabe Amo,social-security,3,"Ran explicitly on protecting Social Security in his 2023 campaign. The framing of 'protecting' rather than expanding or overhauling the program aligns with the stance of maintaining current programs while making small adjustments for stability, rather than either significant expansion or privatization.",https://en.wikipedia.org/wiki/Gabe_Amo,,,,
-44001,Gabe Amo,medicare/aid,3,"Ran explicitly on protecting Medicare in his 2023 campaign, mirroring his Social Security framing. Protecting existing programs (not expanding to cover everyone and not privatizing) aligns with improving current programs while controlling costs.",https://en.wikipedia.org/wiki/Gabe_Amo,,,,
-33002,Maggie Goodlander,abortion,2,"Goodlander has publicly cited the experience of delivering her own stillborn baby as inspiring her to campaign for abortion rights, emphasizing that delayed access to care caused preventable harm. Her campaign framing — keeping abortion legal and accessible — aligns with preserving access through the second trimester. She has not called for public funding of abortion at all stages.",https://en.wikipedia.org/wiki/Maggie_Goodlander,https://www.nhpr.org/nh-news/2024-09-13/inside-connections-outside-money-how-goodlander-swept-to-big-primary-win,,,
-33002,Maggie Goodlander,taxes,2,"Goodlander explicitly opposes extending Trump-era tax cuts and stated the cuts were designed to benefit corporations and the ultra-wealthy. She advocates that the wealthy should pay their fair share, which aligns with modestly raising taxes on high earners.",https://www.nhpr.org/morning-edition/2024-10-17/conversations-with-the-candidates-democratic-nominee-for-cd2-maggie-goodlander,,,"His tax policy has been designed to benefit the biggest corporations and the ultra wealthy, and I believe we should not extend that tax policy.","Tax policy has been designed to benefit the biggest corporations and the ultra wealthy, and I believe we should not extend that tax policy."
-33002,Maggie Goodlander,medicare/aid,3,"Goodlander attacked her opponent for wanting to 'gut Medicare' and 'end Social Security as we know it,' signaling she opposes cuts. However, she has not called for expanding Medicare to cover all ages or significantly lowering eligibility — her stated position is defending and improving the existing programs, aligning with improving current programs while controlling costs.",https://www.nhpr.org/nh-news/2024-10-07/in-race-for-congress-williams-and-goodlander-say-dc-needs-what-they-got,,,"I'm running against an opponent who would end Social Security as we know it, would gut Medicare","I'm running against an opponent who would end Social Security as we know it, would gut Medicare"
-33002,Maggie Goodlander,social-security,3,Goodlander framed her candidacy in part around defending Social Security against an opponent she accused of wanting to end it. She has not proposed significant benefit expansions or removing the payroll tax income cap — her documented stance is defending the existing program rather than substantially expanding it.,https://www.nhpr.org/nh-news/2024-10-07/in-race-for-congress-williams-and-goodlander-say-dc-needs-what-they-got,,,,
-33002,Maggie Goodlander,housing,3,"At the October 2024 CD2 forum, Goodlander called for building 60,000 new homes in New Hampshire by 2030 through local zoning reforms and federal infrastructure investment in water and sewage, building on the Bipartisan Infrastructure Law. This is a targeted investment and permitting approach rather than public housing construction or rent caps.",https://www.nhpr.org/nh-news/2024-10-28/goodlander-tang-williams-debate-housing-taxes-gun-safety-in-cd2-forum,,,"We need local zoning law reforms... We need to build 60,000 new homes in the state of New Hampshire by 2030, so that's going to take real investments in water and in sewage.","We need local zoning law reforms... We need to build 60,000 new homes in the state by 2030, so that's going to take real investments in water and in sewage."
-33002,Maggie Goodlander,childcare,2,Goodlander identified childcare deserts affecting roughly half of New Hampshire's population as a priority issue and called for expanding child tax credits to address affordability. Expanding tax credits and subsidies for low- and middle-income families places her at chair 2 (significantly expanding subsidies and provider grants).,https://www.nhpr.org/morning-edition/2024-10-17/conversations-with-the-candidates-democratic-nominee-for-cd2-maggie-goodlander,,,,
