full_name,politician_id,topic_key,value,reasoning
Karen Kwan,93376853-c225-430c-bf89-dfee26c6c964,abortion,1,"Voted against Utah's abortion trigger law (SB174) and HJR02 throughout her House and Senate tenure; her Democratic caucus explicitly opposed the trigger ban and framed it as denying access to life-saving medical care. With 97-100% party loyalty and no record of any deviation on reproductive rights, her position aligns with the full spectrum of abortion access. — best matches stance 1 (ensure abortion is legal, accessible, and publicly funded at all stages of pregnancy)."
Karen Kwan,93376853-c225-430c-bf89-dfee26c6c964,same-sex-marriage,1,"Sponsored the Equal Rights Amendment ratification resolution in 2020 and consistently advocates for 'equality for all Utahns'; her official biography emphasizes promoting equality and justice for all. With 97-100% party loyalty, she aligns with full federal marriage equality protections. — best matches stance 1 (require all states to recognize same-sex marriages and provide full federal benefits and protections)."
Karen Kwan,93376853-c225-430c-bf89-dfee26c6c964,trans-athletes,1,"During House floor debate on HB302 (the 2022 transgender sports bill), Kwan stated 'I want to point out the fact that the sponsor testified that this bill is about girls not having the same opportunity as boys in sports, and I have to wonder how discriminating against transgender children changes any of that.' She voted against the bill; the bill later passed via veto override with all Senate Democrats opposed. — best matches stance 1 (allow all transgender athletes to compete on teams matching their gender identity without any restrictions or requirements)."
Karen Kwan,93376853-c225-430c-bf89-dfee26c6c964,voting-rights,2,"Kwan stated 'There's no evidence of widespread voter fraud' when defending Utah's existing vote-by-mail system against HB300 in 2025, arguing the system was 'already working'; she said her caucus would look closely at the bill as it required voter ID and phased out automatic mail voting. She defended expanded mail-in access for all voters. — best matches stance 2 (expand early voting periods and make mail-in voting available to all voters without requiring an excuse)."
Karen Kwan,93376853-c225-430c-bf89-dfee26c6c964,climate-change,3,"Kwan signed the Utah Climate & Clean Air Compact, which emphasizes collaborative strategies to improve air quality and transition to cleaner energy while protecting Utah's economy, rural communities, and energy-dependent industries. The compact's approach is gradualist, supporting clean energy innovation while managing economic transitions — not a mandate for a 2030 fossil-fuel phase-out. — best matches stance 3 (invest in clean energy while gradually reducing reliance on fossil fuels)."
Karen Kwan,93376853-c225-430c-bf89-dfee26c6c964,civil-rights,2,"Kwan sponsored the Equal Rights Amendment ratification resolution (2020) and advocates for 'equality for all Utahns' and language access legislation; her stated values include 'justice and fairness' and making policies that 'reflect the reality of the people who live here.' She supports civil rights enforcement but there is no documented advocacy specifically for reparations or racial equity mandates. — best matches stance 2 (strengthen civil rights enforcement and address systemic discrimination)."
Karen Kwan,93376853-c225-430c-bf89-dfee26c6c964,redistricting,2,"Kwan's SD12 district was targeted in the failed 2026 Prop 4 repeal effort, which sought to undo voter-approved anti-gerrymandering and independent redistricting rules; her district fell just short of the signature threshold needed to qualify the repeal. As a Democrat whose seat was protected by Prop 4's independent redistricting framework, she is clearly aligned with independent commissions. — best matches stance 2 (independent redistricting commissions with equal representation from both major parties)."
Karen Kwan,93376853-c225-430c-bf89-dfee26c6c964,school-vouchers,1,"Kwan directly stated: 'To put an additional $80 million will further exacerbate some of the issues that were happening in our local schools' and 'It's going to hurt families, hurt public education, it's going to hurt teachers and hurt the programs that are in [school]... We have so much need in our schools right now, to have more money move outside of that public ed budget into The Utah Fits All, it's the wrong direction at this point.' She opposed HB215 that paired the Utah Fits All scholarship with teacher pay. — best matches stance 1 (fully funding public schools and eliminating voucher programs that divert taxpayer money to private institutions)."
Karen Kwan,93376853-c225-430c-bf89-dfee26c6c964,immigration,2,"Kwan stated in January 2025: 'There's a lot of fear and anxiety that some of our community members are feeling, sort of going back to decades past when they felt as though they were hunted. This is not something that we want' and 'Here in Utah, we know that there are many economic as well as community and social benefits to have all of our residents here.' She emphasized protecting all residents — including undocumented — from a hostile enforcement climate. — best matches stance 2 (keep legal immigration open and let most residents use public services regardless of legal status)."
Karen Kwan,93376853-c225-430c-bf89-dfee26c6c964,deportation,2,"Kwan's January 2025 statements emphasized that community members — 'especially children' in mixed-status families — feel fear of being 'hunted,' and she expressed that Utah benefits economically and socially from having 'all of our residents here.' This framing opposes enforcement-first deportation and implies limiting removal to serious criminal cases. — best matches stance 2 (only deport people convicted of serious violent crimes)."
Karen Kwan,93376853-c225-430c-bf89-dfee26c6c964,healthcare,2,"Kwan sponsored SB175 Health Insurance Revisions in the 2026 session; her Democratic caucus explicitly prioritized protecting children's health coverage against federal Medicaid cuts and passed autism insurance coverage legislation. Her 2026 session statement — 'Love means making sure every Utahn is treated with dignity and fairness and that our policies reflect the reality of the people who live here' — signals support for broad coverage access. — best matches stance 2 (make sure everyone has affordable coverage through a mix of public programs and regulated private insurance)."
Karen Kwan,93376853-c225-430c-bf89-dfee26c6c964,taxes,2,"Kwan stated the expanded Child Tax Credit 'benefitted approximately 491,000 Utah families, including more than 850,000 children, this year' and that the EITC expansion 'will serve about 138,000 Utah workers without dependent children' — explicitly endorsing Biden-era tax relief targeted at working families. She opposes cuts to public education funding, which implies favoring taxation that sustains public services. — best matches stance 2 (moderately raise taxes on wealthy people and large companies to fund existing services)."
