full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
Lloyd Smucker,-42011,abortion,4,"Smucker co-sponsored the Born-Alive Abortion Survivors Protection Act and the Life at Conception Act (which would extend 14th Amendment protections from fertilization), reflecting an effectively no-exceptions position. He also co-sponsored Pennsylvania legislation increasing abortion clinic regulations. No evidence of support for criminal penalties for patients, placing him at value=4.",https://www.ontheissues.org/PA/Lloyd_Smucker.htm,https://en.wikipedia.org/wiki/Lloyd_Smucker,,,
Lloyd Smucker,-42011,healthcare,4,"Smucker voted for the American Health Care Act to repeal the ACA, supports returning healthcare regulation to states, and backed a Medicare restructuring proposal cutting $537 billion while offering seniors private plan alternatives. He opposes a government-run system and favors market-driven solutions, aligning with the stance that only the poorest should receive government healthcare help.",https://www.ontheissues.org/PA/Lloyd_Smucker_Health_Care.htm,https://en.wikipedia.org/wiki/Lloyd_Smucker,,families and individuals across Pennsylvania face skyrocketing premiums and deductibles they simply cannot afford,families and individuals across this state face skyrocketing premiums and deductibles they simply cannot afford
Lloyd Smucker,-42011,taxes,4,"Smucker voted for the 2017 Tax Cuts and Jobs Act reducing corporate rates from 35% to 21%, opposes income tax increases under any bracket, and supports balanced budgets through spending cuts rather than tax increases. He opposes federal spending-based economic stimulus and backed broad tax cuts, matching the stance of cutting taxes for everyone and scaling back public services.",https://www.ontheissues.org/PA/Lloyd_Smucker_Tax_Reform.htm,https://en.wikipedia.org/wiki/Lloyd_Smucker,https://www.ontheissues.org/PA/Lloyd_Smucker_Budget_+_Economy.htm,Congress has to stop saddling future generations with insurmountable debt.,Congress has to stop saddling future generations with insurmountable debt.
Lloyd Smucker,-42011,immigration,4,"Smucker opposes citizenship pathways for undocumented immigrants without first exiting and re-entering legally, voted against the NO BAN Act (supporting presidential travel bans), and backed legislation punishing sanctuary cities. He co-sponsored the Fairness for High-Skilled Immigrants Act expanding legal visas but overall favors making it harder to immigrate and limiting public services to those with legal status.",https://www.ontheissues.org/PA/Lloyd_Smucker_Immigration.htm,https://en.wikipedia.org/wiki/Lloyd_Smucker,,,
Lloyd Smucker,-42011,deportation,4,"Smucker supports requiring unlawfully present immigrants to return to their country of origin before being eligible for citizenship and backed legislation punishing sanctuary cities. He co-sponsored the DIGNIDAD Act providing a legal status pathway (with stricter enforcement), suggesting he is not at the absolute deportation extreme, but his baseline is deporting those without legal status starting with those with criminal records.",https://www.ontheissues.org/PA/Lloyd_Smucker_Immigration.htm,https://en.wikipedia.org/wiki/Lloyd_Smucker,,,
Lloyd Smucker,-42011,fossil-fuels,4,"Smucker opposes federal greenhouse gas emission regulations, has argued coal-fired power plants are vital to the public interest, and voted against rural renewable energy assistance. His 5% lifetime LCV score (0% in 2023 and 2025) reflects consistent votes against environmental protections, placing him firmly in the expand-drilling-permits camp rather than full deregulation.",https://www.ontheissues.org/PA/Lloyd_Smucker_Energy_+_Oil.htm,https://www.lcv.org/congressional-scorecard/moc/lloyd-smucker,,Reasonably-priced reliable sources including coal-fired electric generation power plants strengthen are vital to public interest.,Reasonably-priced reliable sources including coal-fired electric generation power plants are vital to public interest.
Lloyd Smucker,-42011,climate-change,5,"Smucker holds a 5% lifetime LCV environmental score (0% in 2023, 0% in 2025), voted against rural renewable energy microgrids, opposes federal greenhouse gas emission regulations, and supports fossil fuel energy independence. His record reflects rejection of climate policy in favor of economic growth, matching the highest-value stance.",https://www.lcv.org/congressional-scorecard/moc/lloyd-smucker,https://www.ontheissues.org/PA/Lloyd_Smucker_Energy_+_Oil.htm,,,
Lloyd Smucker,-42011,medicare/aid,4,"Smucker voted for a Medicare restructuring proposal cutting $537 billion that offered seniors private plan alternatives, voted for the American Health Care Act that would have restructured Medicaid, and opposes a government-run health system. This aligns with partially privatizing Medicare and reducing Medicaid coverage.",https://en.wikipedia.org/wiki/Lloyd_Smucker,https://www.ontheissues.org/PA/Lloyd_Smucker_Health_Care.htm,,,
Lloyd Smucker,-42011,social-security,5,"Wikipedia documents Smucker supports allowing individuals to divert Social Security taxes into personal retirement accounts, and he voted against 2024 legislation enabling full Social Security benefits receipt. This aligns with the stance of transitioning Social Security to private investment accounts that individuals control.",https://en.wikipedia.org/wiki/Lloyd_Smucker,https://www.ontheissues.org/PA/Lloyd_Smucker.htm,,,
Lloyd Smucker,-42011,same-sex-marriage,5,"Smucker voted against the Respect for Marriage Act in 2022, which would have federally protected same-sex and interracial marriages. Wikipedia states he opposes gay marriage, reflecting the position that marriage should be defined as only between one man and one woman.",https://en.wikipedia.org/wiki/Lloyd_Smucker,https://www.ontheissues.org/PA/Lloyd_Smucker.htm,,,
Lloyd Smucker,-42011,voting-rights,4,"Smucker voted NAY on both the 2019 and 2021 For the People Act, opposing automatic voter registration, same-day registration, and expanded voting access, while supporting voter photo ID requirements. He opposes measures that would expand early or mail-in voting access, placing him at the require-photo-ID-and-update-voter-rolls stance.",https://www.ontheissues.org/PA/Lloyd_Smucker_Government_Reform.htm,https://en.wikipedia.org/wiki/Lloyd_Smucker,,,
Lloyd Smucker,-42011,redistricting,5,"Smucker voted against legislation requiring states to establish independent redistricting commissions. This reflects support for partisan legislative control over redistricting without independent oversight, aligning with the position that the party controlling the state legislature should draw maps.",https://www.ontheissues.org/PA/Lloyd_Smucker_Government_Reform.htm,https://en.wikipedia.org/wiki/Lloyd_Smucker,,,
Lloyd Smucker,-42011,campaign-finance,4,"Smucker voted against the For the People Act provisions requiring campaign finance transparency and disclosure of political donations, and voted NO on the Corporate Transparency Act. His record supports reducing restrictions on political donations rather than expanding disclosure requirements.",https://www.ontheissues.org/PA/Lloyd_Smucker_Government_Reform.htm,https://www.ontheissues.org/PA/Lloyd_Smucker_Corporations.htm,,,
Lloyd Smucker,-42011,civil-rights,5,"Smucker voted NO on the ERA deadline extension, NO on the Equity and Inclusion Enforcement Act (allowing lawsuits for race discrimination in federally-funded schools), and opposes racial hiring requirements. This record of opposing anti-discrimination enforcement expansions and equal rights legislation aligns with eliminating race-based government programs.",https://www.ontheissues.org/PA/Lloyd_Smucker_Civil_Rights.htm,https://www.ontheissues.org/PA/Lloyd_Smucker_Education.htm,,,
Lloyd Smucker,-42011,tariffs,3,"Smucker voted for the USMCA trade agreement and is characterized as a free trade advocate who favors expanded trade agreements. USMCA includes labor and environmental standards representing selective tariff use to protect American industries and workers, placing him at the middle value of using tariffs selectively rather than full free trade or high blanket tariffs.",https://www.ontheissues.org/PA/Lloyd_Smucker_Free_Trade.htm,https://www.ontheissues.org/PA/Lloyd_Smucker.htm,,,
