address_label,position_name,primary_party,candidate_name
Bloomington City Center,Bloomington Township Board,Democratic,Dorothy Granger
Bloomington City Center,Bloomington Township Board,Democratic,Elizabeth Sensenstein
Bloomington City Center,Bloomington Township Board,Democratic,Barbara E. McKinney
Bloomington City Center,Bloomington Township Trustee,Democratic,Efrat Rosser
Bloomington City Center,"Judge of the Monroe Circuit Court, 10th Judicial Circuit, No. 5",Democratic,Kara Elaine Krothe
Bloomington City Center,"Judge of the Monroe Circuit Court, 10th Judicial Circuit, No. 9",Democratic,Geoff Bradley
Bloomington City Center,Monroe County Assessor,Democratic,Judith A. Sharp
Bloomington City Center,Monroe County Assessor,Democratic,Bob Nyquist
Bloomington City Center,Monroe County Clerk,Democratic,Tanner Dale Branham
Bloomington City Center,Monroe County Clerk,Democratic,Joe Davis
Bloomington City Center,Monroe County Clerk,Democratic,Tree Martin Lucas
Bloomington City Center,Monroe County Clerk,Republican,Julie M. Hays
Bloomington City Center,Monroe County Commissioner District 1,Democratic,David G. Henry
Bloomington City Center,Monroe County Commissioner District 1,Democratic,Trent Deckard
Bloomington City Center,Monroe County Council District 4,Democratic,Jennifer Crossley
Bloomington City Center,Monroe County Prosecuting Attorney,Democratic,Erika Oliphant
Bloomington City Center,Monroe County Prosecuting Attorney,Democratic,Benjamin T. Arrington
Bloomington City Center,Monroe County Recorder,Democratic,Amy Swain
Bloomington City Center,Monroe County Sheriff,Democratic,Ruben Marte
Bloomington City Center,"State Representative, District 061",Democratic,Matt Pierce
Bloomington City Center,"State Representative, District 061",Democratic,Lilliana Young
Bloomington City Center,"United States Representative, Ninth District",Democratic,Tim Peck
Bloomington City Center,"United States Representative, Ninth District",Democratic,Brad A. Meyer
Bloomington City Center,"United States Representative, Ninth District",Democratic,James H. (Jim) Graham
Bloomington City Center,"United States Representative, Ninth District",Democratic,Keil L. Roark
Bloomington City Center,"United States Representative, Ninth District",Republican,Erin Houchin
Perry Township (SE),"Judge of the Monroe Circuit Court, 10th Judicial Circuit, No. 5",Democratic,Kara Elaine Krothe
Perry Township (SE),"Judge of the Monroe Circuit Court, 10th Judicial Circuit, No. 9",Democratic,Geoff Bradley
Perry Township (SE),Monroe County Assessor,Democratic,Bob Nyquist
Perry Township (SE),Monroe County Assessor,Democratic,Judith A. Sharp
Perry Township (SE),Monroe County Clerk,Democratic,Tree Martin Lucas
Perry Township (SE),Monroe County Clerk,Democratic,Tanner Dale Branham
Perry Township (SE),Monroe County Clerk,Democratic,Joe Davis
Perry Township (SE),Monroe County Clerk,Republican,Julie M. Hays
Perry Township (SE),Monroe County Commissioner District 1,Democratic,Trent Deckard
Perry Township (SE),Monroe County Commissioner District 1,Democratic,David G. Henry
Perry Township (SE),Monroe County Council District 2,Democratic,Kate Wiltz
Perry Township (SE),Monroe County Prosecuting Attorney,Democratic,Erika Oliphant
Perry Township (SE),Monroe County Prosecuting Attorney,Democratic,Benjamin T. Arrington
Perry Township (SE),Monroe County Recorder,Democratic,Amy Swain
Perry Township (SE),Monroe County Sheriff,Democratic,Ruben Marte
Perry Township (SE),Perry Township Board,Democratic,Barbara Sturbaum
Perry Township (SE),Perry Township Board,Democratic,Jeremy Goodrich
Perry Township (SE),Perry Township Board,Democratic,Jenny Olmes-Stevens
Perry Township (SE),Perry Township Board,Democratic,Jack Davis
Perry Township (SE),Perry Township Board,Democratic,Susie Hamilton
Perry Township (SE),Perry Township Trustee,Democratic,Levi Combs
