full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified,editor_note
"R. Kirk McPike",abortion,2,"As an Alexandria City Council member McPike authored a resolution protecting access to abortion-related health care in the city, and after joining the House of Delegates he voted for SB794, the Virginia Health Care Protection Act (House passage 60-35 on March 9, 2026), which shields health care providers from out-of-state extradition tied to reproductive-care prosecutions. He is endorsed by Planned Parenthood Advocates of Virginia, Repro Rising Virginia, and Vote Pro Choice. No statement was found specifying support for public funding of abortion or a specific gestational limit, so this is scored as strong but not maximal support.","https://www.kirkmcpike.com/issues","https://www.kirkmcpike.com/endorsements","https://www.vpap.org/legislators/195708-kirk-mcpike/list-votes/close-votes/?session=39",,,
"R. Kirk McPike",same-sex-marriage,1,"McPike is endorsed by the LGBTQ+ Victory Fund and LGBTQ+ Democrats of Virginia, and as an Alexandria City Council member he authored resolutions committing the city to defending the rights of LGBTQ+ residents, including transgender residents. He took office (Feb 18, 2026) after the House floor vote on HJ3, the marriage-equality constitutional amendment, so no individual floor vote by him exists; his record and endorsements indicate strong, unqualified support for marriage equality with no evidence of carve-outs for religious organizations.","https://www.kirkmcpike.com/endorsements","https://www.kirkmcpike.com/issues",,,,
"R. Kirk McPike",redistricting,4,"During a Feb 2, 2026 League of Women Voters candidate forum (before he took office), McPike voiced support for HJ4, the constitutional amendment giving the General Assembly authority to redraw Virginia's congressional maps mid-decade in response to redistricting in other states, bypassing the state's existing bipartisan redistricting commission for that cycle. The amendment's mechanism retains outside checks — voter ratification by referendum and state-court review (the Virginia Supreme Court later voided the resulting map) — so his documented position supports legislature-directed map-drawing subject to court and voter oversight rather than unchecked legislative control.","https://www.alxnow.com/2026/02/02/house-of-delegates-candidates-debate-popular-vote-right-to-work-at-league-of-women-voters-forum/","https://virginiamercury.com/2025/10/31/virginia-senate-approves-mid-decade-redistricting-amendment-in-party-line-vote/",,"to allow Virginia to respond to actions happening in other states","to allow Virginia to respond to actions happening in other states","McPike's own stated rationale (from a Feb 2026 candidate forum, reported by AlxNow) for supporting the mid-decade redistricting amendment as a retaliatory tool responding to other states' actions -- a mechanism that hands map-drawing power to whichever party controls the legislature. Verbatim, no edits (quote fragment as printed in the original news report); no identifying terms present so no de-identification changes were needed."
"R. Kirk McPike",taxes,2,"At the Feb 2, 2026 League of Women Voters forum, McPike said he supports a progressive tax system that provides relief to middle-income Virginians while maintaining current government services, rather than either a large expansion of programs or broad tax cuts.","https://www.alxnow.com/2026/02/02/house-of-delegates-candidates-debate-popular-vote-right-to-work-at-league-of-women-voters-forum/",,,"I do think it is important that our tax system be progressive and provide relief to people in the middle incomes while maintaining the services that we need.","I do think it is important that our tax system be progressive and provide relief to people in the middle incomes while maintaining the services that we need.","Direct quote from a Feb 2026 candidate forum showing he favors progressive taxation with middle-income relief while preserving current service levels, matching a moderate tax-increase-to-fund-existing-services position. Verbatim, no edits; no identifying terms present."
"R. Kirk McPike",voting-rights,2,"Since taking office in Feb 2026, McPike has voted for a broad slate of election-access bills, including HB82/SB58 (extending the absentee ballot receipt deadline), SB438 (adding Sunday early voting), HB773/HB774 (an absentee ballot cure process), HB964/SB162 (restoring voting rights upon release from incarceration), and HB319/SB658 (studying automatic voter registration), while also supporting HB967 (revisions to the Voting Rights Act of Virginia). This consistent pattern supports expanded, no-excuse access to voting.","https://www.vpap.org/legislators/195708-kirk-mcpike/list-votes/close-votes/?session=39",,,,,
"R. Kirk McPike",housing,3,"McPike's campaign platform calls for statewide reforms to streamline the construction of new housing, particularly in transit-rich metro areas, alongside more robust tools to preserve existing affordability. Since taking office he has voted for HB1212 (small-lot residential zoning), SB531 (accessory dwelling units), HB888 (parking requirement reductions), and multiple landlord-tenant protection bills (HB95, HB281, HB374). He is endorsed by YIMBYs of NOVA. This combination of supply-side zoning reform plus targeted tenant and affordability protections reflects a middle position between direct public housing construction and pure deregulation.","https://www.kirkmcpike.com/issues","https://www.kirkmcpike.com/endorsements","https://www.vpap.org/legislators/195708-kirk-mcpike/list-votes/close-votes/?session=39",,,
"R. Kirk McPike",immigration,2,"McPike's campaign platform states that lawless federal immigration enforcement actions are terrorizing communities in Alexandria and commits him to defending immigrant communities, including barring enforcement at schools and hospitals. Since taking office he voted for HB1441 and SB783 (restricting law-enforcement agencies' agreements with federal immigration authorities) and HB675 (protecting employees from immigration-status-based coercion). This reflects support for keeping public services and protected spaces accessible to residents regardless of immigration status, without an explicit call to expand legal immigration levels.","https://www.kirkmcpike.com/issues","https://www.vpap.org/legislators/195708-kirk-mcpike/list-votes/close-votes/?session=39",,,,
"R. Kirk McPike",local-immigration,1,"McPike's campaign platform explicitly calls for blocking all localities from entering into 287(g) agreements with ICE and barring immigration enforcement actions at schools, hospitals, and other protected public spaces in Alexandria. Since taking office he voted for HB1441 and SB783, both restricting Virginia law-enforcement agencies' cooperation agreements with federal immigration enforcement. This matches the most protective, sanctuary-oriented option on this scale.","https://www.kirkmcpike.com/issues","https://www.vpap.org/legislators/195708-kirk-mcpike/list-votes/close-votes/?session=39",,"Lawless federal immigration enforcement actions are terrorizing communities in Alexandria, and Kirk will stand strong against these abuses.","Lawless federal immigration enforcement actions are terrorizing communities in Alexandria, and [he] will stand strong against these abuses.","This campaign-platform statement directly states opposition to local cooperation with federal immigration enforcement, matching the most protective chair on this scale (refusing ICE cooperation and shielding protected public spaces). Edited only to replace his first name with '[he]' for de-identification."
"R. Kirk McPike",healthcare,2,"McPike has voted for a series of bills expanding health-insurance coverage and consumer protections, including HB6/SB596 (right to obtain contraception), HB1182/SB361 (contraceptive insurance coverage), HB625/SB161 (capping cost-sharing for prescription drugs), and SB794, the Virginia Health Care Protection Act (shielding health care providers from out-of-state extradition), which passed the House 60-35 on March 9, 2026. This reflects a preference for regulating and expanding coverage through a mix of public rules and private insurance rather than either single-payer or a minimal government role.","https://www.vpap.org/legislators/195708-kirk-mcpike/list-votes/close-votes/?session=39",,,,,
"R. Kirk McPike",climate-change,2,"McPike's campaign platform states that addressing the climate crisis will require action at the state level to phase out carbon-heavy energy sources, and commits him to legislation that accelerates deployment of wind and solar power while mandating electrification of new infrastructure. Since taking office he has voted for clean-energy bills including HB1444/SB225 (Virginia Clean Energy Innovation Bank) and HB590/SB382 (Smart Solar Permitting Platform). This is a more assertive renewable-transition stance than gradual investment, though he has not specified a firm fossil-fuel phase-out deadline.","https://www.kirkmcpike.com/issues","https://www.vpap.org/legislators/195708-kirk-mcpike/list-votes/close-votes/?session=39",,"Kirk knows that addressing the climate crisis will require action at the state level to phase out carbon-heavy energy sources.","[He] knows that addressing the climate crisis will require action at the state level to phase out carbon-heavy energy sources.","Campaign-platform statement showing support for state-level action to move away from carbon-heavy energy generation, aligning with a more assertive renewable-transition chair. Edited only to replace his first name with '[He]' for de-identification."
