full_name,topic_key,source_url,snippet,snippet_index
John D. Johnson,abortion,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2023GS&voteid=1846&house=S,"Passed 22 - 6 - 1 on 3/2/2023. In Favor (22): Adams, Anderegg, Bramble, Buxton, Cullimore, Fillmore, Grover, Harper, Hinkins, Ipson, Johnson, Kennedy, McCay, McKell, Millner, Owens, Sandall, Stevenson, Vickers, Weiler, Wilson, Winterton. Opposed (6): Blouin, Escamilla, Kwan, Pitcher, Plumb, Riebe. HB0467 Abortion Changes vote record showing Johnson voted YEA.",0
John D. Johnson,abortion,https://www.abc4.com/news/abortion-bill-stricter-than-utahs-trigger-law-passes-senate/amp/,"HB467, with its 2nd substitution, is making its way through the House and Senate... this bill passed the Senate Thursday. Abortion would be banned at any point in the pregnancy unless with certain exceptions. HB 467 goes a step further than Utah's trigger bill... it would limit the time frame for abortions up to 18 weeks after conception.",0
John D. Johnson,abortion,https://johnforutah.com/,"As your senator, I pledge to defend religious liberty, the right to life, parental rights, free speech, our Second Amendment, and our property rights to maintain limited and effective government.",1
John D. Johnson,religious-freedom,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2024GS&voteid=1981&house=S,"Passed 20-4-5 on 2/29/2024. Yeas (20): Adams, Balderree, Bramble, Buxton, Fillmore, Harper, Hinkins, Ipson, Johnson, McCay, McKell, Millner, Owens, Sandall, Stevenson, Thatcher, Vickers, Weiler, Wilson, Winterton. Nays (4): Blouin, Escamilla, Kwan, Riebe. HB0269 Substitute 1 Public School History Curricula Amendments vote showing Johnson voted YEA.",0
John D. Johnson,religious-freedom,https://johnforutah.com/,"As your senator, I pledge to defend religious liberty, the right to life, parental rights, free speech, our Second Amendment, and our property rights to maintain limited and effective government.",0
John D. Johnson,trans-athletes,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2022GS&voteid=1812&house=S,"Passed 16 - 13 - 0, 3/4/2022. Yeas (16 senators): Adams, J. S. | Anderegg, J. | Bramble, C. | Buxton, D. G. | Cullimore, K. A. | Grover, K. | Harper, W. | Hinkins, D. | Ipson, D. | Johnson, J. | McCay, D. | Owens, D.R. | Sandall, S. | Stevenson, J. | Wilson, C. | Winterton, R. HB0011 Substitute 4 Student Eligibility in Interscholastic Activities vote showing Johnson voted YEA.",0
John D. Johnson,trans-athletes,https://www.standard.net/news/government/2022/mar/25/utah-lawmakers-override-veto-enact-controversial-transgender-sports-ban/,"On the Senate side, the override passed 21-8 with Weber County's three senators favoring the action — Sens. Gregg Buxton, John Johnson and Ann Millner. Utah lawmakers approved the override of Gov. Spencer Cox's veto of House Bill 11, the measure that bans participation by transgender athletes in girls high school sports.",0
John D. Johnson,fossil-fuels,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2024GS&voteid=1209&house=S,"Passed 23 - 6 - 0, 2/21/2024 11:27 AM. Voting Yes (23 senators): Adams, J. Stuart; Balderree, H.; Bramble, C.; Buxton, D. G.; Cullimore, K. A.; Fillmore, L.; Grover, K.; Harper, W.; Hinkins, D.; Ipson, D.; Johnson, J.; Kennedy, M.; McCay, D.; McKell, M.; Millner, A.; Owens, D.R.; Sandall, S.; Stevenson, J.; Thatcher, D.; Vickers, E.; Weiler, T.; Wilson, C.; Winterton, R. SB224 Energy Independence Amendments vote showing Johnson voted YEA.",0
John D. Johnson,fossil-fuels,https://westernresourceadvocates.org/news/utah-energy-independence-bill-will-keep-state-dependent-on-polluting-costly-coal/,"SB 224 aims to ensure Utah's largest electric utility will remain heavily reliant on expensive and highly polluting coal power. Specifically, it prevents closure of Utah's Hunter and Huntington coal plants, even if operating them costs more than cleaner alternatives, and removes PacifiCorp's obligation to justify coal-related costs to regulators. Sophie Hayes of Utah Clean Energy stated: ""Rather than charting a forward-looking path and embracing opportunities to lead in a new energy era, this bill commits Utahns to take on the cost and risk of these aging, costly resources.""",0
John D. Johnson,voting-rights,https://www.ksl.com/article/51477062/voter-privacy-status-could-change-for-some-300k-utahns-heres-what-you-need-to-know,"SB153 requires most Utah voters' registration information to be public unless they are classified as ""at-risk."" Sen. John Johnson, R-North Ogden, sponsored SB153. He stated the measure ""brings Utah law in line with federal law on voter transparency."" The legislation passed largely along party lines, with two Senate Republicans opposing it and some Democrats voting in support.",0
