politician_id,topic_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3
3d51cca6-7206-413b-ab8d-3199a58a6767,af2fdfd6-02c4-49df-b09c-cf8536f4773f,abortion,2,"Klobuchar strongly supports abortion access and has consistently backed codifying Roe v. Wade and repealing the Hyde Amendment. She cosponsored the Women's Health Protection Act to protect abortion access through viability and beyond, with exceptions after viability for health of the patient.",https://www.ontheissues.org/Senate/Amy_Klobuchar.htm,https://www.klobuchar.senate.gov/public/index.cfm/issues,
3d51cca6-7206-413b-ab8d-3199a58a6767,666bf03d-81fc-4138-ab15-69ae734c9023,ai-regulation,4,"Klobuchar co-authored the AI Research, Innovation and Accountability Act to establish baseline accountability for high-risk AI deployments and has led legislation criminalizing AI deepfakes in elections and non-consensual intimate images, indicating support for close government monitoring and required safety standards before deployment.",https://www.klobuchar.senate.gov/public/index.cfm/consumer-protection,https://en.wikipedia.org/wiki/Amy_Klobuchar,
3d51cca6-7206-413b-ab8d-3199a58a6767,92730f69-ae57-401c-8ad1-2d07834a895d,campaign-finance,2,"Klobuchar strongly supports overturning Citizens United via constitutional amendment and advocates for public financing of campaigns with voter vouchers, small-donor matching funds, and strict limits on dark money groups.",https://www.ontheissues.org/Senate/Amy_Klobuchar.htm,,
3d51cca6-7206-413b-ab8d-3199a58a6767,c1ac1330-47f7-44ec-baf3-c913d926b97c,childcare,2,"Klobuchar introduced the Child Care Workforce and Facilities Act and cosponsored the Child Care for Working Families Act to significantly expand childcare access and affordability for low- and middle-income families through subsidies and provider grants.",https://www.klobuchar.senate.gov/public/index.cfm/families-children,,
3d51cca6-7206-413b-ab8d-3199a58a6767,0bc588c6-39e1-4084-b5de-cac909b8b762,civil-rights,2,"Klobuchar supports strengthening civil rights enforcement, backs the Equal Rights Amendment, federal hate crimes legislation, and community investment as reparations for systemic racism, consistently advocating against systemic discrimination.",https://www.ontheissues.org/Senate/Amy_Klobuchar.htm,,
3d51cca6-7206-413b-ab8d-3199a58a6767,f1e44d66-5d27-4b51-b54f-b7ace86f6a3c,climate-change,3,"Klobuchar supports rejoining the Paris climate accord and investing in clean energy, but has taken a pragmatic middle position — calling the Green New Deal 'aspirational' and not opposing fracking outright, describing it as acceptable 'as a transitional fuel.' Her LCV lifetime score is 93%.",https://www.ontheissues.org/Senate/Amy_Klobuchar.htm,https://www.lcv.org/congressional-scorecard/moc/amy-klobuchar,
3d51cca6-7206-413b-ab8d-3199a58a6767,44905f3b-e105-4f6c-afc7-5d223813dbac,deportation,3,"Klobuchar supported the bipartisan Lankford border bill for enforcement and asylum reform while strongly opposing ICE's mass enforcement operations in Minnesota, calling for accountability and banning home entries without judicial warrants — prioritizing recent border crossers while defending long-term residents.",https://www.klobuchar.senate.gov/public/index.cfm/immigration,,
3d51cca6-7206-413b-ab8d-3199a58a6767,a22215c3-6693-4bc2-b248-01aebba14570,fossil-fuels,3,"Klobuchar opposes outright bans on fracking and has described it as acceptable as a transitional fuel; she supports maintaining existing fossil fuel production while investing in renewable alternatives and sustainable aviation fuel. Her LCV score of 93% lifetime reflects consistent pro-environment votes without advocating a full drilling ban.",https://www.ontheissues.org/Senate/Amy_Klobuchar.htm,https://www.lcv.org/congressional-scorecard/moc/amy-klobuchar,
3d51cca6-7206-413b-ab8d-3199a58a6767,e8dad4a8-eb93-4931-91f5-d8fb5d7dd529,healthcare,2,"Klobuchar opposes Medicare-for-All but cosponsored the Medicare-X Choice Act to allow Americans to buy a Medicare-based public plan and the State Public Option Act for state-level Medicaid buyins; she favors expanding coverage through public options alongside private insurance rather than a single-payer system.",https://www.klobuchar.senate.gov/public/index.cfm/health-care,,
3d51cca6-7206-413b-ab8d-3199a58a6767,4938766b-b45a-46e3-93bd-b8b30651271a,homelessness,2,"While not extensively documented on homelessness specifically, Klobuchar supports expanding shelter capacity and services and addressing root causes through housing investment and mental health services, consistent with her platform on eradicating child poverty and expanding affordable housing access.",https://www.ontheissues.org/Senate/Amy_Klobuchar.htm,,
3d51cca6-7206-413b-ab8d-3199a58a6767,669cac97-66a6-4087-b036-936fbe62efb3,housing,2,"Klobuchar has backed significant affordable housing investment, including expanding rental assistance, tax incentives for affordable housing construction, and building millions of new affordable units — part of her broader economic platform for working families.",https://www.klobuchar.senate.gov/public/index.cfm/families-children,,
