full_name,topic_key,source_url,snippet,snippet_index
Evan J. Vickers,abortion,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2020GS&voteid=1649&house=S,"Yea (22): Adams, Anderegg, Bramble, Buxton, Christensen, Cullimore, Fillmore, Grover, Harper, Henderson, Hillyard, Hinkins, Ipson, McCay, Millner, Okerlund, Sandall, Stevenson, Thatcher, Vickers, Weiler, Winterton. Nay (5): Davis, Iwamoto, Kitchen, Mayne, Riebe.",0
Evan J. Vickers,abortion,https://www.ksl.com/article/46727892/utah-abortion-ban-ultrasound-requirement-bills-approved-by-committees,"Vickers called the $100,000 first-offense and $250,000 subsequent-offense penalties ""heavy-handed"" and recommended the bill sponsor conduct further review during the interim. Despite his concerns, Vickers voted in favor of the bill. He stated: ""In my opinion, the penalty needs to be significant to make sure that women are fully, completely and truthfully informed before making that critical decision.""",0
Evan J. Vickers,trans-athletes,https://kutv.com/news/politics/house-overrides-governors-veto-of-bill-banning-transgender-athletes-in-girls-competition,"Senate Majority Leader Evan Vickers flipped to a 'yea' vote to secure the override of Governor Spencer Cox's veto on HB11, which bars transgender girls from participating in school sports matching their gender identities in March 2022. Vickers explained that he changed his previous 'no' vote to a 'yes,' stating: 'I want to acknowledge this is a process for us to get into a special session to make amendments to the bill so with that I change my vote from a no to a yes.'",0
Evan J. Vickers,trans-athletes,https://www.sltrib.com/news/politics/2022/03/25/utah-lawmakers-likely/,"Senate Majority Leader Evan Vickers changed his previous 'no' vote to a 'yes' on House Bill 11, explaining 'I want to acknowledge this is a process for us to get into a special session to make amendments to the bill so with that I change my vote from a no to a yes.' This occurred in March 2022 when the Utah Legislature voted to override Governor Spencer Cox's veto of a bill that would ban transgender girls from participating in school sports matching their gender identities.",0
Evan J. Vickers,religious-freedom,https://midutahradio.com/news/local-news/utah-bill-protects-doctors-who-object-to-certain-medical-services/,"Senator Evan Vickers of Cedar City sponsors SB-320, which grants physicians the ability to decline non-life-threatening medical procedures based on personal convictions regarding medical, moral, religious, or ethical matters. The legislation addresses services including abortion, transgender treatments, immunizations, and contraception. Vickers described the bill's purpose as providing ""conscientious objection"" protection for doctors.",0
Evan J. Vickers,religious-freedom,https://www.yahoo.com/news/bill-allow-utah-doctors-refuse-035245106.html,"Vickers acknowledged the bill's language remains 'vague,' yet far-reaching. He explained his rationale: 'The intent is to try to give some physicians cover in certain spaces where they have either moral, religious, or ethical beliefs that may be in violation of whatever the procedure is that they're being asked to do.' When asked directly if doctors could deny birth control based on moral objections under the current draft, Vickers responded affirmatively. The bill would permit physicians to exercise 'conscientious objection' to non-life-threatening medical services that conflict with their 'medical, moral, religious, or ethical beliefs.'",0
Evan J. Vickers,school-vouchers,https://www.deseret.com/utah/2023/1/25/23569355/utah-senate-approves-choice-scholarship-teacher-compensation-bill/,"The Utah Senate passed HB215, the Utah Fits All Scholarship bill creating an $8,000 scholarship for qualifying families seeking private education services. The bill passed the Senate 20-8 on January 25-26, 2023. Senate Majority Leader Evan Vickers led the caucus that championed the bill, which the Senate passed by a two-thirds majority precluding the option of a voter referendum.",0
Evan J. Vickers,school-vouchers,https://senate.utah.gov/utah-senate-majority-caucus-leadership-team-and-2023-session-priorities/,"The Senate Majority Leadership outlined five priorities for the 2023 General Session including cutting taxes to offset rising inflation, and the leadership team emphasized 'historic funding for education and social services while cutting taxes for hard-working Utahns.' Senate Majority Leader Evan Vickers led the caucus that prioritized school choice alongside teacher pay increases.",0
Evan J. Vickers,fossil-fuels,https://www.ballotready.org/people/evan-j-vickers,"Vickers supports expanded fossil fuel production on state-controlled public lands. His stated position: 'I support and will continue to support legislation that pushes the federal government to give more control to the state of Utah.' He endorses expanded gas, oil, and coal production to benefit the local economy and energy supply, noting that nearly 70 percent of Utah is federally controlled land.",0
Evan J. Vickers,fossil-fuels,https://voteevanvickers.com/about,"Vickers advocates for 'responsible energy development that balances preservation with progress and keeps rural Utah strong,' with greater state management authority over federally controlled lands. His campaign platform also supports 'smart regulation, fair taxes, and innovation encouragement to benefit small businesses.'",0
