full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified,editor_note
James W. Morefield,abortion,4,"Voted against HJ1, Virginia's constitutional amendment protecting abortion access, on its Jan. 15, 2026 second-passage vote (64-34, along party lines, with no Southwest Virginia Republican among the handful of GOP crossovers that day). His 2017 campaign platform pledged to oppose abortion rights and protect ""the lives of the unborn."" No bill or statement was found specifying a rape/incest/life-of-mother exception carve-out, so this is scored at the mainstream restrictive chair rather than a total, no-exceptions ban.",https://cardinalnews.org/2026/01/15/house-of-delegates-passes-four-constitutional-amendments-on-the-first-day-of-the-2026-general-assembly-session/,https://ballotpedia.org/James_Morefield,,"As a new father who looks into the innocent and trusting eyes of our newborn daughter, I know the value of protecting the lives of the unborn. Our U.S. Constitution guarantees Life, Liberty and the Pursuit of happiness. As your state delegate, I will always passionately defend life.","As a new father…, I know the value of protecting the lives of the unborn. Our U.S. Constitution guarantees Life, Liberty and the Pursuit of happiness. …I will always passionately defend life.","Chosen because it is Morefield's own forward-looking pledge, in his own campaign platform, directly on the abortion question. Edited: cut the personal detail about his newborn daughter and the self-identifying phrase 'As your state delegate'; otherwise verbatim."
James W. Morefield,same-sex-marriage,5,"Voted against HJ3 on its Jan. 15, 2026 second passage (67-31), the amendment that would have repealed Virginia's existing constitutional definition of marriage as between one man and one woman (the Marshall-Newman provision) and replaced it with a marriage-equality guarantee. He was not among the three Republicans (Bloxom, Garrett, McNamara) who crossed over to support it, indicating he voted to keep the one-man-one-woman definition in the state constitution.",https://cardinalnews.org/2026/01/15/house-of-delegates-passes-four-constitutional-amendments-on-the-first-day-of-the-2026-general-assembly-session/,,,,,
James W. Morefield,redistricting,2,"Voted against HJ4 on its Jan. 15, 2026 second passage (62-33), which would have let the sitting legislature draw new congressional maps directly for the rest of the decade, bypassing Virginia's existing bipartisan independent redistricting commission (established 2020) for one cycle. GOP opposition was framed by Minority Leader Terry Kilgore as defending ""the Virginia way"" — the existing commission process — rather than adopting a legislature-drawn map the way other states did; the resulting map, had it survived, was projected to give one party roughly 10 of 11 congressional seats despite that party's opponents winning about 47.6% of the statewide vote in 2024.",https://cardinalnews.org/2026/01/15/house-of-delegates-passes-four-constitutional-amendments-on-the-first-day-of-the-2026-general-assembly-session/,https://cardinalnews.org/2026/04/29/law-professor-cooking-virginias-referendum-on-partisan-gerrymandering/,,,,
James W. Morefield,fossil-fuels,3,"As chief patron, has repeatedly sponsored bills sustaining the coal and gas industry's existing footprint in his Tazewell-area coalfield district: HB2334 (2023) extended a sales-tax exemption sunset for oil and gas drilling equipment, HB2401 (2023) expanded allowed uses of the Coal and Gas Road Improvement Fund to include flood mitigation, and HB2293 (2021) extended the local gas severance tax sunset date. These bills maintain current industry tax and funding structures rather than pushing new drilling permits or industry deregulation.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?231+mbr+H224C,https://legacylis.virginia.gov/cgi-bin/legp604.exe?211+mbr+H224C,,,,
James W. Morefield,school-vouchers,3,"Chief-patroned HB2431 (2023), a state income tax credit tied to the Neighborhood Assistance Act's Education Improvement Scholarships program, Virginia's means-tested tax-credit scholarship system that helps fund private-school tuition assistance. No evidence found that he has sought to expand eligibility to most or all families or to cut public-school funding.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?231+mbr+H224C,,,,,
James W. Morefield,taxes,4,"Co-patroned HB2319 (2023), which lowered Virginia's state income tax rates and raised the standard deduction — a broad, across-the-board tax cut rather than a narrower loophole-closing adjustment.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?231+mbr+H224S,,,,,
James W. Morefield,data-centers,4,"Chief-patroned HB2273 (2021), which substantially eased the jobs (25→4) and investment ($150 million→$1.9 million) thresholds required for data centers in distressed/rural localities like his district to qualify for the state sales-and-use tax exemption, while also adding new annual reporting requirements to state agencies — encouraging data-center development in his region through eased qualification paired with added transparency.",https://legacylis.virginia.gov/cgi-bin/legp604.exe?211+mbr+H224C,https://legacylis.virginia.gov/cgi-bin/legp604.exe?211+sum+HB2273,,,,
Israel D. O'Quinn,abortion,4,"Voted against HJ1 on its Jan. 15, 2026 second-passage vote (64-34, party-line), the constitutional amendment protecting abortion access; he was not among the small number of Republicans who crossed over on any of the four amendments considered that day. No chief-patroned abortion bill was found specifying a harsher no-exceptions position, so this is scored at the mainstream restrictive chair.",https://cardinalnews.org/2026/01/15/house-of-delegates-passes-four-constitutional-amendments-on-the-first-day-of-the-2026-general-assembly-session/,,,,,
Israel D. O'Quinn,same-sex-marriage,5,"Voted against HJ3 on its Jan. 15, 2026 second passage (67-31), the amendment that would have repealed Virginia's existing constitutional one-man-one-woman marriage definition and replaced it with a marriage-equality guarantee. He was not among the three Republicans who crossed over to support it.",https://cardinalnews.org/2026/01/15/house-of-delegates-passes-four-constitutional-amendments-on-the-first-day-of-the-2026-general-assembly-session/,,,,,
Israel D. O'Quinn,redistricting,2,"Voted against HJ4 on its Jan. 15, 2026 second passage (62-33), which would have let the sitting legislature draw new congressional maps directly for the rest of the decade, bypassing Virginia's existing bipartisan independent redistricting commission (established 2020) for one cycle. GOP opposition, including from fellow Southwest Virginia Republican and Minority Leader Terry Kilgore, was framed as defending ""the Virginia way"" — the existing commission process — rather than adopting a legislature-drawn map the way other states did.",https://cardinalnews.org/2026/01/15/house-of-delegates-passes-four-constitutional-amendments-on-the-first-day-of-the-2026-general-assembly-session/,https://cardinalnews.org/2026/04/29/law-professor-cooking-virginias-referendum-on-partisan-gerrymandering/,,,,
