full_name,politician_id,topic_key,topic_id,value,reasoning,source_url_1,source_url_2,source_url_3
Rachel Fetty Anderson,6b44e402-7ea5-4dad-b3dd-6066fab6c6f6,healthcare,e8dad4a8-eb93-4931-91f5-d8fb5d7dd529,2,"Supports investing in Medicare, Medicaid, and Tricare to ensure universal access to care, stating 'American taxpayers pay enough taxes to receive the best healthcare.' Calls for eliminating profit-driven corporations that deny physician-recommended care. Stops short of explicit single-payer endorsement, framing the goal as expanding existing public programs.",https://www.fettyandersonforsenate.com/issues,https://www.fettyandersonforsenate.com/platform,
Rachel Fetty Anderson,6b44e402-7ea5-4dad-b3dd-6066fab6c6f6,abortion,af2fdfd6-02c4-49df-b09c-cf8536f4773f,2,"Her issues page states 'All adult humans have the same human rights regardless of the nature of their reproductive capacity' and calls for ensuring 'women and gender minorities receive complete reproductive healthcare' with full 'adult autonomy over medical choices and providers.' Supports age-appropriate reproductive education and special protections for pregnant children, a firmly pro-choice stance framed in human rights language.",https://www.fettyandersonforsenate.com/issues,,
Rachel Fetty Anderson,6b44e402-7ea5-4dad-b3dd-6066fab6c6f6,fossil-fuels,a22215c3-6693-4bc2-b248-01aebba14570,3,"Encourages solar, wind, and water power development but explicitly 'recognizes coal's role in energy portfolio' — a significant concession to West Virginia's coal economy. Calls for holding companies accountable for environmental costs rather than banning extraction. This balanced position reflects WV political realities while still pushing for transition.",https://www.fettyandersonforsenate.com/issues,,
Rachel Fetty Anderson,6b44e402-7ea5-4dad-b3dd-6066fab6c6f6,climate-change,f1e44d66-5d27-4b51-b54f-b7ace86f6a3c,2,"States 'Our air, water, forests, mountains and wildlife are irreplaceable' and calls for restoring and extending environmental protections, addressing WV's water and soil contamination, and demanding reparations from polluters. Supports renewable energy development while acknowledging fossil fuel transition challenges. Aligns with investing in clean energy while gradually reducing reliance on fossil fuels.",https://www.fettyandersonforsenate.com/issues,,
Rachel Fetty Anderson,6b44e402-7ea5-4dad-b3dd-6066fab6c6f6,taxes,f7e5678d-dadd-4556-a2fc-446e24642ceb,2,"Calls for increasing marginal tax rates for earners over $500,000 annually, eliminating the 'Buy, Borrow, Die' tax loophole, and equitable distribution of tax burden across individuals, corporations, and nonprofits. States 'No one should be able to live like a king on money they borrow.' Targets high earners while protecting middle-class workers, consistent with a modest progressive tax increase stance.",https://www.fettyandersonforsenate.com/issues,https://www.fettyandersonforsenate.com/platform,
Rachel Fetty Anderson,6b44e402-7ea5-4dad-b3dd-6066fab6c6f6,civil-rights,0bc588c6-39e1-4084-b5de-cac909b8b762,2,"As Morgantown City Council Deputy Mayor, voted unanimously (7-0) to pass the CROWN Act banning racial discrimination based on hair styles, stating 'It's a privilege to be able to be in the position of doing the next right thing to make everyone in our community feel loved and cared for and welcomed.' Her platform states constitutional rights 'belong only to people and ALL people.' Supports strengthening civil rights enforcement.",https://wvpublic.org/story/government/more-work-to-do-morgantown-becomes-first-w-va-municipality-to-ban-racial-discrimination-based-on-hair-styles-textures/,https://www.fettyandersonforsenate.com/platform,
Rachel Fetty Anderson,6b44e402-7ea5-4dad-b3dd-6066fab6c6f6,immigration,4e2c69ce-591e-4197-9cd5-7aceff79d390,2,"Her human rights platform states 'Your humanity is sufficient to guarantee that the government and its actors must treat you humanely' and that 'All persons deserve due process, resources, and constitutional rights.' Calls for Congress to 'block, defund, and impeach officials violating human rights.' Framing of universal human dignity implies opposition to mass deportation, though she does not explicitly address immigration levels.",https://www.fettyandersonforsenate.com/issues,,
Rachel Fetty Anderson,6b44e402-7ea5-4dad-b3dd-6066fab6c6f6,deportation,44905f3b-e105-4f6c-afc7-5d223813dbac,2,"Her platform explicitly states 'All persons deserve due process, resources, and constitutional rights' and that 'humanity alone guarantees constitutional protections.' She calls for Congress to block officials who violate human rights, indicating opposition to mass deportation without due process. No explicit endorsement of deportation of any class of immigrants.",https://www.fettyandersonforsenate.com/issues,,
Rachel Fetty Anderson,6b44e402-7ea5-4dad-b3dd-6066fab6c6f6,campaign-finance,d2cedc52-f7b0-4e1a-bedb-f9e8dfcb8b29,2,"Her platform calls for requiring disclosure of all gifts, investments, profits, and benefits over $50 from the same source to elected officials, with clawback of undisclosed assets into Treasury. Calls for auditing Defense Department spending and foreign/corporate payments to officials. Frames corruption and undisclosed money as a core concern of her candidacy.",https://www.fettyandersonforsenate.com/platform,,
Rachel Fetty Anderson,6b44e402-7ea5-4dad-b3dd-6066fab6c6f6,childcare,86e13826-e72a-4a7c-8b76-00ef5d3ffa02,2,"Her platform calls for providing support for 'families, caregivers, and workers caring for infants, children, elders, and disabled/ill loved ones.' Her issues page states 'Infants, children and young people are the true heart and future of the United States' and prioritizes investing in child health, safety, welfare, and education through development and trauma-aware safety nets. Aligns with expanding subsidies and caregiver support.",https://www.fettyandersonforsenate.com/issues,https://www.fettyandersonforsenate.com/platform,
