external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-260601,Heather Smiley,abortion,4,"Smiley identifies as pro-life and supported the Missouri abortion and gender ban. Her iSideWith profile places her as opposing abortion access broadly, but no public statement imposes criminal penalties with zero exceptions — aligning with stance 4 (restrict to rape, incest, or serious threats to mother's life).",https://www.isidewith.com/candidates/heather-smiley/policies/social,,,,
-260601,Heather Smiley,ai-regulation,3,"Smiley supports government oversight of AI development, backs banning political deepfakes unless clearly labeled as AI-generated, and supports taxing companies that replace workers with AI. She also opposes AI diagnosing patients without human supervision. This reflects a middle-ground stance — some regulation and accountability without heavy government approval requirements.",https://www.isidewith.com/candidates/heather-smiley/policies,,,,
-260601,Heather Smiley,campaign-finance,4,"Smiley opposes donation limits, calling them a 'violation of free speech,' and supports allowing corporate and union campaign donations. She stops short of eliminating all campaign finance laws, supporting blind trusts for congressional stock and opposing foreign money — aligning with stance 4 (reduce restrictions).",https://www.isidewith.com/candidates/heather-smiley,,,"No, this is a violation of free speech","No, this is a violation of free speech"
-260601,Heather Smiley,childcare,5,"Smiley opposes federal childcare subsidies and universal pre-K funding, citing concerns about government overreach in private markets. She supports leaving childcare to families and private providers without federal mandates.",https://www.isidewith.com/candidates/heather-smiley/policies,,,,
-260601,Heather Smiley,civil-rights,5,"Smiley opposes affirmative action and supports eliminating DEI programs from federal agencies, favoring merit-based hiring over diversity initiatives. She opposes adding gender identity to anti-discrimination laws and opposes race-based government programs.",https://www.isidewith.com/candidates/heather-smiley/policies,,,,
-260601,Heather Smiley,climate-change,5,"Smiley opposes increased environmental regulations to address climate change, supports U.S. withdrawal from the Paris Climate Agreement, opposes EV mandates, and opposes government subsidies for clean energy including wind and carbon capture. Her platform rejects climate policy in favor of economic priorities.",https://www.isidewith.com/candidates/heather-smiley/policies/environmental,,,,
-260601,Heather Smiley,deportation,4,"Smiley supports deporting immigrants who commit serious crimes and backs local law enforcement detaining undocumented immigrants for minor offenses. She opposes sanctuary cities and temporary amnesty. This reflects deporting all without legal status prioritizing criminal records first — stance 4.",https://www.isidewith.com/candidates/heather-smiley/policies/immigration,,,,
-260601,Heather Smiley,fossil-fuels,4,"Smiley supports expanded fossil fuel drilling including opening the Alaska Wildlife Refuge, expanding offshore drilling, supporting fracking, and lifting the moratorium on new LNG export licenses. She stops short of calling for removal of all environmental restrictions — aligning with stance 4 (expand drilling permits).",https://www.isidewith.com/candidates/heather-smiley/policies/environmental,,,,
-260601,Heather Smiley,healthcare,4,"Smiley opposes the ACA, opposes single-payer healthcare, and opposes increased federal Medicaid funding. She supports Medicaid work requirements. She backs some drug price regulation (Medicare negotiation) but the overall framework is to limit government to the poorest while leaving others to employers and private insurance.",https://www.isidewith.com/candidates/heather-smiley/policies/healthcare,,,,
-260601,Heather Smiley,housing,4,"Smiley supports incentivizing affordable housing construction through market-based approaches and banning foreign/corporate residential investment, but opposes rent control and increased shelter funding. Her approach relies on reducing regulatory barriers and private developers rather than direct government programs.",https://www.isidewith.com/candidates/heather-smiley/policies,,,,
-260601,Heather Smiley,immigration,4,"Smiley supports a border wall, increased border restrictions, opposing sanctuary cities, mandatory E-Verify, denying undocumented immigrants access to subsidized healthcare and in-state tuition, and restricting high-skilled temporary work visas. This reflects making it harder to immigrate legally and limiting public services to those with legal status.",https://www.isidewith.com/candidates/heather-smiley/policies/immigration,,,,
