external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-34005,Josh Gottheimer,abortion,2,"Gottheimer voted for the Women's Health Protection Act and the Ensuring Access to Abortion Act, and introduced the Freedom to Decide Act and the SAFE Act to protect IVF access. He supports abortion access and reproductive freedom broadly, with a strong pro-choice record consistent with legal access through the second trimester and beyond for medical reasons.",https://en.wikipedia.org/wiki/Josh_Gottheimer,https://www.ontheissues.org/Josh_Gottheimer.htm,,,
-34005,Josh Gottheimer,healthcare,2,"Gottheimer opposes ACA repeal and opposes single-payer healthcare. He supports keeping and strengthening the ACA, including protections for pre-existing conditions and coverage for young adults, reflecting a mix-of-public-and-private-insurance position rather than either universal government care or fully private markets.",https://en.wikipedia.org/wiki/Josh_Gottheimer,https://www.ontheissues.org/Josh_Gottheimer.htm,,,
-34005,Josh Gottheimer,taxes,4,"Gottheimer explicitly opposes income tax rate increases and favors lowering taxes for economic growth; he is a champion of SALT deduction restoration for upper-middle-class filers. His stated position on the issues includes 'lowering taxes to promote economic growth' and opposing 'increasing income tax rates,' placing him closer to a cut-taxes-broadly stance than a raise-taxes-on-the-wealthy stance.",https://www.ontheissues.org/Josh_Gottheimer.htm,https://en.wikipedia.org/wiki/Josh_Gottheimer,,"I will cut property taxes for everyone by nearly 15%","I will cut property taxes for everyone by nearly 15%"
-34005,Josh Gottheimer,climate-change,3,"Gottheimer has a 92% lifetime LCV score and is a member of the Climate Solutions Caucus, supporting clean energy investment and opposing fossil fuel expansion. However, he advocates an 'all-of-the-above' energy approach rather than an emergency declaration or rapid phase-out, placing him at invest-in-clean-energy while gradually reducing fossil fuels.",https://www.lcv.org/congressional-scorecard/moc/josh-gottheimer,https://en.wikipedia.org/wiki/Josh_Gottheimer,,"Affordable energy will take an all-of-the-above approach","Affordable energy will take an all-of-the-above approach"
-34005,Josh Gottheimer,fossil-fuels,2,"With a 92% lifetime LCV score and Climate Solutions Caucus membership, Gottheimer consistently votes against new fossil fuel extraction. He opposed NYC congestion pricing on community health grounds (citing emissions near the George Washington Bridge causing cancer) — consistent with a no-new-permits stance rather than full ban or expansion.",https://www.lcv.org/congressional-scorecard/moc/josh-gottheimer,https://en.wikipedia.org/wiki/Josh_Gottheimer,,,
-34005,Josh Gottheimer,same-sex-marriage,1,"Gottheimer voted for the Respect for Marriage Act, requiring all states to recognize same-sex marriages and providing federal benefits protections. He explicitly supports same-sex marriage and has stated 'people should be able to love and marry whomever they want.'",https://en.wikipedia.org/wiki/Josh_Gottheimer,https://www.ontheissues.org/Josh_Gottheimer.htm,,"people should be able to love and marry whomever they want","people should be able to love and marry whomever they want"
-34005,Josh Gottheimer,social-security,1,"Gottheimer has explicitly stated he opposes 'any attempt to privatize or cut benefits' to Social Security, placing him at the most protective end of the scale. No evidence of support for privatization or benefit cuts.",https://www.ontheissues.org/Josh_Gottheimer.htm,https://en.wikipedia.org/wiki/Josh_Gottheimer,,"Oppose any attempt to privatize or cut benefits","Oppose any attempt to privatize or cut benefits"
-34005,Josh Gottheimer,immigration,3,"Gottheimer holds a moderate centrist position: he co-sponsored the Dream Act for Dreamers, but also voted for the Laken Riley Act and co-sponsored the Defending Borders and Defending Democracies Act (2024) to reinstate 'Remain in Mexico.' He supports legal immigration pathways while backing stricter enforcement, landing near maintain-current-levels-with-enforcement.",https://en.wikipedia.org/wiki/Josh_Gottheimer,https://www.ontheissues.org/Josh_Gottheimer.htm,,,
-34005,Josh Gottheimer,deportation,4,"Gottheimer was one of 46 House Democrats to vote for the Laken Riley Act, which mandates detention and deportation of undocumented immigrants convicted of crimes. He also co-sponsored a bill to reinstate 'Remain in Mexico' and introduced the ICE Standards Act requiring training and body cameras. His record supports deporting all without legal status prioritizing those with criminal records.",https://en.wikipedia.org/wiki/Josh_Gottheimer,https://www.ontheissues.org/Josh_Gottheimer.htm,,,
-34005,Josh Gottheimer,tariffs,3,"Gottheimer supports free trade and backed USMCA, indicating opposition to blanket high tariffs. However, as a centrist he supports targeted protections for key industries. His Problem Solvers Caucus positions and Blue Dog alignment place him at selective-tariffs-to-protect-key-industries rather than full free trade or high across-the-board tariffs.",https://www.ontheissues.org/Josh_Gottheimer.htm,https://en.wikipedia.org/wiki/Josh_Gottheimer,,,
-34005,Josh Gottheimer,ukraine-support,2,"Gottheimer is a member of the Congressional Ukraine Caucus and has supported Ukraine aid packages. His hawkish foreign policy stance and pro-NATO positions are consistent with continuing current military and economic aid to help Ukraine defend itself.",https://en.wikipedia.org/wiki/Josh_Gottheimer,,,
-34005,Josh Gottheimer,medicare/aid,3,"Gottheimer opposes privatization of Medicare and supports the ACA's Medicaid expansions, but has not sponsored bills to lower the Medicare eligibility age or dramatically expand Medicaid. His centrist fiscal conservatism places him at improve-current-programs-while-controlling-costs rather than either expansion or privatization.",https://en.wikipedia.org/wiki/Josh_Gottheimer,https://www.ontheissues.org/Josh_Gottheimer.htm,,,
-34005,Josh Gottheimer,ai-regulation,2,"Gottheimer introduced the Unleashing AI Innovation Act (August 2025) and co-chairs the House Democratic Commission on AI and Innovation Economy, reflecting a pro-innovation, light-touch regulatory approach. He favors voluntary standards and industry leadership while banning high-risk applications like DeepSeek on federal devices, consistent with safety guidelines but not mandatory approval requirements.",https://en.wikipedia.org/wiki/Josh_Gottheimer,,,
-34005,Josh Gottheimer,civil-rights,2,"Gottheimer sponsored the Equal Rights Amendment ratification bill, supports anti-discrimination protections including sexual preference as a protected class, and backed the Right to Contraception Act. He supports strengthening civil rights enforcement and addressing systemic discrimination, but is not a reparations advocate.",https://en.wikipedia.org/wiki/Josh_Gottheimer,https://www.ontheissues.org/Josh_Gottheimer.htm,,,
-34005,Josh Gottheimer,voting-rights,4,"Gottheimer supported the SAVE Act in 2025, which requires proof of citizenship to register to vote, crossing party lines alongside fewer than 10 Democrats. While earlier records show him defending the VRA and sponsoring voter registration expansion, his 2025 SAVE Act vote is the most recent documented action and reflects his centrist willingness to support voter verification measures.",https://en.wikipedia.org/wiki/Josh_Gottheimer,https://www.ontheissues.org/Josh_Gottheimer.htm,,,
