external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-8001,Diana DeGette,abortion,1,"Co-chairs the House Pro-Choice Caucus, has authored the Colorado Bubble Bill guaranteeing clinic access (upheld by the Supreme Court in Hill v. Colorado), co-sponsored the Women's Health Protection Act banning anti-abortion limitations, and holds a 100% rating from NARAL Pro-Choice America. Her record consistently supports no restrictions on abortion access at any stage.",https://www.ontheissues.org/House/Diana_DeGette.htm,https://www.ontheissues.org/House/Diana_DeGette_Abortion.htm,https://en.wikipedia.org/wiki/Diana_DeGette,,
-8001,Diana DeGette,campaign-finance,2,"Co-sponsored the DISCLOSE Act requiring full disclosure of independent campaign expenditures (2012, 2013), co-sponsored the Government By the People Act establishing a small-dollar public financing voucher system, and voted YES on banning soft money in 2002. Her record supports strictly limiting dark money and requiring disclosure rather than banning all private money.",https://www.ontheissues.org/House/Diana_DeGette_Government_Reform.htm,https://www.ontheissues.org/House/Diana_DeGette.htm,,,
-8001,Diana DeGette,childcare,3,"Her record shows support for targeted childcare access through the Women's Caucus agenda (greater access to child care services for federal employees) and co-sponsored paid parental leave legislation, but no documented support for universal publicly funded childcare. Her approach aligns with targeted tax credits and subsidies rather than a universal system.",https://www.ontheissues.org/House/Diana_DeGette_Families_+_Children.htm,https://www.ontheissues.org/House/Diana_DeGette.htm,,,
-8001,Diana DeGette,civil-rights,2,"Rated 92% by NAACP and 93% by ACLU; co-sponsored the ERA and Paycheck Fairness Act; voted YES on reauthorizing the Violence Against Women Act. Her record shows consistent support for strengthening civil rights enforcement and addressing systemic discrimination.",https://www.ontheissues.org/House/Diana_DeGette_Civil_Rights.htm,https://www.ontheissues.org/House/Diana_DeGette.htm,,,
-8001,Diana DeGette,climate-change,3,"Rated 90% by the League of Conservation Voters; co-sponsored the Udall Amendment requiring 15% renewable energy by 2020; supports renewable energy standards and opposes new fossil fuel extraction. Her record favors investing in clean energy while gradually reducing fossil fuel reliance rather than an immediate ban or 2030 phase-out.",https://www.ontheissues.org/House/Diana_DeGette_Environment.htm,https://www.ontheissues.org/House/Diana_DeGette.htm,,,
-8001,Diana DeGette,deportation,2,"Voted NO on hospital reporting of undocumented immigrants, voted NO on border fence, co-sponsored providing government-funded lawyers for children in deportation proceedings, and supported DACA pathways. Rated 0% by FAIR. Her record indicates support for deporting only those with serious criminal records while protecting long-term residents.",https://www.ontheissues.org/House/Diana_DeGette_Immigration.htm,https://www.ontheissues.org/House/Diana_DeGette.htm,,,
-8001,Diana DeGette,fossil-fuels,2,"Voted NO on opening the Outer Continental Shelf to drilling, stated preference to 'Preserve Alaska's ANWR instead of drilling it,' rated 100% by CAF for energy independence. Her documented record opposes new fossil fuel drilling permits consistently.",https://www.ontheissues.org/House/Diana_DeGette_Environment.htm,https://www.ontheissues.org/House/Diana_DeGette.htm,,,
-8001,Diana DeGette,healthcare,1,"Wikipedia confirms she co-sponsored the Medicare for All Act supporting a universal single-payer plan; consistently opposed privatization; voted to protect the ACA and children's health insurance. Her 89% APHA rating and support for single-payer align with making healthcare free and available to everyone through the public sector.",https://en.wikipedia.org/wiki/Diana_DeGette,https://www.ontheissues.org/House/Diana_DeGette_Health_Care.htm,https://www.ontheissues.org/House/Diana_DeGette.htm,,
-8001,Diana DeGette,housing,3,"Voted YES on adding $70 million for Section 8 housing vouchers to support low-income families; supports targeted affordable housing subsidies. Her record reflects targeted assistance and subsidies rather than a universal housing guarantee or fully market-driven approach.",https://www.ontheissues.org/House/Diana_DeGette_Welfare_+_Poverty.htm,https://www.ontheissues.org/House/Diana_DeGette.htm,,,
-8001,Diana DeGette,immigration,2,"Rated 0% by FAIR; supports DACA/DREAMers, family-based visa increases, and government-funded legal representation for immigrants; voted to extend immigrant residency rights while pursuing legal status. Her record favors keeping legal immigration open and allowing most residents to use public services regardless of status.",https://www.ontheissues.org/House/Diana_DeGette_Immigration.htm,https://www.ontheissues.org/House/Diana_DeGette.htm,,,
