external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-4600001,Larry Rhoden,abortion,4,"Rhoden voted as a state legislator to classify abortion as a Class 4 felony (Feb 2007) and supports SD's near-total abortion ban. He stated in Jan 2026 he would keep SD the most pro-life state. SD's law permits exceptions for the life of the mother but not rape/incest, placing him at stance 4.",https://www.ontheissues.org/Larry_Rhoden.htm,https://en.wikipedia.org/wiki/Larry_Rhoden,,"We're the most pro-life state and we will keep it that way.","We're the most pro-life state and we will keep it that way."
-4600001,Larry Rhoden,fossil-fuels,4,"As Governor in March 2025, Rhoden signed legislation blocking eminent domain use for carbon capture pipelines, halting the world's largest planned carbon capture project. He also explicitly opposes government-mandated green energy prioritization, favoring expanded fossil fuel development over climate-driven restrictions.",https://www.ontheissues.org/Larry_Rhoden.htm,https://sdpb.org/search/?q=rhoden+signs,,,
-4600001,Larry Rhoden,climate-change,4,"Rhoden signed legislation blocking a large-scale carbon capture pipeline in March 2025 and has opposed government-mandated green energy prioritization, signaling preference for market-driven over policy-driven energy transitions rather than active climate action.",https://www.ontheissues.org/Larry_Rhoden.htm,https://sdpb.org/search/?q=rhoden+signs,,,
-4600001,Larry Rhoden,immigration,4,"Rhoden signed SB 7 banning sanctuary city laws statewide in 2025, opposes pathways to citizenship for undocumented immigrants, and stated farm workers must be here legally. He also opposes restrictions on local law enforcement cooperating with federal immigration authorities.",https://www.ontheissues.org/Larry_Rhoden.htm,https://sdpb.org/search/?q=rhoden+signs,,"Imperative that migrant farm workers are here legally.","Imperative that migrant farm workers are here legally."
-4600001,Larry Rhoden,deportation,4,"Rhoden signed SB 7 banning sanctuary cities and has stated that illegal aliens found in South Dakota should be turned over to proper authorities. He opposes any pathway to citizenship for undocumented immigrants, supporting broad deportation prioritized by criminal history.",https://www.ontheissues.org/Larry_Rhoden.htm,https://sdpb.org/search/?q=rhoden+signs,,"Turn illegal aliens found over to the proper authorities.","Turn illegal aliens found over to the proper authorities."
-4600001,Larry Rhoden,taxes,4,"Rhoden signed an anti-tax pledge in 2013 and as Governor proposed replacing property taxes with a half-cent sales tax — a structural shift away from progressive taxation. He consistently opposes higher taxes on wealthy individuals and supports reducing overall tax burden.",https://www.ontheissues.org/Larry_Rhoden.htm,,,,"Replace of property taxes with a half-cent sales tax.",
-4600001,Larry Rhoden,school-vouchers,4,"Rhoden backed Education Savings Accounts and stated he was proud to opt-in to the national school choice opportunity (Jan 2026), supporting expansion of voucher eligibility to most families while maintaining baseline public school funding.",https://www.ontheissues.org/Larry_Rhoden.htm,,,"Proud to opt-in to national school choice opportunity.","Proud to opt-in to national school choice opportunity."
-4600001,Larry Rhoden,trans-athletes,4,"Rhoden signed a public bathroom regulation bill in 2025 requiring use of facilities matching biological sex, and opposed LGBTQ+ protections in foster/adoption contexts as a legislator (Mar 2017), consistently supporting biological-sex-based policies.",https://sdpb.org/search/?q=rhoden+signs,https://www.ontheissues.org/Larry_Rhoden.htm,,,
-4600001,Larry Rhoden,same-sex-marriage,4,"Wikipedia documents Rhoden's record opposing same-sex marriage, and he opposed LGBTQ+ protections in foster/adoption (2017). His consistent anti-LGBTQ+ record places him at 4 (civil unions but reserve marriage for opposite-sex couples). No documented vote for a constitutional ban was found to support value=5.",https://en.wikipedia.org/wiki/Larry_Rhoden,https://www.ontheissues.org/Larry_Rhoden.htm,,,
-4600001,Larry Rhoden,healthcare,4,"During his 2014 Senate campaign, Rhoden advocated defunding the Affordable Care Act. His overall posture limits government healthcare assistance to the poorest while leaving others to private insurance and employers.",https://en.wikipedia.org/wiki/Larry_Rhoden,https://www.ontheissues.org/Larry_Rhoden.htm,,,
-4600001,Larry Rhoden,civil-rights,5,"Rhoden opposed LGBTQ+ protections in foster/adoption (Mar 2017), backed abstinence-only sex education, and consistently opposes government-mandated equity and affirmative action-style programs across his legislative and gubernatorial record.",https://www.ontheissues.org/Larry_Rhoden.htm,https://en.wikipedia.org/wiki/Larry_Rhoden,,,
-4600001,Larry Rhoden,voting-rights,4,"Rhoden signed a wave of election-related bills in 2025 including HB 1208 addressing nonresident voters. His record supports tightening voter eligibility rules and updating voter rolls, consistent with requiring photo ID and regular roll maintenance.",https://sdpb.org/search/?q=rhoden+signs,https://www.ontheissues.org/Larry_Rhoden.htm,,,
-4600001,Larry Rhoden,religious-freedom,4,"Rhoden has emphasized Christian values in governance, backed faith-based prison programs, and opposed LGBTQ+ protections in foster/adoption on religious liberty grounds (Mar 2017). His record supports faith-based exemptions from laws conflicting with sincere religious beliefs.",https://www.ontheissues.org/Larry_Rhoden.htm,,,,
