full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
Gus Bilirakis,,abortion,4,"Bilirakis has a long anti-abortion record: he backs a 20-week ban with only a maternal-life exception, voted against embryonic stem cell research (Jan 2007), and supports defunding Planned Parenthood. He has stated that 'life and human rights begin at fertilization or cloning' (Aug 2013). This places him at value 4 — restricting abortion to cases of rape, incest, or serious threats to the mother's life — not a complete ban with criminal penalties.",https://www.ontheissues.org/FL/Gus_Bilirakis.htm,https://en.wikipedia.org/wiki/Gus_Bilirakis,,"Life and human rights begin at fertilization or cloning.","Life and human rights begin at fertilization or cloning."
Gus Bilirakis,,healthcare,4,"Bilirakis repeatedly voted to repeal the ACA ('Repeal the Job-Killing Health Care Law,' Jan 2011), voted NO on expanding SCHIP (Jan 2009), and supports Health Savings Accounts. He voted YES on the Ryan Budget which included a Medicare choice (privatization) option. His record aligns with value 4 — helping only the poorest while leaving everyone else to employers and private insurance — not full privatization.",https://www.ontheissues.org/FL/Gus_Bilirakis.htm,https://en.wikipedia.org/wiki/Gus_Bilirakis,,"Repeal the Job-Killing Health Care Law.","Repeal the Job-Killing Health Care Law."
Gus Bilirakis,,taxes,5,"Bilirakis signed the Taxpayer Protection Pledge (no new taxes), advocates replacing the income tax with a FairTax flat consumption tax, supports eliminating the estate tax, and backed reducing the corporate rate from 35% to 21%. Stated: 'Replace income tax & employment tax with FairTax' (Jan 2009). This matches value 5 — drastically cut taxes and shrink government.",https://www.ontheissues.org/FL/Gus_Bilirakis.htm,,,"Replace income tax & employment tax with FairTax.","Replace income tax & employment tax with FairTax."
Gus Bilirakis,,immigration,4,"Bilirakis opposes amnesty ('No amnesty for those that have broken the law'), voted for a border fence, opposes birthright citizenship, and calls for English-only government services. Rated 'A' by anti-amnesty groups. This aligns with value 4 — make it harder to immigrate legally and limit public services to those with legal status.",https://www.ontheissues.org/FL/Gus_Bilirakis.htm,,,"No amnesty for those that have broken the law.","No amnesty for those that have broken the law."
Gus Bilirakis,,deportation,4,"Bilirakis's 'A' rating from anti-amnesty groups and opposition to legal status for undocumented immigrants ('No amnesty') indicates strong support for deportation of those without legal status, prioritizing those with criminal records first. His record aligns with value 4 — deport everyone without legal status, starting with criminal records.",https://www.ontheissues.org/FL/Gus_Bilirakis.htm,,,,
Gus Bilirakis,,fossil-fuels,4,"Bilirakis signed the No Climate Tax Pledge, supports offshore oil drilling (voted to open Outer Continental Shelf, May 2011), voted against removing oil/gas exploration subsidies, and opposes renewable energy tax credits. LCV lifetime score is 8% and 0% in 2025, including votes to roll back the methane fee and open the Arctic Refuge. This matches value 4 — expand fossil fuel drilling permits.",https://www.ontheissues.org/FL/Gus_Bilirakis.htm,http://www.lcv.org/scorecard/gus-bilirakis/,,,
Gus Bilirakis,,climate-change,5,"Bilirakis signed the No Climate Tax Pledge, voted to bar greenhouse gases from Clean Air Act rules, voted against renewable energy tax credits, and has a 0% LCV score in 2025 (including votes against the methane fee and for rolling back clean energy programs). His pattern of opposition to all climate action places him at value 5 — reject climate change policies and focus on economic growth.",https://www.ontheissues.org/FL/Gus_Bilirakis.htm,http://www.lcv.org/scorecard/gus-bilirakis/,,,
Gus Bilirakis,,same-sex-marriage,5,"Bilirakis voted YES to constitutionally define marriage as one-man-one-woman (Jul 2006), voted NO on prohibiting employment discrimination based on sexual orientation (Nov 2007), and has stated 'respect faith-based opposition to same-sex marriage' (Jul 2015). This places him at value 5 — make same-sex marriage illegal and define marriage as only between one man and one woman.",https://www.ontheissues.org/FL/Gus_Bilirakis.htm,,,"Respect faith-based opposition to same-sex marriage.","Respect faith-based opposition to same-sex marriage."
Gus Bilirakis,,civil-rights,5,"Bilirakis voted against prohibiting job discrimination based on sexual orientation (Nov 2007), against enforcing anti-gay hate crimes (Apr 2009), and against the Violence Against Women Act reauthorization (Feb 2013). He supports no race-based federal programs. Consistent with value 5 — eliminate affirmative action and all race-based government programs.",https://www.ontheissues.org/FL/Gus_Bilirakis.htm,https://en.wikipedia.org/wiki/Gus_Bilirakis,,,
Gus Bilirakis,,religious-freedom,4,"Bilirakis voted NO on allowing courts to decide on 'God' in the Pledge of Allegiance (Jul 2006) and supports 'faith-based exemptions from GLBT services.' He has called for respecting religious organizations' opposition to same-sex marriage. This aligns with value 4 — protect religious freedom and allow faith-based exemptions from laws that conflict with sincere religious beliefs.",https://www.ontheissues.org/FL/Gus_Bilirakis.htm,,,,
