external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-22001,Steve Scalise,abortion,4,"Scalise signed the Life at Conception Act declaring personhood at fertilization and holds a 100% pro-life rating from Louisiana Right to Life. His supported legislation — including the Pain-Capable Unborn Child Protection Act (2015) — consistently includes exceptions for rape, incest, and maternal life endangerment, placing him in the ""restrict to limited exceptions"" chair rather than a total ban.",https://www.ontheissues.org/House/Steve_Scalise_Abortion.htm,https://en.wikipedia.org/wiki/Steve_Scalise,,"""Congress shall protect life beginning with fertilization""","Congress shall protect life beginning with fertilization"
-22001,Steve Scalise,healthcare,4,"Scalise signed the Club for Growth ""Repeal-It!"" pledge, co-sponsored the Repealing the Job-Killing Health Care Law Act (2011), voted against CHIP reauthorization (2009), and consistently advocates private-sector healthcare solutions over government programs. His votes favor leaving most Americans to employers and private insurance while limiting government assistance to the poorest.",https://www.ontheissues.org/House/Steve_Scalise_Health_Care.htm,https://en.wikipedia.org/wiki/Steve_Scalise,,"""Repeal the Job-Killing Health Care Law""","""Repeal the Job-Killing Health Care Law"""
-22001,Steve Scalise,climate-change,5,"Scalise has a lifetime LCV score of 3%, signed the No Climate Tax Pledge (2010), voted to bar the EPA from regulating greenhouse gases under the Clean Air Act (2011), co-sponsored H.R.97 to prevent EPA cap-and-trade implementation, and has publicly rejected the scientific consensus on climate change. His record consistently prioritizes economic growth over climate regulation.",https://www.ontheissues.org/House/Steve_Scalise_Energy_+_Oil.htm,https://www.lcv.org/scorecard/member/?member_id=1506&congress=118,https://en.wikipedia.org/wiki/Steve_Scalise,,
-22001,Steve Scalise,fossil-fuels,5,"Scalise voted YES to open the Outer Continental Shelf to oil drilling (2011), voted to bar the EPA from regulating greenhouse gases (2011), co-sponsored the Federal Land Freedom Act (allowing states to lease energy rights on federal lands), and signed H.R.391 excluding CO2 from the definition of air pollutant (2009). He also signed a letter supporting expiration of the wind energy production tax credit (2014) and voted against renewable energy tax credits.",https://www.ontheissues.org/House/Steve_Scalise_Energy_+_Oil.htm,https://en.wikipedia.org/wiki/Steve_Scalise,,,
-22001,Steve Scalise,taxes,5,"Scalise signed Americans for Tax Reform's Taxpayer Protection Pledge — the first congressional candidate to do so — committing to oppose ""any and all tax increases."" He has voted for estate tax repeal (Death Tax Repeal Act, 2015), corporate rate cuts in the Tax Cuts and Jobs Act (2017), and stated ""Never voted for a tax increase and never will."" His record reflects a consistent position of drastically cutting taxes and shrinking government.",https://www.ontheissues.org/House/Steve_Scalise_Tax_Reform.htm,https://en.wikipedia.org/wiki/Steve_Scalise,,"""Never voted for a tax increase and never will""","Never voted for a tax increase and never will"
-22001,Steve Scalise,same-sex-marriage,5,"Scalise authored a constitutional amendment defining marriage as the union of a man and a woman (2008), co-sponsored the Marriage Protection Amendment and State Marriage Defense Act, and voted against the Respect for Marriage Act (2022) which codified same-sex marriage at the federal level. Wikipedia notes he condemned the Obergefell v. Hodges decision. His record unambiguously supports defining marriage as only between a man and a woman.",https://www.ontheissues.org/House/Steve_Scalise_Civil_Rights.htm,https://en.wikipedia.org/wiki/Steve_Scalise,,"""Authored constitutional amendment to protect marriage""","Authored constitutional amendment to protect marriage"
-22001,Steve Scalise,religious-freedom,5,"Scalise co-sponsored the First Amendment Defense Act (which would shield those who decline services based on religious beliefs about marriage from federal penalties), the Marriage and Religious Freedom Act, and the Marriage and Religious Freedom Act, all protecting broad religious exemptions from civil rights laws. He has consistently advocated complete autonomy for faith-based organizations over anti-discrimination requirements.",https://www.ontheissues.org/House/Steve_Scalise_Civil_Rights.htm,https://en.wikipedia.org/wiki/Steve_Scalise,,"""Respect faith-based opposition to same-sex marriage""","Respect faith-based opposition to same-sex marriage"
-22001,Steve Scalise,immigration,5,"Scalise has called for sealing the borders (""a matter of national security""), categorically opposes amnesty (""Amnesty is not an option""), co-sponsored the Birthright Citizenship Act to restrict automatic citizenship, and supports cutting off ""giveaway programs that illegal aliens enjoy."" His record favors stopping most unauthorized immigration and blocking public services for those without legal status.",https://www.ontheissues.org/House/Steve_Scalise_Immigration.htm,https://en.wikipedia.org/wiki/Steve_Scalise,,"""Seal our borders; it's a matter of national security""","Seal our borders; it's a matter of national security"
-22001,Steve Scalise,deportation,4,"Scalise opposes amnesty, supports enforcement-first border policy, backed the Gosar Amendment to ban DACA recipients from military service (2016), and advocates removing ""incentives and rewards to illegals such as licenses, welfare, and other taxpayer benefits."" His documented positions prioritize enforcement and removal by criminal history first rather than immediate mass deportation without regard to family ties.",https://www.ontheissues.org/House/Steve_Scalise_Immigration.htm,https://en.wikipedia.org/wiki/Steve_Scalise,,"""Amnesty is not an option""","Amnesty is not an option"
-22001,Steve Scalise,medicare/aid,4,"Scalise voted YES on the Ryan Budget (2011) which proposed Medicare choice options to partially privatize the program for future beneficiaries, voted against expanding CHIP (2009), and opposes ACA Medicaid expansion. He supports market-based Medicare reform without fully phasing out either program.",https://www.ontheissues.org/House/Steve_Scalise_Health_Care.htm,https://en.wikipedia.org/wiki/Steve_Scalise,,,
