external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-40004,Tom Cole,abortion,4,"Cole has a 100% NRLC rating and 0% NARAL rating, voted YES on banning partial-birth abortion (2003), and sponsored the Born-Alive Abortion Survivors Protection Act (2019). He signed an amicus brief to overturn Roe v. Wade and called the Dobbs decision a win for states' rights and unborn children. His record is consistent with restricting abortion to cases of serious threats to life, though his fertilization-language advocacy pushes toward no-exceptions.",https://www.ontheissues.org/House/Tom_Cole.htm,https://en.wikipedia.org/wiki/Tom_Cole,,"""not only is this a monumental win for states' rights, but also the rights of unborn children.""","not only is this a monumental win for states' rights, but also the rights of unborn children."
-40004,Tom Cole,healthcare,4,"Cole voted NO on expanding the Children's Health Insurance Program (2009) and supported repealing the ACA. He has been rated 0% by the American Public Health Association, reflecting consistent opposition to government-led healthcare expansion while stopping short of eliminating existing safety-net programs like Medicaid.",https://www.ontheissues.org/House/Tom_Cole.htm,,,"""Repeal the Job-Killing Health Care Law""","Repeal the Job-Killing Health Care Law"
-40004,Tom Cole,taxes,4,"Cole signed the Taxpayer Protection Pledge, supported capital gains and dividends tax cuts, backed reducing the corporate tax rate to 21%, and has opposed estate taxes as a double tax. His record aligns with cutting taxes across income levels and scaling back public spending, consistent with chair 4 on the scale.",https://www.ontheissues.org/House/Tom_Cole.htm,,,"Death Tax is a pernicious double tax","Death Tax is a pernicious double tax"
-40004,Tom Cole,same-sex-marriage,5,"Cole voted YES on a federal constitutional amendment banning same-sex marriage in both 2004 and 2006, and has been rated 0% by the Human Rights Campaign. He explicitly supports defining marriage constitutionally as between one man and one woman, placing him at the most restrictive position on the scale.",https://www.ontheissues.org/House/Tom_Cole.htm,,,,,
-40004,Tom Cole,fossil-fuels,5,"Cole has a lifetime LCV score of 7% and 0% in 2025, voting against all 34 tracked environmental measures including rolling back the Methane Polluter Fee and voting to open the Arctic National Wildlife Refuge to oil and gas drilling. He signed the No Climate Tax Pledge and consistently supports removing environmental restrictions to maximize fossil fuel extraction.",https://www.lcv.org/congressional-scorecard/moc/tom-cole,https://www.ontheissues.org/House/Tom_Cole.htm,,,
-40004,Tom Cole,climate-change,5,"Cole has a lifetime LCV score of 7%, signed the No Climate Tax Pledge, voted NO on renewable energy tax incentives, and voted to undermine federal LNG authority (2025). His record reflects consistent rejection of climate policies in favor of economic growth and fossil fuel interests.",https://www.lcv.org/congressional-scorecard/moc/tom-cole,https://www.ontheissues.org/House/Tom_Cole.htm,,,
-40004,Tom Cole,immigration,4,"Cole was rated 92% by U.S. Border Control for a sealed-border stance, voted YES on constructing a border fence (2006), and supports continued construction of a border wall. He opposes pathways to citizenship for undocumented immigrants, aligning with making it harder to immigrate legally and limiting public services to those with legal status.",https://www.ontheissues.org/House/Tom_Cole.htm,,,"Continue construction of wall to stop border emergency","Continue construction of wall to stop border emergency"
-40004,Tom Cole,deportation,4,"Cole's 92% USBC rating and consistent support for border enforcement and opposition to citizenship pathways indicate support for deporting all people without legal status, prioritizing those with criminal records. No evidence of support for mass immediate deportation regardless of ties, placing him at chair 4.",https://www.ontheissues.org/House/Tom_Cole.htm,,,,,
-40004,Tom Cole,social-security,5,"Cole is rated 10% by the Alliance for Retired Americans and 0% by the ARA for an anti-senior voting record, with OnTheIssues classifying his position as favoring privatization of Social Security into individual accounts. This aligns with chair 5 — transitioning to private investment accounts.",https://www.ontheissues.org/House/Tom_Cole.htm,,,,,
-40004,Tom Cole,voting-rights,4,"Cole explicitly stated he opposes expanding voter registration and voter access (2021) and supports voter ID requirements. He opposes same-day registration and other access expansions, aligning with chair 4: require photo ID and regularly update voter rolls.",https://www.ontheissues.org/House/Tom_Cole.htm,,,"Oppose expanding voter registration and voter access","Oppose expanding voter registration and voter access"
-40004,Tom Cole,school-vouchers,4,"Cole supports the DC Opportunity Scholarship voucher program and has stated that vouchers break the link connecting low-income students to failing schools, indicating strong support for expanding voucher eligibility to most families while not explicitly advocating for universal vouchers.",https://www.ontheissues.org/House/Tom_Cole.htm,,,"Vouchers break link of low-income schools","Vouchers break link of low-income schools"
-40004,Tom Cole,medicare/aid,4,"Cole voted against expanding the Children's Health Insurance Program and supported ACA repeal, reflecting a preference for reducing government healthcare programs. His 0% APHA rating and support for privatization-oriented healthcare policy align with partially privatizing Medicare and reducing Medicaid coverage.",https://www.ontheissues.org/House/Tom_Cole.htm,,,,,
