politician_id,topic_id,topic_key,value,notes,source_url
16d09097-5d60-4209-8bb0-a1646df912c8,669cac97-66a6-4087-b036-936fbe62efb3,housing,3,Banner 2023 Q: incentivize affordable construction w/ developers; nonprofits; no rent caps or mandates named,https://nashvillebanner.com/2023/06/28/at-large-delishia-porterfield/
16d09097-5d60-4209-8bb0-a1646df912c8,ba59337e-30e2-4aba-a39a-426b3366eb27,transportation-priorities,1,Banner 2023 Q: top-3 priority walkability/transit/sidewalks; backs dedicated transit funding source,https://nashvillebanner.com/2023/06/28/at-large-delishia-porterfield/
16d09097-5d60-4209-8bb0-a1646df912c8,eb3d1247-0de1-4b7f-baec-7259861efd53,economic-development,3,Banner 2023 Q: opposed Titans deal specifically for lacking concrete community benefits,https://nashvillebanner.com/2023/06/28/at-large-delishia-porterfield/
15372259-2349-4c06-b447-3bc976644ee3,e9ebefcd-c496-45e8-b816-a79f8442ba85,public-safety-approach,2,Banner 2023 Q: shift traffic/mental-health calls to civilians so sworn officers handle violent crime,https://nashvillebanner.com/2023/06/28/district-5-sean-parker/
15372259-2349-4c06-b447-3bc976644ee3,669cac97-66a6-4087-b036-936fbe62efb3,housing,3,Banner 2023 Q: record affordable-housing funding as Housing Chair; legalized shared housing; missing middle,https://nashvillebanner.com/2023/06/28/district-5-sean-parker/
15372259-2349-4c06-b447-3bc976644ee3,ba59337e-30e2-4aba-a39a-426b3366eb27,transportation-priorities,1,Banner 2023 Q: make transit; cycling and walking viable; overhaul dangerous corridors; bike/ped advocate,https://nashvillebanner.com/2023/06/28/district-5-sean-parker/
a5832455-f2b6-4dae-9523-5bb0f84b1e41,e9ebefcd-c496-45e8-b816-a79f8442ba85,public-safety-approach,4,"Banner 2023 Q: ""hundreds of officers short""; focus on pay; shift mandates; technology and fleet",https://nashvillebanner.com/2023/06/27/district-26-courtney-johnston/
a5832455-f2b6-4dae-9523-5bb0f84b1e41,eb3d1247-0de1-4b7f-baec-7259861efd53,economic-development,4,Banner 2023 Q: voted yes on Titans stadium financing; protect tourism revenue stream,https://nashvillebanner.com/2023/06/27/district-26-courtney-johnston/
a5832455-f2b6-4dae-9523-5bb0f84b1e41,669cac97-66a6-4087-b036-936fbe62efb3,housing,3,Banner 2023 Q: praises Barnes Fund affordable investment; metro can only affect supply,https://nashvillebanner.com/2023/06/27/district-26-courtney-johnston/
a5832455-f2b6-4dae-9523-5bb0f84b1e41,ba59337e-30e2-4aba-a39a-426b3366eb27,transportation-priorities,3,"Banner 2023 Q: cross routes/smaller buses/first-and-last mile; only ""open to"" dedicated revenue",https://nashvillebanner.com/2023/06/27/district-26-courtney-johnston/
7a103cbc-b299-4a99-9068-7a2ff5636d9b,ba59337e-30e2-4aba-a39a-426b3366eb27,transportation-priorities,1,"Banner 2023 Q: transport a top-3 priority; ""must have a dedicated funding source""; growth needs transit",https://nashvillebanner.com/2023/06/28/at-large-olivia-hill/
6f39bc7a-2538-4f47-8219-3c992e0f3d40,eb3d1247-0de1-4b7f-baec-7259861efd53,economic-development,3,Banner 2023 Q: voted no on stadium; passed amendment routing $470M rental payments to General Fund,https://nashvillebanner.com/2023/06/27/district-21-brandon-taylor/
6f39bc7a-2538-4f47-8219-3c992e0f3d40,f7e5678d-dadd-4556-a2fc-446e24642ceb,taxes,3,Banner 2023 Q: no rate rise expected; end big-business tax breaks won on appeal; they pay like residents,https://nashvillebanner.com/2023/06/27/district-21-brandon-taylor/
