external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-500003,Tim Griffin,abortion,4,"As a congressman Griffin stated he opposes abortion except in cases of rape, incest, and maternal health (2010); voted YES on banning federal health coverage including abortion (May 2011); as AR AG joined amicus challenging FDA abortion pill shipment rule (May 2026) and sent cease-and-desist letters to mail-order abortion providers (July 2025). Record consistently places exceptions for rape/incest/life but opposes broader access.",https://www.ontheissues.org/Tim_Griffin.htm,https://arkansasag.gov/news/press-releases/,,,
-500003,Tim Griffin,civil-rights,5,"Voted NO on reauthorizing Violence Against Women Act (Feb 2013); OnTheIssues classifies him as Hard-Core Conservative; record shows opposition to race-based government programs and affirmative action. Congressional record and stated positions consistently align with eliminating race-based government programs and limiting civil rights enforcement.",https://www.ontheissues.org/Tim_Griffin.htm,https://en.wikipedia.org/wiki/Tim_Griffin,,,
-500003,Tim Griffin,climate-change,5,"Signed Americans for Prosperity pledge opposing any climate legislation that raises taxes (2009); signed No Climate Tax Pledge (2010); voted YES on barring EPA greenhouse gas regulation (Apr 2011); voted YES on Outer Continental Shelf oil drilling (May 2011). Record consistently rejects climate-driven policy and prioritizes economic growth over emissions restrictions.",https://www.ontheissues.org/Tim_Griffin.htm,https://en.wikipedia.org/wiki/Tim_Griffin,,,"Signed No Climate Tax Pledge and opposes cap-and-trade legislation that would raise taxes on American families and businesses.",
-500003,Tim Griffin,deportation,4,"Stated 'Secure the borders; no amnesty' as his immigration position (2010); as AG joined brief supporting Texas's right to enforce its illegal immigration law (Aug 2025); office arrested three noncitizens for illegal voting (Oct 2025). Positions align with deporting all without legal status prioritizing criminal records.",https://www.ontheissues.org/Tim_Griffin.htm,https://arkansasag.gov/news/press-releases/,,,
-500003,Tim Griffin,fossil-fuels,5,"Voted YES on Outer Continental Shelf oil drilling (May 2011); voted YES on barring EPA greenhouse gas regulation (Apr 2011); stated he favors natural gas, nuclear, coal, and oil while opposing cap-and-trade. Record shows consistent support for maximizing fossil fuel access and removing environmental restrictions on extraction.",https://www.ontheissues.org/Tim_Griffin.htm,,,,
-500003,Tim Griffin,healthcare,4,"Opposes government-run healthcare and favors free market solutions (2010); voted YES on Ryan Budget with Medicare choice (Apr 2011); voted YES on repealing Prevention/Public Health Fund (Apr 2011); called for repealing the 'Job-Killing Health Care Law' (2011). Positions reflect providing only limited help to the poorest while leaving others to employers and private insurance.",https://www.ontheissues.org/Tim_Griffin.htm,https://en.wikipedia.org/wiki/Tim_Griffin,,,"Repeal the Job-Killing Health Care Law.",
-500003,Tim Griffin,immigration,4,"Stated 'Secure the borders; no amnesty' (2010); as AG joined brief supporting Texas's illegal immigration enforcement statute (Aug 2025) and prosecuted noncitizens for illegal voting (2025). Positions support making legal immigration harder and limiting public services to those with legal status.",https://www.ontheissues.org/Tim_Griffin.htm,https://arkansasag.gov/news/press-releases/,,,"Secure the borders; no amnesty.",Secure the borders; no amnesty.
-500003,Tim Griffin,medicare/aid,4,"Voted YES on Ryan Budget with Medicare choice (Apr 2011) which included partial privatization of Medicare; voted YES on repealing Prevention/Public Health Fund (Apr 2011); strongly opposed ACA expansion of Medicaid. Record aligns with partially privatizing Medicare and reducing Medicaid coverage.",https://www.ontheissues.org/Tim_Griffin.htm,,,,
-500003,Tim Griffin,redistricting,4,"As AR AG Griffin defended Arkansas's legislature-drawn redistricting plan in federal court; a federal court upheld the plan in June 2025. His defense of legislature-controlled redistricting without independent commission oversight places him at state legislature with court oversight.",https://arkansasag.gov/news/press-releases/,,,,
-500003,Tim Griffin,religious-freedom,4,"Supports school vouchers for religious schools (2010, 2020); sponsored $110M annually for abstinence education (Sep 2013); voted NO on reauthorizing VAWA (Feb 2013). Record shows consistent support for allowing faith-based exemptions from laws that conflict with sincere religious beliefs.",https://www.ontheissues.org/Tim_Griffin.htm,,,,
-500003,Tim Griffin,same-sex-marriage,5,"Stated 'Marriage should be between one man and one woman' (Nov 2010) and 'Supports amendment preventing same-sex marriage' (Aug 2010). The documented support for a constitutional amendment defining marriage as one man and one woman places him at value 5 — make same-sex marriage illegal.",https://www.ontheissues.org/Tim_Griffin.htm,,,"Marriage should be between one man and one woman.","Marriage should be between one man and one woman."
-500003,Tim Griffin,school-vouchers,4,"Stated he wants parental choice and supports school vouchers (2010); supports voucher funding for religious schools (Jun 2020). Record reflects expanding voucher eligibility to most families so parents can choose the school that best fits their child.",https://www.ontheissues.org/Tim_Griffin.htm,,,,
-500003,Tim Griffin,taxes,4,"Signed Taxpayer Protection Pledge (Jan 2012) opposing tax increases; stated 'Eliminating state income tax should be our goal' (Nov 2020); held that 'Tax relief encourages economic growth' (2010). Positions align with cutting taxes for everyone and scaling back public services.",https://www.ontheissues.org/Tim_Griffin.htm,,,"Eliminating state income tax should be our goal.","Eliminating state income tax should be our goal."
-500003,Tim Griffin,trans-athletes,4,"As AR AG co-led multistate effort to uphold fairness in women's sports (Sept 19, 2025); applauded appellate decision upholding Arkansas's SAFE Act protecting children from gender-affirming medical procedures (Aug 2025); celebrated Supreme Court decision upholding Tennessee law (June 2025). Co-led brief requiring athletes to compete on teams matching their biological sex.",https://arkansasag.gov/news/press-releases/,,,,
