full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
Nick LaLota,,abortion,3,"LaLota allows abortion in the first trimester and in cases of rape, incest, or threats to maternal health, but opposes second and third trimester abortions. He views abortion as a state issue under the 10th Amendment and opposes federal funding for abortion services.",https://www.ontheissues.org/NY/Nick_LaLota.htm,https://politicsny.com/2022/10/14/meet-the-candidates-general-election-nick-lalota-congressional-district-1/,,"I oppose second and third trimester abortions","I oppose second and third trimester abortions"
Nick LaLota,,climate-change,4,"LaLota's LCV lifetime environmental score is 13%, with a 12% score in both 2024 and 2025. He consistently votes against clean energy incentives, renewable energy mandates, and climate regulations, indicating a market-driven approach to energy transition rather than government-mandated policy.",https://www.lcv.org/moc/nick-lalota/,,,,
Nick LaLota,,fossil-fuels,4,"LaLota advocated in 2022 for legislation to make it easier to drill on federal land as part of his American energy independence agenda. His LCV scores (12-14% lifetime) reflect consistent votes expanding fossil fuel production and blocking clean energy regulations, including opposing a Delaware River Basin fracking ban.",https://www.lcv.org/moc/nick-lalota/,https://politicsny.com/2022/10/14/meet-the-candidates-general-election-nick-lalota-congressional-district-1/,,,
Nick LaLota,,same-sex-marriage,2,"LaLota publicly supports same-sex marriage and opposed efforts to repeal the Respect for Marriage Act (2026). He stated that government cannot discriminate based on sexual orientation in the marriage context, aligning with nationwide recognition while acknowledging some organizations' right to decline participation.",https://en.wikipedia.org/wiki/Nick_LaLota,,,"If government is going to be in the marriage business, it cannot discriminate based upon any of the protected classes, including sexual orientation.","If government is going to be in the marriage business, it cannot discriminate based upon any of the protected classes, including sexual orientation."
Nick LaLota,,voting-rights,4,"LaLota supports photo ID requirements for voting and limits on absentee ballots as documented in March 2023 campaign materials. This aligns with requiring photo ID for voting and regularly updating voter rolls, stopping short of eliminating mail-in voting entirely.",https://www.ontheissues.org/NY/Nick_LaLota.htm,,,,
Nick LaLota,,taxes,4,"LaLota voted for the One Big Beautiful Bill (signed July 4, 2025), which extended tax cuts and raised the SALT deduction cap from $10,000 to $40,000. He campaigned as a leading advocate for SALT relief, calling it 'a hard-earned win for Long Island families,' reflecting a clear preference for cutting taxes across income levels rather than raising them.",https://www.longislandpress.com/2025/07/08/salt-deduction-grows/,,,"""Just the SALT provision alone means that a Long Island family earning $250,000 and paying $18,000 in property taxes will get $5,000 more back when they file their 2025 taxes– real relief I fought tooth and nail to deliver.""","""Just the SALT provision alone means that a family earning $250,000 and paying $18,000 in property taxes will get $5,000 more back when they file their 2025 taxes– real relief I fought tooth and nail to deliver."""
Nick LaLota,,immigration,4,"LaLota has stated 'The porous border is the root of many public safety issues' and cosponsored the 2025 DIGNIDAD Act, which pairs a pathway to legal status for undocumented immigrants with stricter border enforcement and mandatory work/restitution requirements. His overall posture prioritizes enforcement and restricts public services for those without legal status.",https://en.wikipedia.org/wiki/Nick_LaLota,https://www.ontheissues.org/NY/Nick_LaLota.htm,,"""The porous border is the root of many public safety issues.""","""The porous border is the root of many public safety issues."""
Nick LaLota,,deportation,3,"LaLota cosponsored the 2025 DIGNIDAD Act, which proposes legal status for up to 12 million undocumented immigrants paired with mandatory work/restitution requirements and stricter border enforcement, rather than mass deportation. This approach focuses enforcement on recent border crossers while providing a pathway for long-term residents.",https://en.wikipedia.org/wiki/Nick_LaLota,,,,
Nick LaLota,,medicare/aid,4,"LaLota voted for the February 2025 budget resolution (H.Con.Res.14) which instructed the House Energy and Commerce Committee to cut $880 billion over 10 years — a committee whose jurisdiction is 93% Medicaid. His claim that the resolution 'protects Social Security, Medicare, and Medicaid' was rated False by PolitiFact, as the resolution contained no protective language for these programs.",https://www.politifact.com/factchecks/list/?speaker=nick-lalota,https://www.politifact.com/personalities/nick-lalota/,,"""On Feb. 25, I voted yes on a budget resolution that protects Social Security, Medicare, and Medicaid while cutting some spending elsewhere.""","""On Feb. 25, I voted yes on a budget resolution that protects Social Security, Medicare, and Medicaid while cutting some spending elsewhere."""
Nick LaLota,,social-security,3,"LaLota publicly claimed his February 2025 budget vote protected Social Security; PolitiFact rated that claim False because the resolution contained no protective guardrails. He has not proposed privatizing Social Security or dramatically expanding it, suggesting a position of maintaining current programs with fiscal adjustments.",https://www.politifact.com/personalities/nick-lalota/,https://www.politifact.com/factchecks/list/?speaker=nick-lalota,,,,
