external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-34001,Donald Norcross,abortion,1,"Norcross co-sponsored the Women's Health Protection Act to eliminate government restrictions on abortion services and voted NAY on the Pain-Capable Unborn Child Protection Act (20-week ban) in 2017. He also voted NAY on H.R.7 which would have restricted federal funding for abortion, calling such limits discriminatory against low-income women.",https://www.ontheissues.org/NJ/Donald_Norcross_Abortion.htm,https://www.ontheissues.org/NJ/Donald_Norcross.htm,,,
-34001,Donald Norcross,campaign-finance,2,"Norcross co-sponsored the Government By the People Act, which would provide $50 voter vouchers and a 6-to-1 matching fund system to amplify small donations, while prohibiting participating candidates from establishing leadership PACs. He supports empowering everyday citizens over wealthy donors and dark money groups.",https://www.ontheissues.org/NJ/Donald_Norcross_Government_Reform.htm,https://www.ontheissues.org/NJ/Donald_Norcross.htm,,,
-34001,Donald Norcross,civil-rights,2,"Norcross has consistently supported civil rights enforcement, including voting against the Gosar Anti-DACA Amendment to protect immigrants from discrimination. However, his 2016 vote against the Maloney Amendment (which would have extended non-discrimination protections for gender identity to federal contractors) adds complexity to his record.",https://www.ontheissues.org/NJ/Donald_Norcross_Civil_Rights.htm,https://www.ontheissues.org/NJ/Donald_Norcross_Immigration.htm,,,
-34001,Donald Norcross,climate-change,3,"Norcross supports CO2 regulation and renewable energy development, and voted to ban offshore drilling in the Eastern Gulf of Mexico in 2016. His positions favor clean energy investment and gradual reduction of fossil fuel reliance, but he has not endorsed emergency declarations or a full 2030 phase-out of fossil fuels.",https://www.ontheissues.org/NJ/Donald_Norcross_Energy_+_Oil.htm,https://www.ontheissues.org/NJ/Donald_Norcross.htm,,,
-34001,Donald Norcross,deportation,2,"Norcross voted against the Gosar Anti-DACA Amendment to protect DREAMers from being barred from military service pathways to citizenship, and co-sponsored the Fairness for High-Skilled Immigrants Act expanding visa access. His record supports pathways for long-term undocumented residents and limits deportation to serious cases, not broad enforcement.",https://www.ontheissues.org/NJ/Donald_Norcross_Immigration.htm,https://www.ontheissues.org/NJ/Donald_Norcross_Civil_Rights.htm,,,
-34001,Donald Norcross,fossil-fuels,2,"Norcross voted YES to ban offshore drilling research in the Eastern Gulf of Mexico in 2016, and supports CO2 regulation of greenhouse gas emissions confirmed by Project VoteSmart. His positions align with stopping new fossil fuel permits rather than maintaining current production levels.",https://www.ontheissues.org/NJ/Donald_Norcross_Energy_+_Oil.htm,https://www.ontheissues.org/NJ/Donald_Norcross.htm,,,
-34001,Donald Norcross,healthcare,2,"Norcross voted against full repeal of the Affordable Care Act and supports expanding access through a mix of public programs and regulated private insurance. He has not endorsed Medicare for All or a fully public system, aligning with ensuring affordable coverage through mixed public-private approaches.",https://www.ontheissues.org/NJ/Donald_Norcross_Health_Care.htm,https://www.ontheissues.org/NJ/Donald_Norcross.htm,,,
-34001,Donald Norcross,immigration,2,"Norcross supports keeping legal immigration open, co-sponsored the Fairness for High-Skilled Immigrants Act to increase visa caps, and protected DREAMers' military service pathways. His record favors pathways for undocumented long-term residents and expanded legal immigration, not open borders.",https://www.ontheissues.org/NJ/Donald_Norcross_Immigration.htm,https://www.ontheissues.org/NJ/Donald_Norcross.htm,,,
-34001,Donald Norcross,medicare/aid,3,"Norcross has stated he would ""ensure that we honor our commitments to seniors and protect the Social Security and Medicare programs,"" and opposes privatization. However, he has not advocated for lowering the Medicare age to 55 or significantly expanding Medicaid — his position is to improve and stabilize current programs.",https://www.ontheissues.org/NJ/Donald_Norcross_Social_Security.htm,https://www.ontheissues.org/NJ/Donald_Norcross.htm,,"""ensure that we honor our commitments to seniors and protect the Social Security and Medicare programs that they have worked hard to fund.""","""ensure that we honor our commitments to seniors and protect the Social Security and Medicare programs that they have worked hard to fund."""
-34001,Donald Norcross,redistricting,2,"Norcross voted for the For the People Act of 2019 (H.R. 1), which included provisions establishing independent, nonpartisan redistricting commissions to draw congressional districts. This aligns with supporting commissions with equal representation from both major parties and removing partisan control from map-drawing.",https://www.ontheissues.org/NJ/Donald_Norcross_Government_Reform.htm,https://www.ontheissues.org/NJ/Donald_Norcross.htm,,,
