full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
Kathy Castor,,abortion,2,"Castor is endorsed by NARAL Pro-Choice America and has stated support for safe, legal abortion without restrictions. She supports county funding for Planned Parenthood and affirmed the constitutional right to terminate pregnancy for health. Her record reflects keeping abortion legal and accessible, consistent with the second-trimester framework, without evidence of supporting full public funding at all stages.",https://www.ontheissues.org/FL/Kathy_Castor.htm,https://en.wikipedia.org/wiki/Kathy_Castor,,"Access safe, legal abortion without restrictions","Access safe, legal abortion without restrictions"
Kathy Castor,,campaign-finance,2,"Castor co-sponsored the DISCLOSE Act (independent expenditure disclosure), the Government By the People Act (6-to-1 public campaign financing matching), and voter voucher public financing. She supports banning congressional insider trading via the STOCK Act. Her record places her at strictly limiting corporate donations and dark money, not at a full ban on private money.",https://www.ontheissues.org/FL/Kathy_Castor_Government_Reform.htm,https://www.ontheissues.org/FL/Kathy_Castor.htm,,,
Kathy Castor,,childcare,2,"Castor voted YES on paid parental leave for federal employees (2009), signed legislation expanding free school meals, and has a consistent record supporting family assistance programs and expanding access for low- and middle-income families. Her broader progressive record on social spending aligns with significantly expanding childcare subsidies and provider grants.",https://www.ontheissues.org/FL/Kathy_Castor_Families_+_Children.htm,https://www.ontheissues.org/FL/Kathy_Castor.htm,,,
Kathy Castor,,civil-rights,2,"Castor co-sponsored the George Floyd Justice in Policing Act (2021) to strengthen police accountability, voted YES on ENDA multiple times (2007, 2009), co-sponsored the ERA, and backed hate crimes protections. Her record consistently supports strengthening civil rights enforcement and addressing systemic discrimination.",https://www.ontheissues.org/FL/Kathy_Castor_Civil_Rights.htm,https://en.wikipedia.org/wiki/Kathy_Castor,,"The march towards equality under the law for all of our citizens has sometimes been slow, but it has been steady.","The march towards equality under the law for all of our citizens has sometimes been slow, but it has been steady."
Kathy Castor,,climate-change,2,"Castor chaired the House Select Committee on Climate Crisis (2019–2023), conducting 120+ hearings. She supported a 50% clean electricity target by 2030, backed the Inflation Reduction Act's clean energy provisions, voted YES on enforcing CO2 pollution limits (2009), and opposed offshore drilling. Her leadership position and legislative record reflect rapid transition to renewable energy.",https://www.ontheissues.org/FL/Kathy_Castor_Energy_+_Oil.htm,https://en.wikipedia.org/wiki/Kathy_Castor,,"For the first time in the history of our country, we will put enforceable limits on global warming pollution","For the first time in the history of our country, we will put enforceable limits on global warming pollution"
Kathy Castor,,deportation,2,"Castor voted NAY on the anti-DACA amendment (2016), co-sponsored the American Dream Act allowing undocumented students to attend school, co-sponsored providing legal counsel to children in deportation proceedings, and backed pathway to citizenship for undocumented immigrants including through military service. Her record aligns with deporting only serious violent criminals while providing legal status to others.",https://www.ontheissues.org/FL/Kathy_Castor_Immigration.htm,https://www.ontheissues.org/FL/Kathy_Castor.htm,,,
Kathy Castor,,fossil-fuels,2,"Castor voted YES on banning offshore oil drilling in the Gulf of Mexico (2016), voted NO on opening the Outer Continental Shelf to drilling (2011), backed removing oil and gas exploration subsidies (2007), and voted NO on barring EPA from regulating greenhouse gases (2011). As chair of the House Select Committee on Climate Crisis, she has been among the most vocal advocates for stopping new fossil fuel permits.",https://www.ontheissues.org/FL/Kathy_Castor_Energy_+_Oil.htm,https://en.wikipedia.org/wiki/Kathy_Castor,,"ending the unwarranted tax breaks & subsidies which have been lavished on Big Oil","ending the unwarranted tax breaks & subsidies which have been lavished on Big Oil"
Kathy Castor,,healthcare,2,"Castor voted YES on the ACA, voted against full ACA repeal (2015), voted YES on Medicare expansion override (2008), opposed the Ryan Budget's Medicare changes (2011), supported Medicare prescription drug negotiation, and criticized Florida Republicans for refusing Medicaid expansion. Her record supports affordable coverage through a mix of public programs and regulated private insurance.",https://www.ontheissues.org/FL/Kathy_Castor_Health_Care.htm,https://www.ontheissues.org/FL/Kathy_Castor.htm,https://en.wikipedia.org/wiki/Kathy_Castor,,
Kathy Castor,,housing,2,"Castor voted YES on revitalizing severely distressed public housing (2008), YES on modifying bankruptcy rules to avoid foreclosures (2009), NO on terminating the Home Affordable Modification Program (2011), and YES on regulating the subprime mortgage industry (2007). She supports public housing investment and rent/affordability protections, aligning with publicly funding new housing and requiring affordable units.",https://www.ontheissues.org/FL/Kathy_Castor_Budget_+_Economy.htm,https://www.ontheissues.org/FL/Kathy_Castor.htm,,,
Kathy Castor,,immigration,2,"Castor voted YEA on the NO BAN Act (2021), co-sponsored the Fairness for High-Skilled Immigrants Act (2019) increasing visa caps, co-sponsored the American Dream Act, and supported DACA. She opposes religion-based immigration bans and backs legalizing undocumented immigrants. Her record aligns with keeping legal immigration open and allowing most residents to use public services.",https://www.ontheissues.org/FL/Kathy_Castor_Immigration.htm,https://www.ontheissues.org/FL/Kathy_Castor.htm,,,
