full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
Lois Frankel,,abortion,2,"Frankel describes herself as a 'life-long supporter of women's reproductive rights' and supports 'access to safe, legal abortion without restrictions.' She is endorsed by EMILY's List and opposes all legislative limitations on abortion access. OnTheIssues characterizes her as strongly pro-choice. Her position aligns with keeping abortion legal and accessible through all trimesters, though publicly funded access at all stages is not specifically confirmed.",https://www.ontheissues.org/FL/Lois_Frankel.htm,https://ballotpedia.org/Lois_Frankel,,,
Lois Frankel,,healthcare,2,"Frankel consistently opposed efforts to repeal the Affordable Care Act and supports expanding healthcare coverage through a mix of public programs and regulated private insurance. She has cited the ACA's role in combating Medicare fraud and expanding coverage. No evidence of single-payer Medicare for All advocacy; her record is most consistent with ensuring everyone has affordable coverage through a public-private mix.",https://www.ontheissues.org/FL/Lois_Frankel.htm,https://ballotpedia.org/Lois_Frankel,,"ObamaCare helps crack down on monumental Medicare fraud","The Affordable Care Act helps crack down on monumental Medicare fraud"
Lois Frankel,,climate-change,2,"Frankel has a 98% lifetime score from the League of Conservation Voters and 100% in 2025, indicating consistent support for rapid clean energy transition. She supported banning offshore oil drilling in the Gulf of Mexico and backed rural renewable energy assistance. Her voting record places her among the strongest environmental advocates in Congress, consistent with rapidly transitioning to renewable energy and phasing out fossil fuels.",https://www.lcv.org/congressional-scorecard/moc/lois-frankel,https://www.ontheissues.org/FL/Lois_Frankel.htm,https://www.progressivepunch.org/scores.htm?house=house&party=D&sortby=scorecard&state=FL&district=22,,
Lois Frankel,,fossil-fuels,2,"Frankel supports banning offshore oil drilling in the Gulf of Mexico and has a 98% lifetime LCV score indicating consistent opposition to fossil fuel expansion. Her record is most consistent with stopping new permits for fossil fuel drilling rather than maintaining current production levels or expanding permits. No evidence of support for new fossil fuel development.",https://www.lcv.org/congressional-scorecard/moc/lois-frankel,https://www.ontheissues.org/FL/Lois_Frankel.htm,,,
Lois Frankel,,immigration,2,"Frankel co-sponsored the NO BAN Act (prohibiting religion-based immigration restrictions), the Fairness for High-Skilled Immigrants Act (increasing visa caps), and opposes requiring undocumented immigrants to exit the US before applying for legal status. She supports DACA and DREAMer pathways. Her record is consistent with keeping legal immigration open and allowing most residents to access public services regardless of legal status.",https://www.ontheissues.org/FL/Lois_Frankel.htm,https://ballotpedia.org/Lois_Frankel,,,
Lois Frankel,,deportation,2,"Frankel's immigration record reflects strong opposition to restrictive enforcement: she opposes requiring undocumented immigrants to leave the US, supports DREAMer pathways to citizenship, and co-sponsored the NO BAN Act. She has not advocated for mass deportation or removal of long-term residents. Her voting record is consistent with reserving deportation for serious violent criminals while providing legal pathways for others.",https://www.ontheissues.org/FL/Lois_Frankel.htm,https://ballotpedia.org/Lois_Frankel,,,
Lois Frankel,,taxes,2,"Frankel supports an income tax increase on high earners to help balance the budget, voted for the $1.9 trillion American Rescue Plan (ARPA), and consistently opposed prioritizing spending cuts over revenue increases during debt ceiling debates. She supports progressive taxation where wealthy individuals and corporations pay more. Her record is consistent with modestly raising taxes on high earners while maintaining current rates for middle-class families.",https://www.ontheissues.org/FL/Lois_Frankel.htm,https://ballotpedia.org/Lois_Frankel,,,,
Lois Frankel,,same-sex-marriage,1,"Frankel signed the Respect for Marriage Act (2022) which provides federal recognition of same-sex marriages and requires states to recognize out-of-state same-sex marriages. She also co-sponsored the Student Non-Discrimination Act to prohibit discrimination based on sexual orientation or gender identity in public schools. Her record is fully consistent with requiring all states to recognize same-sex marriages with full federal benefits and protections.",https://www.ontheissues.org/FL/Lois_Frankel_Civil_Rights.htm,https://ballotpedia.org/Lois_Frankel,,,
Lois Frankel,,civil-rights,2,"Frankel supports affirmative action in college admissions and hiring, voted to reauthorize the Violence Against Women Act with expanded LGBTQ+ protections, co-sponsored the Paycheck Fairness Act to combat wage discrimination, and co-sponsored the Equal Rights Amendment. She is endorsed by the Feminist Majority. Her record is consistent with strengthening civil rights enforcement and addressing systemic discrimination.",https://www.ontheissues.org/FL/Lois_Frankel_Civil_Rights.htm,https://ballotpedia.org/Lois_Frankel,,,
Lois Frankel,,school-vouchers,1,"Frankel voted against the SOAR Act which would have continued funding Washington D.C.'s private and religious school voucher program. She also voted against the A-PLUS Amendment that would have allowed states to consolidate federal education funds with no accountability requirements. Her record is consistent with fully funding public schools and eliminating voucher programs that divert taxpayer money to private institutions.",https://www.ontheissues.org/FL/Lois_Frankel_Education.htm,https://ballotpedia.org/Lois_Frankel,,,
Lois Frankel,,social-security,3,"Frankel co-sponsored a resolution opposing Chained CPI for Social Security cost-of-living adjustments, protecting beneficiaries from reduced increases. She has a 100% rating from the Alliance for Retired Americans and pledges to fight to protect these programs for current and future generations. Her record focuses on defending existing benefits from cuts rather than expanding them or removing the income cap, placing her at improving current programs while controlling costs.",https://www.ontheissues.org/FL/Lois_Frankel_Social_Security.htm,https://ballotpedia.org/Lois_Frankel,,,,
Lois Frankel,,medicare/aid,3,"Frankel has a 100% rating from the Alliance for Retired Americans, consistently opposes privatization of Medicare, and defended the Affordable Care Act's Medicare provisions. She opposes any benefit cuts to Medicare and Medicaid. Her record is consistent with improving current programs while controlling costs; no evidence of specific proposals to lower the Medicare eligibility age to 55 or dramatically expand Medicaid beyond ACA levels.",https://www.ontheissues.org/FL/Lois_Frankel.htm,https://ballotpedia.org/Lois_Frankel,,,
Lois Frankel,,voting-rights,1,"Frankel co-sponsored the Voter Empowerment Act establishing automatic, permanent voter registration for eligible citizens. She voted for the For the People Act (2019) making Election Day a federal holiday, signed the Voting Rights Amendment Act opposing photo ID requirements, and supports same-day registration. Her record is fully consistent with automatically registering all eligible citizens to vote and expanding access.",https://www.ontheissues.org/FL/Lois_Frankel_Government_Reform.htm,https://ballotpedia.org/Lois_Frankel,,,
Lois Frankel,,tariffs,3,"Frankel voted YES on the USMCA Implementation Act (December 2019) supporting the renegotiated trade agreement with stronger labor and environmental standards. She co-sponsored expansion of the Export-Import Bank to support American exporters. Her record is consistent with using tariffs selectively to protect key American industries and jobs, particularly with enforceable labor and environmental standards, rather than broad free trade or high blanket tariffs.",https://www.ontheissues.org/FL/Lois_Frankel_Free_Trade.htm,https://ballotpedia.org/Lois_Frankel,,,
Lois Frankel,,redistricting,2,"Frankel co-sponsored the For the People Act which requires states to establish independent redistricting commissions to prevent gerrymandering. The For the People Act creates independent commissions with bipartisan representation rather than allowing state legislatures to draw maps. Her record is consistent with supporting independent redistricting commissions with equal representation from both major parties.",https://www.ontheissues.org/FL/Lois_Frankel_Government_Reform.htm,https://ballotpedia.org/Lois_Frankel,,,
Lois Frankel,,religious-freedom,2,"Frankel signed the Respect for Marriage Act which overrode religious objections to same-sex marriage recognition, co-sponsored the Student Non-Discrimination Act prohibiting anti-LGBTQ+ discrimination in schools, and voted to reauthorize VAWA with expanded LGBTQ+ protections. Her record consistently prioritizes anti-discrimination protections over religious exemptions in employment and public services, consistent with protecting religious freedom only where it does not override anti-discrimination law.",https://www.ontheissues.org/FL/Lois_Frankel_Civil_Rights.htm,https://ballotpedia.org/Lois_Frankel,,,
Lois Frankel,,campaign-finance,2,"Frankel signed a Constitutional Amendment to overturn Citizens United v. FEC to limit corporate political spending. She co-sponsored the Government By the People Act establishing small-donor matching funds and $50 voter vouchers to amplify small donor voices. She supports full and timely disclosure of campaign finance information and opposes unlimited corporate political spending. Her record is consistent with strictly limiting corporate donations and dark money groups.",https://www.ontheissues.org/FL/Lois_Frankel_Corporations.htm,https://www.ontheissues.org/FL/Lois_Frankel_Government_Reform.htm,,,
