external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-261102,Aisha Farooqi,abortion,2,"Her campaign platform commits to defending Michigan's state constitutional protections for reproductive freedom (established by the 2022 Reproductive Freedom for All amendment) and protecting access to contraception and IVF, consistent with legal/accessible abortion through most of pregnancy with health-based exceptions later.",https://www.ballotready.org/people/aisha-farooqi,,,,
-261102,Aisha Farooqi,healthcare,1,"Her campaign platform explicitly endorses ""Medicare for All as universal healthcare,"" matching a free, publicly-run single-payer healthcare model.",https://www.ballotready.org/people/aisha-farooqi,,,,
-261102,Aisha Farooqi,medicare/aid,1,"Her platform's endorsement of Medicare for All means extending Medicare-style coverage to everyone regardless of age, the most expansive point on this scale.",https://www.ballotready.org/people/aisha-farooqi,,,,
-261102,Aisha Farooqi,deportation,2,"Her platform states she 'opposes mass deportations and detention camps' and supports abolishing ICE, framed around human rights and due process -- language targeting large-scale/indiscriminate removal rather than an explicit end to all deportations.",https://www.ballotready.org/people/aisha-farooqi,https://eciks.org/11553-98612-ro-khanna-endorses-aisha-farooqi-michigan,,,
-261102,Aisha Farooqi,taxes,2,"Her platform proposes that billionaires 'pay the same rate as ordinary Americans,' a Buffett-Rule-style call to raise effective tax burdens on the ultra-wealthy while protecting Medicare and Social Security funding.",https://www.ballotready.org/people/aisha-farooqi,,,,
-261102,Aisha Farooqi,school-vouchers,1,"Her platform calls for 'fully-funded public schools' alongside zero-interest student loans, debt cancellation, and universal pre-K, with no mention of voucher programs -- consistent with fully funding public education rather than diverting funds to private schools.",https://www.ballotready.org/people/aisha-farooqi,,,,
-261102,Aisha Farooqi,climate-change,2,"Her platform supports 'bold climate action, clean energy investment, electric vehicle production, and strengthening the EPA,' indicating an aggressive clean-energy transition posture beyond incremental investment.",https://www.ballotready.org/people/aisha-farooqi,,,,
-261102,Aisha Farooqi,voting-rights,2,"Her platform calls for 'restoring the Voting Rights Act' and 'establishing national election standards,' consistent with federal legislation (e.g., the Freedom to Vote Act model) expanding early voting and mail-in access nationwide.",https://www.ballotready.org/people/aisha-farooqi,,,,
-261102,Aisha Farooqi,redistricting,2,"Her platform explicitly states support for 'independent redistricting commissions' to draw electoral maps, rather than leaving the process to state legislatures or a single party.",https://www.ballotready.org/people/aisha-farooqi,,,,
-261102,Aisha Farooqi,religious-freedom,2,"Her platform pairs 'defending LGBTQIA rights and religious freedom,' indicating support for religious liberty protections that do not override anti-discrimination protections for LGBTQ Americans.",https://www.ballotready.org/people/aisha-farooqi,,,,
