full_name,topic_key,source_url,snippet,snippet_index
Heidi Balderree,abortion,https://www.heidibalderree.com/,"Tawnee McCay (Riverton City Council) stated: ""Heidi will stand up for the rights of all individuals, including the unborn.""",0
Heidi Balderree,civil-rights,https://fastdemocracy.com/bill-search/ut/2024/bills/UTB00011432/,"HB261 Senate vote: passed 3rd reading on January 25, 2024 with YES: 23 and NO: 6. H. Balderree is listed among those voting in favor on both the January 24 second reading and January 25 third reading. HB261 dismantled DEI offices and programs at Utah's colleges and universities and in state and local governments.",0
Heidi Balderree,civil-rights,https://townlift.com/2025/03/education-gov-politics-as-critics-decry-gross-government-overreach-bill-to-ban-pride-flags-from-schools-advances/,"Sen. Heidi Balderree (R-Saratoga Springs) supported the measure, stating the problem persists despite opportunities for local resolution. She remarked: ""I see these kind of propaganda in multiple classrooms,"" noting the issue spans across schools rather than isolated instances.",0
Heidi Balderree,school-vouchers,https://kslnewsradio.com/elections-politics-government/heidi-balderree-discusses-plans-as-utahs-newest-senator/2049834/,"Balderree staunchly backs HB215 (the Utah Fits All scholarship program), which provides parental education funding including for private school and homeschooling. She described this bill as putting parents in control of their child's education and noted it should eventually expand beyond lower-income families to include middle-class families. She said: ""I'd love to see that expanded. I know that the priority will be for those of lower economic status.""",0
Heidi Balderree,school-vouchers,https://fastdemocracy.com/bill-search/ut/2025/bills/UTB00013332/,"HB455 passed the Senate 2nd reading with 26 yes votes, 1 no vote, and 2 absent on February 27, 2025. Senators voting YES included: Adams, J. Stuart; Balderree, H.; Blouin, N.; Brammer, B.; Cullimore, K. A.; Escamilla, L.; Fillmore, L.; Harper, W.; Hinkins, D.; Ipson, D.; Johnson, J.; Kwan, K.; McCay, D.; McKell, M.; Millner, A.; Calvin R. Musselman; Derrin R. Owens; Plumb, J.; Riebe, K.; Sandall, S.; Stevenson, J.; Stratton, K.; Thatcher, D.; Vickers, E.; Wilson, C.; Winterton, R.",0
Heidi Balderree,childcare,https://www.ksl.com/article/51440984/utah-lawmakers-aim-to-make-child-care-more-accessible-for-all-utahns,"HB190 — Employer Child Care Tax Credit Expansion — Sponsored by Sen. Heidi Balderree (R-Saratoga Springs), this bill modifies Utah's tax credit system for employer-provided child care to align with federal enhancements. Balderree stated: ""Child care isn't just a family issue, it's an economic issue, a workforce issue, and a future of Utah issue."" She added that if 5% of Utah employers participate, approximately 110,610 working parents would receive support.",0
Heidi Balderree,childcare,https://utahchildren.org/newsroom/speaking-of-kids-blog/education-and-care-2026-legislative-updates,"HB 190, sponsored by Rep. Thompson and Sen. Balderree, expands tax credits for businesses that offer child care support to their employees, encouraging employers to play a more active role in easing the burden on working families. The bill passed the Senate with a 20-6 vote and was sent for enrollment.",0
Heidi Balderree,ai-regulation,https://www.ksl.com/article/51335977/some-utah-gop-lawmakers-push-back-against-federal-pause-on-ai-laws-in-trumps-budget-bill,"Sen. Heidi Balderree (R-Saratoga Springs) stated: ""It undermines the spirit of cooperative governance."" She added: ""A federal AI moratorium might play in D.C., but out West, we believe in innovation, not hesitation."" Some Utah Republican legislators are actively pushing Congress to remove a provision in President Trump's budget bill that would effectively pause state-level artificial intelligence regulations for 10 years.",0
Heidi Balderree,immigration,https://www.ksl.com/article/51235347/utah-bill-targeting-squatters-one-of-several-aimed-at-illegal-immigration-gets-committee-support,"Senator Heidi Balderree (R-Saratoga Springs) sponsored SB55, legislation designed to strengthen law enforcement's ability to intervene when individuals illegally occupy vacant properties and expedite their removal. When presenting the bill, Balderree stated: ""Unfortunately, we are seeing an increasing number of cases of people unlawfully occupying vacant homes, leaving property owners feeling frustrated and communities vulnerable.""",0
Heidi Balderree,immigration,https://www.ksl.com/article/51235347/utah-bill-targeting-squatters-one-of-several-aimed-at-illegal-immigration-gets-committee-support,"Though Balderree omitted this detail during committee discussion, SB55 appears in a Republican flier outlining GOP immigration-focused legislation. The bill represents part of a broader package addressing criminal immigrants. Utah Republicans proposed at least 10 measures addressing illegal immigration for consideration during the 2025 legislative session.",1
Heidi Balderree,healthcare,https://americansforprosperity.org/stories/the-power-of-grassroots-from-activist-to-legislator/,"She played a fundamental role in several tax reform bills and helped squash an effort to provide Medicaid to able-bodied adults—which would further stain resources and drive-up costs.",0
Heidi Balderree,healthcare,https://senate.utah.gov/wp-content/uploads/BALDEH_bio.pdf,"Sen. Balderree was active in Republican Party leadership, serving multiple times as a precinct chair, two years as Secretary of the Utah County Republican Party and four terms on the Republican State Central Committee. She worked on policy reform as the Community Engagement Director for Americans for Prosperity Utah in Lehi prior to the legislature. In 2024, Sen. Balderee received the Friend of the Utah Taxpayer Award with a perfect score and the highest rating, 97%, in the legislature for defending liberties from the Libertas Institute.",0
Heidi Balderree,taxes,https://le.utah.gov/DynaBill/svotes.jsp?sessionid=2025GS&voteid=1740&house=S,"HB0106 Senate vote results — Yes (23): Adams, Balderree, Brammer, Cullimore, Fillmore, Grover, Harper, Hinkins, Ipson, Johnson, McCay, McKell, Millner, Musselman, Owens, Sandall, Stevenson, Stratton, Thatcher, Vickers, Weiler, Wilson, Winterton. No (6): Blouin, Escamilla, Kwan, Pitcher, Plumb, Riebe.",0
Heidi Balderree,taxes,https://www.heidibalderree.com/,"I promise to prioritize policies that will help Utahns keep more of their hard-earned money.",0
