external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-5001,Eric Crawford,abortion,4,"Crawford's documented record shows he believes life begins at fertilization and has sponsored legislation to protect infant survivors of abortion, opposes all federal abortion funding, and backs parental notification — consistent with restricting abortion to rape, incest, or serious maternal health threats but stopping short of a documented complete ban with criminal penalties for providers/patients.",https://www.ontheissues.org/House/Rick_Crawford.htm,https://en.wikipedia.org/wiki/Rick_Crawford_(politician),,,
-5001,Eric Crawford,healthcare,4,"Crawford explicitly calls for repealing the ACA and opposes government-run healthcare, supporting market-based solutions and opposing expansion of the Prevention and Public Health Fund — consistent with limiting government to helping only the poorest while leaving everyone else to private insurance.",https://www.ontheissues.org/House/Rick_Crawford.htm,,,,
-5001,Eric Crawford,taxes,4,"Crawford signed the Taxpayer Protection Pledge, supported the 2017 Tax Cuts and Jobs Act, and has consistently advocated for reducing corporate and individual tax rates — aligning with cutting taxes for everyone and scaling back public services to match.",https://en.wikipedia.org/wiki/Rick_Crawford_(politician),https://www.ontheissues.org/House/Rick_Crawford.htm,,,
-5001,Eric Crawford,same-sex-marriage,4,"Crawford opposed the Obergefell v. Hodges ruling that established marriage equality nationwide and supported the Defense of Marriage Act, indicating support for reserving the term ""marriage"" for opposite-sex couples — but no documented support for a constitutional amendment criminalizing same-sex unions.",https://en.wikipedia.org/wiki/Rick_Crawford_(politician),https://www.ontheissues.org/House/Rick_Crawford.htm,,,
-5001,Eric Crawford,fossil-fuels,4,"Crawford supports expanding offshore oil drilling and has consistently voted to open federal lands and the Arctic Refuge to oil and gas extraction, earning a 0% LCV score in 2025 and a 4% lifetime score — consistent with expanding fossil fuel drilling permits.",https://www.lcv.org/congressional-scorecard/moc/rick-crawford,https://www.ontheissues.org/House/Rick_Crawford.htm,,,
-5001,Eric Crawford,climate-change,5,"Crawford signed Americans for Prosperity's No Climate Tax Pledge in 2010 and has a 4% lifetime LCV score, consistently voting against clean energy investments, climate action legislation, and EPA greenhouse gas regulation — aligned with rejecting climate change policies and focusing on economic growth.",https://en.wikipedia.org/wiki/Rick_Crawford_(politician),https://www.lcv.org/congressional-scorecard/moc/rick-crawford,https://www.ontheissues.org/House/Rick_Crawford.htm,,
-5001,Eric Crawford,immigration,4,"Crawford opposes in-state tuition benefits for undocumented immigrants, backed the 2017 travel ban from Muslim-majority nations, and supports immigration bans from non-cooperating countries — consistent with making it harder to immigrate legally and limiting public services to those with legal status.",https://en.wikipedia.org/wiki/Rick_Crawford_(politician),https://www.ontheissues.org/House/Rick_Crawford.htm,,,
-5001,Eric Crawford,social-security,5,"Crawford received a 10% rating from the Alliance for Retired Americans and is documented as pro-privatization of Social Security on OnTheIssues — consistent with transitioning Social Security to private investment accounts that individuals control.",https://www.ontheissues.org/House/Rick_Crawford.htm,,,,
-5001,Eric Crawford,school-vouchers,4,"Crawford supports school choice and vouchers and opposes Common Core, indicating support for expanding voucher eligibility so parents can choose the school that best fits their child while maintaining baseline public school funding.",https://www.ontheissues.org/House/Rick_Crawford.htm,,,,
-5001,Eric Crawford,tariffs,4,"Crawford backed USMCA implementation and supports tariffs against countries engaged in currency manipulation — consistent with increasing tariffs on countries that don't trade fairly with America.",https://www.ontheissues.org/House/Rick_Crawford.htm,,,,
-5001,Eric Crawford,voting-rights,4,"Crawford opposed voter registration expansion efforts and joined 125 House Republicans in signing an amicus brief challenging the 2020 election results — consistent with requiring photo ID for voting and regularly updating voter rolls to remove inactive registrations.",https://en.wikipedia.org/wiki/Rick_Crawford_(politician),https://www.ontheissues.org/House/Rick_Crawford.htm,,,
-5001,Eric Crawford,religious-freedom,4,"Crawford backs school prayer and has consistently supported religious freedom legislation and faith-based exemptions, earning a position aligned with protecting religious freedom and allowing faith-based exemptions from laws that conflict with sincere religious beliefs.",https://www.ontheissues.org/House/Rick_Crawford.htm,,,,
-5001,Eric Crawford,civil-rights,5,"Crawford's documented record shows consistent opposition to affirmative action and race-based government programs, a 7.5% Biden alignment score, and a pattern of opposing federal civil rights enforcement expansions — consistent with eliminating affirmative action and all race-based government programs.",https://en.wikipedia.org/wiki/Rick_Crawford_(politician),https://www.ontheissues.org/House/Rick_Crawford.htm,,,
-5001,Eric Crawford,medicare/aid,4,"Crawford's 10% ARA rating, opposition to the ACA, and support for market-based healthcare alternatives indicate a position favoring partial privatization of Medicare and reducing Medicaid coverage, stopping short of full phase-out.",https://www.ontheissues.org/House/Rick_Crawford.htm,,,,
-5001,Eric Crawford,deportation,4,"Crawford opposes benefits for undocumented immigrants, supported the 2017 travel ban, and backs enforcement-first immigration policies — consistent with deporting all without legal status starting with those who have criminal records.",https://en.wikipedia.org/wiki/Rick_Crawford_(politician),https://www.ontheissues.org/House/Rick_Crawford.htm,,,
