external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-47005,Andrew Ogles,abortion,4,"OnTheIssues records Ogles's position as ""Abortion disallowed except to save the life of the mother,"" placing him in the chair that restricts abortion to only cases of serious threats to the mother's life. Wikipedia notes he opposes abortion and calls exceptions ""red herrings,"" but his documented stance still includes the life-of-mother exception.",https://www.ontheissues.org/House/Andy_Ogles.htm,https://en.wikipedia.org/wiki/Andy_Ogles,,Abortion disallowed except to save the life of the mother.,Abortion disallowed except to save the life of the mother.
-47005,Andrew Ogles,civil-rights,5,"OnTheIssues documents Ogles stating ""No reparations; no threat from racism"" and that ""Gender identity isn't a protected class."" Wikipedia confirms he opposes reparations. This record fits the chair that calls for eliminating all race-based government programs and rejecting affirmative action.",https://www.ontheissues.org/House/Andy_Ogles.htm,https://en.wikipedia.org/wiki/Andy_Ogles,,,
-47005,Andrew Ogles,climate-change,5,"Wikipedia reports Ogles denies climate change, and his first bill introduced in Congress was to repeal the Inflation Reduction Act (the major U.S. climate investment law). OnTheIssues records he opposes stricter environmental regulations. This record fits the chair that rejects climate change policies entirely and focuses on economic growth.",https://en.wikipedia.org/wiki/Andy_Ogles,https://www.ontheissues.org/House/Andy_Ogles.htm,,,
-47005,Andrew Ogles,deportation,5,"Wikipedia documents Ogles advocates ""remigration"" of immigrants from ""incompatible nations"" and proposed immigration bans from Muslim-majority nations. This goes beyond deporting those with criminal records and aligns with the chair favoring rapid deportation of all undocumented people regardless of ties.",https://en.wikipedia.org/wiki/Andy_Ogles,,,,
-47005,Andrew Ogles,fossil-fuels,4,"OnTheIssues records Ogles's position as ""Yes fracking; no stricter environmental regulations."" His first bill repealing the IRA also removed clean-energy incentives. This record fits the chair that supports expanding fossil fuel drilling permits rather than maximizing extraction with no limits.",https://www.ontheissues.org/House/Andy_Ogles.htm,https://en.wikipedia.org/wiki/Andy_Ogles,,,
-47005,Andrew Ogles,healthcare,5,"Wikipedia documents Ogles supports healthcare deregulation and opposed Biden Administration COVID regulations. OnTheIssues lists his healthcare stance under opposition to government mandates. He has not proposed any government coverage expansion and aligns with the chair that calls for staying out of healthcare entirely and leaving it to private markets.",https://en.wikipedia.org/wiki/Andy_Ogles,https://www.ontheissues.org/House/Andy_Ogles.htm,,,
-47005,Andrew Ogles,immigration,5,"Wikipedia reports Ogles advocates ""remigration"" of immigrants from ""incompatible nations,"" proposed an immigration ban from Muslim-majority nations, and OTI records his position as ""A borderless nation cannot establish itself as a nation."" This record aligns with the chair that calls for stopping most legal immigration and blocking public services for those without legal status.",https://en.wikipedia.org/wiki/Andy_Ogles,https://www.ontheissues.org/House/Andy_Ogles.htm,,A borderless nation cannot establish itself as a nation.,A borderless nation cannot establish itself as a nation.
-47005,Andrew Ogles,religious-freedom,5,"OnTheIssues records Ogles stating ""State must not limit or interfere with religious expressions."" Wikipedia notes he advocates Christian nationalism and has stated he wants America to be ""a Christian nation."" This record fits the chair that strongly protects religious freedom and grants religious organizations complete autonomy.",https://www.ontheissues.org/House/Andy_Ogles.htm,https://en.wikipedia.org/wiki/Andy_Ogles,,State must not limit or interfere with religious expressions.,State must not limit or interfere with religious expressions.
-47005,Andrew Ogles,same-sex-marriage,5,"Wikipedia documents Ogles opposes same-sex marriage and called for targeting gay marriage following the Roe v. Wade reversal. This is a direct documented stance opposing legal recognition of same-sex marriage and fits the chair that would make it illegal and define marriage as only between one man and one woman.",https://en.wikipedia.org/wiki/Andy_Ogles,,,,
-47005,Andrew Ogles,school-vouchers,4,"Wikipedia documents Ogles supports school choice. OnTheIssues classifies him as a Hard-Core Conservative who supports educational freedom. His record indicates support for expanding voucher eligibility to most families while not a documented advocate for fully universal vouchers with zero public school baseline funding.",https://en.wikipedia.org/wiki/Andy_Ogles,https://www.ontheissues.org/House/Andy_Ogles.htm,,,
-47005,Andrew Ogles,taxes,5,"OnTheIssues records Ogles advocates a ""Fair Tax system like proposal by House Freedom Caucus,"" referencing the FairTax/flat tax proposal that would drastically cut taxes and replace progressive income tax with a flat consumption tax. This fits the chair calling for drastically cutting taxes and shrinking government so people and businesses keep more of their money.",https://www.ontheissues.org/House/Andy_Ogles.htm,https://en.wikipedia.org/wiki/Andy_Ogles,,Fair Tax system like proposal by House Freedom Caucus.,Fair Tax system like proposal by House Freedom Caucus.
