full_name,politician_id,topic_key,value,reasoning
Jerry W. Stevenson,d8e92dad-6bb0-46e3-9c43-c3b7b3599d77,abortion,4,"Voted YES on HB467 (March 2023) preventing abortion clinics from being licensed after May 2023 and requiring them to cease operations by January 2024, passed 22-6 in the Senate. Utah already operates under a near-total trigger ban; Stevenson supported this additional restriction on access. — best matches stance 4 (restrict abortion to only cases involving rape, incest, or serious threats to the mother's life)."
Jerry W. Stevenson,d8e92dad-6bb0-46e3-9c43-c3b7b3599d77,religious-freedom,4,"Voted YES on SB174 (March 2026), final passage 22-7, allowing health care providers to refuse services that conflict with their religious beliefs or personal conscience. Consistent with his 2013 opposition to LGBT anti-discrimination legislation in committee. — best matches stance 4 (protect religious freedom and allow faith-based exemptions from laws that conflict with sincere religious beliefs)."
Jerry W. Stevenson,d8e92dad-6bb0-46e3-9c43-c3b7b3599d77,trans-athletes,4,"Voted YES on SB16 (January 2023) banning gender-affirming surgeries for minors and placing a moratorium on puberty blockers and cross-sex hormones; Senate passed 20-8. Absent for HB174 (2026) which made the moratorium permanent. His record shows consistent support for restricting transition-related care and competing in line with biological sex assigned at birth. — best matches stance 4 (require transgender athletes to compete only on teams matching their biological sex assigned at birth)."
Jerry W. Stevenson,d8e92dad-6bb0-46e3-9c43-c3b7b3599d77,voting-rights,4,"Voted YES on HB300 (March 2025), passed 19-10 in the Senate, requiring voters to include their government ID number on mail-in ballot envelopes and to opt-in for mail ballots every eight years starting in 2029; also voted YES on HB313 (2022) enhancing election security. Supports photo ID requirements while maintaining (restricted) access to mail voting. — best matches stance 4 (require photo ID for voting and regularly update voter rolls to remove inactive registrations)."
Jerry W. Stevenson,d8e92dad-6bb0-46e3-9c43-c3b7b3599d77,school-vouchers,5,"Voted YES in the Senate Education Committee (7-2, January 2023) to advance HB215 (Utah Fits All Scholarship), which provides universal $8,000 scholarships for any family to use at private schools, charter schools, or for home education without means-testing. The full Senate passed 20-8. Program has no income limits and follows the student to any educational setting. — best matches stance 5 (providing universal vouchers so that education funding follows the student to any school — public, private, or religious — chosen by the family)."
Jerry W. Stevenson,d8e92dad-6bb0-46e3-9c43-c3b7b3599d77,data-centers,5,"Serves on the MIDA (Military Installation Development Authority) board since 2008, voted in April 2026 to approve the hyperscale Stratos data center project in Box Elder County with competitive incentives and minimal regulatory barriers. Also personally sponsored SB232 (2022, passed 27-0) enabling MIDA to add non-contiguous private land without a contiguity requirement — the legal change that made the Stratos project possible. — best matches stance 5 (welcoming data center investment with competitive incentives and minimal regulatory barriers, trusting that economic growth and tax revenue will benefit all residents)."
Jerry W. Stevenson,d8e92dad-6bb0-46e3-9c43-c3b7b3599d77,immigration,4,"Voted YES on HB165 (February 2024) establishing requirements for federal officers releasing undocumented immigrants in Utah; voted NO on SB217 (2023) extending CHIP health benefits to undocumented children. Supports limiting public services to those with legal status and tightening enforcement coordination. — best matches stance 4 (make it harder to immigrate legally and limit public services to people with legal status)."
Jerry W. Stevenson,d8e92dad-6bb0-46e3-9c43-c3b7b3599d77,deportation,4,"Voted YES on HB165 (2024) requiring notification and coordination with immigration enforcement when releasing undocumented immigrants; voted NO on SB217 (2023) extending benefits to non-citizen children. Consistent support for deportation-enforcement infrastructure. — best matches stance 4 (deport everyone without legal status, starting with those who have criminal records)."
Jerry W. Stevenson,d8e92dad-6bb0-46e3-9c43-c3b7b3599d77,healthcare,4,"Voted YES on SB174 (2026) allowing healthcare providers to deny treatment based on religious/conscience beliefs; voted NO on SB217 (2023) extending CHIP benefits to undocumented children; as Senate Budget Chair consistently supports limiting Medicaid expansion and public health spending. — best matches stance 4 (only help the poorest people afford healthcare and leave everyone else to employers and private insurance)."
Jerry W. Stevenson,d8e92dad-6bb0-46e3-9c43-c3b7b3599d77,civil-rights,4,"Voted against SB262 LGBT employment and housing anti-discrimination bill in Senate committee (2013). Pattern of opposing expansions of government civil rights enforcement for LGBTQ+ residents throughout his career, while not publicly calling for rollback of existing federal anti-discrimination laws. — best matches stance 4 (limit federal civil rights enforcement to clear cases of discrimination)."
Jerry W. Stevenson,d8e92dad-6bb0-46e3-9c43-c3b7b3599d77,redistricting,4,"Utah Senate passed SB200 (2020) 25-0, converting the voter-approved Proposition 4 independent redistricting commission to advisory status and allowing the legislature to draw its own maps. Stevenson was a member of the Republican majority that voted to nullify the independent commission. In 2025 a court ruled this unconstitutional. — best matches stance 4 (state legislatures with court oversight to prevent extreme partisan bias)."
Jerry W. Stevenson,d8e92dad-6bb0-46e3-9c43-c3b7b3599d77,taxes,4,"As Senate Executive Appropriations Committee chair, Stevenson has guided six consecutive income tax cuts (2020–2026) through the budget process, including SB60 (2026) reducing the rate from 4.5% to 4.45%. Supports broad-based tax reduction paired with corresponding spending restraint. — best matches stance 4 (cut taxes for everyone and scale back public services to match)."
Jerry W. Stevenson,d8e92dad-6bb0-46e3-9c43-c3b7b3599d77,childcare,3,"Voted YES on SB248 (2026) creating an employer-sponsored state-assisted childcare expansion program; also voted YES on HB100 (2025) expanding free school meals. Supports targeted state-assisted programs, but not universal public childcare. — best matches stance 3 (offering targeted tax credits and subsidies for families below a set income threshold while supporting providers through training and facility grants)."
Jerry W. Stevenson,d8e92dad-6bb0-46e3-9c43-c3b7b3599d77,fossil-fuels,4,"Voted NO on HB452 (2024) setting up regulatory frameworks for carbon capture and storage injection wells, signaling opposition to environmental regulation of fossil fuels. As a member of the Senate Natural Resources, Agriculture, and Environment Committee, consistently supports expanding energy production with fewer regulatory constraints. — best matches stance 4 (expand fossil fuel drilling permits)."
