# Raul Ruiz CA-25 dedup: KEEP canonical 5238b298-6004-4bcc-94c2-ee43a9c2999e (ext -6000325, wired CA-25 incumbent); RETIRE active dup 05349fa0-8529-4738-8556-f386965e4cc8 (ext NULL, 1 office, 0 rc/stances/img) via is_active=false; eb9448bd-... already inactive. New external_id scheme: -(6010000+cd*100+seq), -601xxxx band verified empty/collision-free.
# CORRECTION (migration 1092): 2 rows flipped NEW->REUSE — accent/middle-initial defeated mig 1091's name-check. CA-38 Hilda Solis = existing Hilda L. Solis (683398, 32 stances); CA-41 Linda Sánchez = sitting CA-38 incumbent Linda T. Sanchez (-100037, 28 stances), redistricted per Prop 50. Dup records -6013801/-6014101 retired is_active=false. New-candidate count 38->36 (both reuse targets are stance-done + have headshots → out of stance/headshot scope).
cd,geo_id,existing_race_id,full_name,party_from_field,decision,target_politician_id,assign_external_id,is_incumbent,source_url
1,0601,74a5b509-8904-430a-9630-e48d2889db62,James Gallagher,Republican,REUSE,0a283c28-344c-40c9-ae48-bb2dcf1c7c4d,,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_1
1,0601,74a5b509-8904-430a-9630-e48d2889db62,Mike McGuire,Democratic,REUSE,974bfe8b-afb8-424c-bfd2-7805f033b1a0,,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_1
2,0602,00a7bf9a-96b5-4818-9ff3-3de3a4048068,Jared Huffman,Democratic,REUSE,960e5acd-c847-4c8b-9a00-980483647849,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_2
2,0602,00a7bf9a-96b5-4818-9ff3-3de3a4048068,Robin Littau,Republican,NEW,,-6010201,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_2
3,0603,873ea4ce-52ed-475f-bd4c-006946eeeb99,Ami Bera,Democratic,REUSE,0d635e23-f206-44fc-bac1-e309b932a081,,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_3
3,0603,873ea4ce-52ed-475f-bd4c-006946eeeb99,Robb Tucker,Republican,NEW,,-6010301,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_3
4,0604,eabbb909-51bc-4498-ab4f-10b0f1d83ad3,Mike Thompson,Democratic,REUSE,4466bd8c-8dba-4f2e-9471-c06d8429a779,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_4
4,0604,eabbb909-51bc-4498-ab4f-10b0f1d83ad3,Eric Jones,Democratic,NEW,,-6010401,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_4
5,0605,9889c3b7-f1f5-427b-bef5-90331856451f,Tom McClintock,Republican,REUSE,f7704cd1-eec4-40d8-b44f-429b4f9c8611,,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_5
5,0605,9889c3b7-f1f5-427b-bef5-90331856451f,Michael Masuda,Democratic,NEW,,-6010501,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_California#District_5
