cd,geo_id,race_id,full_name,party_from_field,decision,target_politician_id,assign_external_id,is_incumbent,source_url
1,3401,86b52a52-b7ec-424b-8736-bf0f480b5e15,Donald Norcross,Democratic,REUSE,b74a616d-9c47-4328-8c25-b1a3dc0a4f9d,-34001,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_New_Jersey
1,3401,86b52a52-b7ec-424b-8736-bf0f480b5e15,Damon Galdo,Republican,NEW,,-340101,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_New_Jersey
2,3402,bab7fa90-2102-420a-8b8f-0da4c8c655f1,Jefferson Van Drew,Republican,REUSE,ac328544-b0d7-4714-8487-e2467f9713e8,-34002,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_New_Jersey
2,3402,bab7fa90-2102-420a-8b8f-0da4c8c655f1,Zack Mullock,Democratic,NEW,,-340201,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_New_Jersey
3,3403,298389a6-f686-48db-a95e-3fb2ba62c10a,"Herbert C. Conaway, Jr.",Democratic,REUSE,f0235587-d1e8-412d-970c-16b50b2b185f,-34003,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_New_Jersey
3,3403,298389a6-f686-48db-a95e-3fb2ba62c10a,Michael McGuire,Republican,NEW,,-340301,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_New_Jersey
3,3403,298389a6-f686-48db-a95e-3fb2ba62c10a,Steven Welzer,Green,NEW,,-340302,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_New_Jersey
3,3403,298389a6-f686-48db-a95e-3fb2ba62c10a,Ryan Michael Kelly,Affordability Accountability People,NEW,,-340303,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_New_Jersey
4,3404,3af838f9-b1c3-4ecb-b7f3-574b430dd7ff,Christopher H. Smith,Republican,REUSE,99022a78-79ea-417c-8a7c-0bc5f773e329,-34004,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_New_Jersey
4,3404,3af838f9-b1c3-4ecb-b7f3-574b430dd7ff,Rachel Peace,Democratic,NEW,,-340401,false,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_New_Jersey
5,3405,800d91c5-52b1-4780-b94f-9858d760f051,Josh Gottheimer,Democratic,REUSE,c4251d10-6fba-4a5a-b8a9-f4b2f4634f0d,-34005,true,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections_in_New_Jersey
