external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-510504,Melanie Lucero,abortion,4,"Lucero states she ""believes life begins at conception,"" supports defunding Planned Parenthood, backs the Born-Alive Abortion Survivors Protection Act, and opposes federal abortion funding. This aligns with restricting abortion to cases of serious threats to life rather than a complete ban with criminal penalties.",https://melanielucero.com/issues,,,"Melanie believes life begins at conception. She supports defunding Planned Parenthood, the Born-Alive Abortion Survivors Protection Act, and opposing federal abortion funding.","Believes life begins at conception, supports defunding Planned Parenthood, the Born-Alive Abortion Survivors Protection Act, and opposing federal abortion funding."
-510504,Melanie Lucero,civil-rights,5,"Lucero opposes Critical Race Theory in schools and opposes ""gender ideology in classrooms,"" framing these as government overreach into education. Her platform focuses on parental rights over institutional equity mandates, aligning with eliminating race-based government programs.",https://melanielucero.com/issues,,,,"Opposes Critical Race Theory in schools and gender ideology in classrooms, emphasizing parental rights over institutional equity requirements."
-510504,Melanie Lucero,climate-change,5,"Lucero explicitly opposes Green New Deal regulations, which she characterizes as job-killing and cost-increasing. Her energy platform focuses entirely on fossil fuel expansion with no mention of climate investments or emissions reduction — aligning with rejecting climate policies in favor of economic growth.",https://melanielucero.com/issues,,,"Gas prices and energy costs hit 5th District families hard. Melanie supports unleashing American energy — backing domestic drilling, approving pipelines, and opposing Green New Deal regulations that kill jobs and raise costs.","Gas prices and energy costs hit families hard. The candidate supports unleashing American energy — backing domestic drilling, approving pipelines, and opposing Green New Deal regulations that kill jobs and raise costs."
-510504,Melanie Lucero,deportation,5,"Lucero aligns with Trump's immigration enforcement agenda, supporting fully funding ICE, empowering Border Patrol, and ending sanctuary city funding. Her personal backstory on immigration fraud informs a strong enforcement stance consistent with deporting all undocumented people regardless of ties.",https://melanielucero.com/issues,https://melanielucero.com/about,,,
-510504,Melanie Lucero,fossil-fuels,4,"Lucero supports domestic drilling and pipeline approvals and opposes Green New Deal regulations. Her platform calls for ""unleashing American energy"" through expanded fossil fuel production, aligning with expanding drilling permits rather than removing all environmental restrictions.",https://melanielucero.com/issues,,,"Melanie supports unleashing American energy — backing domestic drilling, approving pipelines, and opposing Green New Deal regulations that kill jobs and raise costs. Energy independence means lower prices and national security.","Supports unleashing American energy — backing domestic drilling, approving pipelines, and opposing Green New Deal regulations that kill jobs and raise costs."
-510504,Melanie Lucero,healthcare,5,"Lucero explicitly opposes the Affordable Care Act and calls for its repeal, arguing that ""premiums and deductibles have skyrocketed."" She supports patients choosing their own plans without government mandates, aligning with staying out of healthcare entirely and leaving it to private markets.",https://melanielucero.com/issues,,,Obamacare has always been unaffordable — premiums and deductibles have skyrocketed. Melanie supports repealing Obamacare and empowering patients — not Washington bureaucrats — to choose the plans that work for their families.,Obamacare has always been unaffordable — premiums and deductibles have skyrocketed. Supports repealing it and empowering patients — not Washington bureaucrats — to choose the plans that work for their families.
-510504,Melanie Lucero,immigration,5,"Lucero calls for ending illegal immigration, building a border wall, funding ICE, empowering Border Patrol, ending sanctuary city funding, and aligning with Trump's border agenda. Her platform explicitly aims to stop illegal entry and restrict public services to those without legal status.",https://melanielucero.com/issues,https://melanielucero.com,,,"Securing the border, funding ICE, empowering Border Patrol, and ending sanctuary city funding"
-510504,Melanie Lucero,religious-freedom,4,"Lucero's platform opposes gender ideology in schools and supports parental rights over bureaucratic control, and her pro-life stance is rooted in religious values around conception. This reflects protecting faith-based exemptions from conflicting laws, though she does not explicitly call for complete autonomy for religious organizations.",https://melanielucero.com/issues,,,,"Platform opposes gender ideology in schools and supports parental rights; pro-life stance grounded in the belief that life begins at conception, reflecting protection of faith-based positions in public policy."
-510504,Melanie Lucero,school-vouchers,4,"Lucero supports school choice and parental rights in education, opposes Critical Race Theory, and opposes gender ideology in classrooms. Her platform emphasizes expanding parental control over school selection, aligning with expanding voucher eligibility to most families, though she does not explicitly call for universal vouchers.",https://melanielucero.com/issues,,,,"Supports school choice and parental rights in education, opposing CRT and gender ideology in classrooms — aligning with expanding voucher eligibility so parents can choose the school that best fits their child."
-510504,Melanie Lucero,tariffs,5,"Lucero explicitly backs tariffs and frames the goal as bringing ""manufacturing back to America,"" language that maps directly to the value-5 position of imposing high tariffs on all imports to restore domestic manufacturing.",https://melanielucero.com/issues,,,"cut reckless government spending, reduce taxes, back tariffs, and bring manufacturing back to America","Cut reckless government spending, reduce taxes, back tariffs, and bring manufacturing back to America."
-510504,Melanie Lucero,taxes,4,"Lucero calls for cutting government spending and reducing taxes, aiming to make the American Dream accessible. This aligns with cutting taxes for everyone and scaling back public services, though she does not advocate for a flat tax or a drastic government dismantlement.",https://melanielucero.com/issues,,,"cut reckless government spending, investigate fraud, reduce taxes, back tariffs, and bring manufacturing back to America","Cut reckless government spending, investigate fraud, reduce taxes, back tariffs, and bring manufacturing back to America."
-510504,Melanie Lucero,trans-athletes,4,"Lucero published a personal testimony titled ""I Was That Little Girl"" (April 2026) arguing against transitioning vulnerable children and opposes gender ideology in schools. Her platform aligns with requiring trans athletes to compete on teams matching their biological sex, though no specific sports-eligibility bill is cited.",https://melanielucero.com/blog,https://melanielucero.com/issues,,,A personal testimony on why transitioning vulnerable children is wrong
-510504,Melanie Lucero,ukraine-support,4,"Lucero supports Trump's ""peace through strength"" approach and pledges to vote to deploy troops only when there is ""a clear mission and decisive plan for victory — ending endless wars."" This framing is consistent with reducing aid to Ukraine and prioritizing domestic spending over overseas commitments, though she makes no specific statement ending all Ukraine aid.",https://melanielucero.com/issues,,,Melanie will vote to deploy troops only when there is a clear mission and decisive plan for victory — ending endless wars.,Will vote to deploy troops only when there is a clear mission and decisive plan for victory — ending endless wars.
-510504,Melanie Lucero,voting-rights,4,"Lucero backs the SAVE Act, which requires proof of citizenship for voter registration, and supports legislation ensuring only U.S. citizens participate in elections. This aligns with requiring photo ID and updating voter rolls, though she does not explicitly call for eliminating mail-in voting.",https://melanielucero.com/issues,,,Melanie backs the SAVE Act and legislation that ensures only U.S. citizens participate in our elections.,Backs the SAVE Act and legislation that ensures only U.S. citizens participate in our elections.
