external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-45004,William Timmons,abortion,4,"Timmons has stated ""I believe all life starts at conception"" and cosponsored legislation to defund Planned Parenthood and protect infant survivors of abortion. He has not publicly endorsed a complete ban with criminal penalties for patients, placing him in the restrict-to-rape/incest/life-threat chair rather than an absolute ban.",https://www.ontheissues.org/House/William_Timmons.htm,https://en.wikipedia.org/wiki/William_Timmons,,"I believe all life starts at conception.","I believe all life starts at conception."
-45004,William Timmons,healthcare,4,"Timmons supports repealing the Affordable Care Act and has opposed expansions of government healthcare. He voted against COVID relief bills that included healthcare provisions. His stated position — repeal the ACA and limit government to helping only the poorest — fits the ""only help the poorest people"" chair rather than full privatization, as he has not called for eliminating Medicare/Medicaid.",https://www.ontheissues.org/House/William_Timmons.htm,,,,,
-45004,William Timmons,climate-change,5,"Timmons has a lifetime LCV score of 4% (0% in 2023 and 2025), voting consistently against every major climate and clean energy measure. He voted to roll back the methane polluter fee, open Arctic lands to drilling, and block fracking bans, reflecting outright rejection of climate policy in favor of economic and energy priorities.",https://www.lcv.org/congressional-scorecard/moc/william-timmons/,,,,,
-45004,William Timmons,fossil-fuels,5,"With a 0% LCV score in 2023 and 2025, Timmons voted to remove environmental restrictions on fossil fuels, supported opening the Arctic Refuge to drilling, voted to fast-track fossil-fuel power over clean energy onto the grid, and opposed fracking bans. His record reflects the ""remove environmental restrictions and maximize fossil fuel extraction"" chair.",https://www.lcv.org/congressional-scorecard/moc/william-timmons/,,,,,
-45004,William Timmons,taxes,4,"Timmons opposes tax increases to balance the budget, believes lower corporate taxes promote economic growth, and has opposed COVID relief spending. He has not explicitly called for a flat tax or radical tax system overhaul, placing him in the ""cut taxes for everyone and scale back public services"" chair rather than the most extreme privatization position.",https://www.ontheissues.org/House/William_Timmons.htm,,,,,
-45004,William Timmons,religious-freedom,5,"Timmons stated ""the country needs to get back to biblical principles"" in 2018. He voted against the Equality Act and has consistently opposed government anti-discrimination measures that would limit religious organizations' autonomy, fitting the ""strongly protect religious freedom and allow religious organizations complete autonomy"" chair.",https://www.ontheissues.org/House/William_Timmons.htm,,,"Country needs to get back to biblical principles.","Country needs to get back to biblical principles."
-45004,William Timmons,voting-rights,4,"Timmons voted against expanding voter registration and access in 2021. He signed the amicus brief supporting Texas v. Pennsylvania challenging the 2020 election and voted to object to Electoral College certification. His record supports photo ID requirements and restricting voter rolls, fitting the ""require photo ID and regularly update voter rolls"" chair.",https://www.ontheissues.org/House/William_Timmons.htm,https://en.wikipedia.org/wiki/William_Timmons,,,
-45004,William Timmons,immigration,4,"Timmons supports the border wall, opposes sanctuary cities, opposes chain migration, and requires illegal immigrants to exit and re-enter to legalize. However, he also supports increasing visa caps for high-skill and family-based immigration (documented June 2019), meaning he does not seek to stop most legal immigration — fitting the ""make it harder to immigrate legally and limit public services to people with legal status"" chair.",https://www.ontheissues.org/House/William_Timmons.htm,,,,,
-45004,William Timmons,deportation,4,"Timmons supports deporting those without legal status (requiring illegal immigrants to ""exit and re-enter"") and opposes sanctuary cities, which shield undocumented residents from deportation. He has not called for immediate mass deportation regardless of family ties; his record fits deporting all without legal status with criminal-record priority.",https://www.ontheissues.org/House/William_Timmons.htm,,,,,
-45004,William Timmons,civil-rights,5,"Timmons voted against the Equality Act (providing LGBTQ and racial equality protections), voted against combating Islamophobia in 2021, and opposes expanding federal civil rights enforcement. His record aligns with the ""eliminate affirmative action and all race-based government programs"" chair.",https://www.ontheissues.org/House/William_Timmons.htm,,,,,
-45004,William Timmons,campaign-finance,4,"Timmons opposes regulating corporate campaign donations, as documented in his 2018 campaign positions, fitting the ""reduce restrictions on political donations and spending"" chair rather than a full elimination of all campaign finance laws.",https://www.ontheissues.org/House/William_Timmons.htm,,,,,
-45004,William Timmons,school-vouchers,4,"Timmons cosponsored school choice promotion legislation per Wikipedia, and his 2018 positions state states (not federal government) should set education standards — consistent with expanding parental choice and voucher eligibility. This fits the ""expanding voucher eligibility to most families"" chair while maintaining baseline public school funding.",https://en.wikipedia.org/wiki/William_Timmons,https://www.ontheissues.org/House/William_Timmons.htm,,,
-45004,William Timmons,tariffs,3,"Timmons voted for USMCA implementation in December 2019, which maintained targeted trade rules while opening markets. No documented public position calling for broad tariff increases or elimination; USMCA support suggests selective use of trade agreements to protect key industries and jobs, fitting the middle chair.",https://www.ontheissues.org/House/William_Timmons.htm,,,,,
