external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-34007,Thomas H. Kean Jr.,abortion,3,"Kean self-describes as pro-choice and promised to ""support abortion rights"" during his 2022 campaign, but voted against the Women's Health Protection Act (which would have codified Roe nationally) and for the Born-Alive Abortion Survivors Protection Act. Post-Dobbs he stated the issue is ""now best to happen on the state level."" He supports IVF and introduced a fertility treatment tax credit bill. This places him at stance 3 — permitting abortion in limited circumstances but opposing federal codification of broad access.",https://en.wikipedia.org/wiki/Tom_Kean_Jr.,https://www.lcv.org/congressional-scorecard/moc/thomas-kean/,,,
-34007,Thomas H. Kean Jr.,climate-change,4,"Kean is a member of the Climate Solutions Caucus but his LCV scores are 22% (2023), 21% (2024), and 9% (2025). His anti-environment votes include blocking offshore wind protections, opposing the American Climate Corps, supporting LNG export expansion, and blocking cleaner car and truck standards. He voted yes on the One Big Beautiful Bill Act, which eliminated EV and clean energy tax credits from the IRA. This record aligns with stance 4 — letting market forces drive any energy transition rather than active climate investment.",https://www.lcv.org/congressional-scorecard/moc/thomas-kean/,https://en.wikipedia.org/wiki/One_Big_Beautiful_Bill_Act,,,
-34007,Thomas H. Kean Jr.,fossil-fuels,4,"Kean voted for expanded oil and gas leasing on public lands and waters (2023 LCV Vote 93), supported LNG export infrastructure expansion (2023 Vote 167; 2024 Vote 52), backed Arctic drilling permitting (2025 Vote 295), and voted for the One Big Beautiful Bill Act which eliminated IRA clean energy incentives and maintained fossil fuel production. This record consistently supports expanding fossil fuel permits — stance 4.",https://www.lcv.org/congressional-scorecard/moc/thomas-kean/,https://en.wikipedia.org/wiki/One_Big_Beautiful_Bill_Act,,,
-34007,Thomas H. Kean Jr.,taxes,4,"Kean voted yes on the One Big Beautiful Bill Act (May 22, 2025), which permanently extends the 2017 Trump tax cuts, reduces tax rates broadly, and cuts spending on public programs. He was among six high-tax-state Republicans who negotiated a SALT cap increase to $40,000 in exchange for their votes, reflecting a cut-taxes-for-everyone orientation. The bill adds approximately $3 trillion to the debt over ten years. This matches stance 4 — cut taxes for everyone and scale back public services.",https://en.wikipedia.org/wiki/One_Big_Beautiful_Bill_Act,https://en.wikipedia.org/wiki/Tom_Kean_Jr.,,,
-34007,Thomas H. Kean Jr.,healthcare,3,"Kean sits on the Energy & Commerce Health subcommittee and voted yes on the One Big Beautiful Bill Act, which cut Medicaid spending significantly and added work requirements — but stopped short of full privatization or eliminating government coverage. He has not supported Medicare for All or a public option. His Medicaid vote suggests he supports keeping private insurance primary while maintaining some government programs for lower-income people, matching stance 3.",https://en.wikipedia.org/wiki/One_Big_Beautiful_Bill_Act,https://en.wikipedia.org/wiki/Tom_Kean_Jr.,,,
-34007,Thomas H. Kean Jr.,medicare/aid,4,The One Big Beautiful Bill Act that Kean voted for reverses Medicare drug price negotiation authority (costing taxpayers $5 billion in lost savings) and cuts Medicaid by hundreds of billions through work requirements and reduced coverage. This goes beyond maintaining current programs and moves toward partial privatization of Medicaid and reduced Medicare negotiating power — matching stance 4.,https://en.wikipedia.org/wiki/One_Big_Beautiful_Bill_Act,https://en.wikipedia.org/wiki/Tom_Kean_Jr.,,,
-34007,Thomas H. Kean Jr.,immigration,4,"Kean voted for border wall funding and anti-immigrant policies in 2023 (LCV Votes 209 and 505), for border wall funding in 2024 (Vote 333), and for measures threatening families seeking legal residency (Vote 293). He voted yes on the One Big Beautiful Bill Act, which includes $170 billion for enforcement and deportations and dramatically restricts legal immigration pathways. This record aligns with stance 4 — making legal immigration harder and limiting public services to those with legal status.",https://www.lcv.org/congressional-scorecard/moc/thomas-kean/,https://en.wikipedia.org/wiki/One_Big_Beautiful_Bill_Act,,,
-34007,Thomas H. Kean Jr.,deportation,4,"Kean voted for multiple border wall and anti-immigrant enforcement bills (2023 LCV Votes 209, 505; 2024 Vote 333) and for the One Big Beautiful Bill Act, which allocates $45 billion for 100,000 new detention beds, $29.9 billion for 10,000 new ICE agents, and $46.5 billion for border wall construction to support mass deportations. Voting for measures threatening families seeking residency (Vote 293) also indicates prioritizing deportation across the board — stance 4.",https://www.lcv.org/congressional-scorecard/moc/thomas-kean/,https://en.wikipedia.org/wiki/One_Big_Beautiful_Bill_Act,,,
-34007,Thomas H. Kean Jr.,voting-rights,4,"Kean voted for requiring proof of citizenship to register for federal elections (SAVE Act, 2024 LCV Vote 345), voted against improved access to voting (2024 Vote 318), and voted for making voter registration more difficult (2025 Vote 102 and 2026 Vote 69). This record aligns with stance 4 — requiring photo ID and updating voter rolls — going well beyond stance 3 standardization while stopping short of mandating in-person-only voting.",https://www.lcv.org/congressional-scorecard/moc/thomas-kean/,https://en.wikipedia.org/wiki/Safeguard_American_Voter_Eligibility_Act,,,
-34007,Thomas H. Kean Jr.,civil-rights,4,"Kean voted against race awareness education and training (2023 LCV Vote 309), voted to slash funding for the Office of Civil Rights (Vote 408), and voted to block funding for environmental justice programs (2023 Vote 594; 2024 Vote 397). The One Big Beautiful Bill Act he supported eliminates DEI programs at federal agencies and cuts funding tied to equity initiatives. This aligns with stance 4 — limiting federal civil rights enforcement to clear cases of discrimination.",https://www.lcv.org/congressional-scorecard/moc/thomas-kean/,https://en.wikipedia.org/wiki/One_Big_Beautiful_Bill_Act,,,
