external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-45005,Ralph Norman,abortion,4,"Norman sponsored a bill to protect infant survivors of abortion (Feb 2020) and has called for including pre-born humans in 14th Amendment protections. His documented legislative record reflects restricting abortion to serious exceptions rather than a full ban with criminal penalties.",https://www.ontheissues.org/Ralph_Norman.htm,https://en.wikipedia.org/wiki/Ralph_Norman,,Include pre-born human beings in 14th Amendment protection,Include pre-born human beings in 14th Amendment protection
-45005,Ralph Norman,healthcare,4,"Norman has consistently called for repealing and replacing the ACA with a free-market-based plan. He opposes federal vaccine mandates and government-run healthcare, aligning with limiting public assistance to only the poorest and leaving all others to private insurance.",https://www.ontheissues.org/Ralph_Norman.htm,,,Repeal and replace ObamaCare with free-market-based plan,Repeal and replace the current healthcare law with a free-market-based plan
-45005,Ralph Norman,taxes,5,"Norman has called for cutting taxes and eliminating regulations to spur job creation, opposed any tax increases to balance the budget, and supported reducing the corporate tax rate from 35% to 21%. His record aligns with drastically cutting taxes and shrinking government.",https://www.ontheissues.org/Ralph_Norman.htm,,,Cut taxes and eliminate regulations that kill job-creation,Cut taxes and eliminate regulations that kill job-creation
-45005,Ralph Norman,immigration,4,"Norman supports building a border wall, requires illegal immigrants to exit and re-enter legally, and co-sponsored the Secure America's Borders First Act (Feb 2022). He also supported increasing both high-skill and family-based visa caps (Sep 2019), placing him at value=4 rather than full restriction.",https://www.ontheissues.org/Ralph_Norman.htm,https://en.wikipedia.org/wiki/Ralph_Norman,,Build the wall to protect our sovereignty,Build the wall to protect our sovereignty
-45005,Ralph Norman,deportation,4,"Norman's stated position is that illegal immigrants must exit the country and re-enter legally. His co-sponsorship of the Secure America's Borders First Act reflects prioritizing deportation across all without legal status, starting with those with criminal records.",https://www.ontheissues.org/Ralph_Norman.htm,https://en.wikipedia.org/wiki/Ralph_Norman,,Illegal immigrants must exit and re-enter,Illegal immigrants must exit and re-enter
-45005,Ralph Norman,climate-change,5,"Norman has a 0% LCV score in 2025 (lifetime 1%), voted to roll back methane pollution fees, undermine endangered species protections, and gut environmental review processes. His environmental record reflects rejecting climate change policies in favor of economic growth.",https://www.lcv.org/scorecard/ralph-norman/,https://www.ontheissues.org/Ralph_Norman.htm,,Limit EPA oversight to allow mining over fishing,Limit EPA oversight to allow mining over fishing
-45005,Ralph Norman,fossil-fuels,4,"Despite a 0% LCV score, Norman co-founded the Bipartisan Congressional Solar Caucus with an Illinois Democrat, and noted support for funding renewable energy like wind and solar (Aug 2018). This distinguishes him from value=5; his record reflects expanding drilling while maintaining some openness to renewables.",https://en.wikipedia.org/wiki/Ralph_Norman,https://www.lcv.org/scorecard/ralph-norman/,https://www.ontheissues.org/Ralph_Norman.htm,,Fund renewable energy like wind and solar,Fund renewable energy like wind and solar
-45005,Ralph Norman,civil-rights,5,"Norman voted against the Equality Act (May 2018), called DEI 'unacceptable at taxpayer-funded universities' (Sep 2025), voted NO on private lawsuits for school race discrimination (Sep 2020), and joined efforts to reinstate Rep. Steve King after removal for racist remarks.",https://www.ontheissues.org/Ralph_Norman.htm,https://en.wikipedia.org/wiki/Ralph_Norman,,DEI is unacceptable at taxpayer-funded university,DEI is unacceptable at taxpayer-funded university
-45005,Ralph Norman,ukraine-support,5,"Norman co-sponsored the Secure America's Borders First Act (Feb 2022) which would prohibit ALL military and security assistance to Ukraine until U.S. border issues are resolved — functionally ending aid to Ukraine.",https://en.wikipedia.org/wiki/Ralph_Norman,,,
-45005,Ralph Norman,voting-rights,4,"Norman opposed an election day holiday and same-day voter registration (Mar 2019), refused to certify the 2020 election results, and supported election integrity measures requiring stricter ID. His record aligns with requiring photo ID and regularly purging voter rolls.",https://www.ontheissues.org/Ralph_Norman.htm,https://en.wikipedia.org/wiki/Ralph_Norman,,No holiday on election day; no same-day registration,No holiday on election day; no same-day registration
-45005,Ralph Norman,social-security,4,"Norman has publicly stated he favors raising the retirement age and lowering benefits for the top 10% of earners (May 2017). This aligns with gradually raising the retirement age and reducing benefits for higher earners to save Social Security.",https://www.ontheissues.org/Ralph_Norman.htm,,,Raise retirement age; lower benefits for top 10% of earners,Raise retirement age; lower benefits for top 10% of earners
-45005,Ralph Norman,medicare/aid,4,"Norman's healthcare record shows consistent support for repealing the ACA, which expanded Medicaid, and replacing it with private market alternatives. His free-market healthcare stance aligns with partially privatizing Medicare and reducing Medicaid coverage rather than a full phase-out.",https://www.ontheissues.org/Ralph_Norman.htm,,,Repeal and replace ObamaCare with free-market-based plan,Repeal and replace the current healthcare law with a free-market-based plan
-45005,Ralph Norman,school-vouchers,5,"Norman stated 'Let the money follow the child through school choice' (Nov 2025) and believes states — not the federal government — should decide education standards. His position aligns with universal vouchers so education funding follows the student to any school chosen by the family.",https://www.ontheissues.org/Ralph_Norman.htm,,,Let the money follow the child through school choice,Let the money follow the child through school choice
-45005,Ralph Norman,tariffs,4,"Norman stated 'Increased prices from tariffs for the good of the country' (Aug 2025) and supported implementing USMCA for improved North American trade (Dec 2019). His position supports increasing tariffs on countries that don't trade fairly without imposing blanket maximum tariffs.",https://www.ontheissues.org/Ralph_Norman.htm,,,Increased prices from tariffs for the good of the country,Increased prices from tariffs for the good of the country
