external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-28003,Michael Guest,abortion,5,"Guest co-sponsored the Born-Alive Abortion Survivors Protection Act and legislation declaring life begins at conception (no exceptions), joined the Congressional Pro-Life Caucus, and demanded federal action to protect crisis pregnancy centers. Co-sponsoring Life at Conception legislation — which allows no exceptions — aligns with a complete ban on abortion.",https://www.ontheissues.org/House/Michael_Guest_Abortion.htm,https://en.wikipedia.org/wiki/Michael_Guest_(politician),,"""By joining the Congressional Pro-Life Caucus, I join other Members of Congress in our mission to support life.""","""By joining the [Pro-Life] Caucus, I join other Members of Congress in our mission to support life."""
-28003,Michael Guest,tariffs,4,"Guest described himself as a free trader who supports tariffs specifically against countries ""acting unfairly"" toward the U.S., matching chair 4. He voted for USMCA but expressed concern about broad Trump tariffs hurting Mississippi farmers — indicating selective rather than universal tariff support.",https://www.ontheissues.org/House/Michael_Guest_Free_Trade.htm,,,,,
-28003,Michael Guest,taxes,4,"Guest praised the Trump tax cuts as giving ""relief to job creators,"" voted NO on the $1.9 trillion American Rescue Plan citing excessive debt and spending, and consistently opposes tax increases on higher earners. His record aligns with cutting taxes and scaling back government spending.",https://www.ontheissues.org/House/Michael_Guest.htm,https://www.ontheissues.org/House/Michael_Guest_Budget_+_Economy.htm,,""""Trump tax reform gave relief to job creators.""","""[The recent] tax reform gave relief to job creators."""
-28003,Michael Guest,climate-change,5,"Guest has a lifetime LCV score of 4%, voting against environmental protections in 2023 (0%), 2024 (3%), and consistently across his tenure. He voted against the Clean Economy Jobs and Innovation Act and aligns with the Trump administration's position prioritizing economic growth over climate action and opposing Paris Climate Accord commitments.",https://www.lcv.org/congressional-scorecard/moc/michael-guest,https://www.ontheissues.org/House/Michael_Guest_Energy_+_Oil.htm,,,
-28003,Michael Guest,fossil-fuels,4,"Guest voted against the Clean Economy Jobs and Innovation Act (renewable energy grants for rural cooperatives), aligned with the Trump administration's ""American energy independence"" and deregulatory agenda, and consistently receives near-zero LCV scores reflecting opposition to clean energy mandates. His record supports expanding fossil fuel production rather than restricting it.",https://www.ontheissues.org/House/Michael_Guest_Energy_+_Oil.htm,https://www.lcv.org/congressional-scorecard/moc/michael-guest,,,
-28003,Michael Guest,immigration,4,"Guest supports a border wall to halt illegal drugs and migrants, opposes amnesty, requires undocumented immigrants to return to their country of origin before any citizenship path, and chairs the House Border Security and Enforcement Subcommittee. He also co-sponsored the Fairness for High-Skilled Immigrants Act to expand visa caps — indicating he supports legal immigration limits with high-skill prioritization.",https://www.ontheissues.org/House/Michael_Guest_Immigration.htm,https://en.wikipedia.org/wiki/Michael_Guest_(politician),,"""We must put a high priority on making sure America's southwestern border is more secure including the building of a border wall.""","""We must put a high priority on making sure America's southwestern border is more secure including the building of a border wall."""
-28003,Michael Guest,deportation,4,"Guest's stated position is that ""immigrants who are unlawfully present [must] return to their country of origin before they are eligible for citizenship,"" reflecting a deport-all-without-legal-status approach. He chairs the Border Security and Enforcement Subcommittee and supports comprehensive immigration enforcement. No documented position carving out long-term residents.",https://www.ontheissues.org/House/Michael_Guest_Immigration.htm,https://en.wikipedia.org/wiki/Michael_Guest_(politician),,"""[I]mmigrants who are unlawfully present [must] return to their country of origin before they are eligible for citizenship.""","""[I]mmigrants who are unlawfully present [must] return to their country of origin before they are eligible for citizenship."""
-28003,Michael Guest,voting-rights,4,"Guest voted against the For the People Act (2019 and 2021), which would have implemented automatic voter registration, same-day registration, and expanded early voting. He objected to the 2020 Electoral College certification. His opposition to access-expansion measures and support for election integrity restrictions aligns with requiring photo ID and maintaining roll accuracy.",https://www.ontheissues.org/House/Michael_Guest_Government_Reform.htm,https://www.ontheissues.org/House/Michael_Guest_Principles_+_Values.htm,,,
-28003,Michael Guest,redistricting,4,"Guest voted against provisions requiring states to establish independent, nonpartisan redistricting commissions (For the People Act), viewing federal redistricting mandates as inappropriate overreach. He supports state legislatures maintaining control over redistricting with court oversight rather than ceding authority to independent commissions.",https://www.ontheissues.org/House/Michael_Guest_Government_Reform.htm,,,,,
-28003,Michael Guest,ukraine-support,4,"Guest voted against the $60 billion Ukraine military aid package in 2024, a major reversal from baseline U.S. support. His Wikipedia article notes the vote came despite potential defense job benefits to his own district, indicating his opposition was principled rather than incidental.",https://en.wikipedia.org/wiki/Michael_Guest_(politician),,,,,
-28003,Michael Guest,campaign-finance,4,"Guest voted against legislation that would expand campaign finance disclosure requirements and establish federal matching of small contributions, aligning with reducing restrictions on political donations and spending rather than expanding transparency mandates.",https://www.ontheissues.org/House/Michael_Guest_Government_Reform.htm,,,,,
-28003,Michael Guest,civil-rights,4,"Guest voted against the Equity and Inclusion Enforcement Act (which would have enabled private civil rights lawsuits in federally-funded education), voted NAY on removing the ERA ratification deadline, and opposed the Protecting Our Democracy Act. His record reflects limiting federal civil rights enforcement to clear cases rather than expanding systemic or affirmative measures.",https://www.ontheissues.org/House/Michael_Guest_Civil_Rights.htm,https://www.ontheissues.org/House/Michael_Guest_Education.htm,,,
