external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-4200004,Stacy Garrity,abortion,4,"Garrity publicly supported the overturning of Roe v. Wade (Aug 2025), aligning with a states'-rights position that restricts abortion to limited circumstances rather than a complete federal ban. No documented support for a no-exceptions ban.",https://www.ontheissues.org/Stacy_Garrity.htm,https://en.wikipedia.org/wiki/Stacy_Garrity,,Supported the overturning of Roe v. Wade.,Supported the overturning of Roe v. Wade.
-4200004,Stacy Garrity,climate-change,5,"As Treasurer, Garrity signed a 2021 multistate letter calling on Biden to stop attacks on energy companies, called for energy independence in 2022, and supported a lawsuit opposing Pennsylvania's participation in the RGGI (Regional Greenhouse Gas Initiative) carbon-cap program. Her stated priority is economic growth and energy production, not climate transition.",https://www.patreasury.gov/newsroom/,https://www.ontheissues.org/Stacy_Garrity.htm,,"Unleash the liquid gold that we have right under our feet.","Unleash the liquid gold that we have right under our feet."
-4200004,Stacy Garrity,deportation,4,"Garrity stated (Aug 2025) she supports ending Medicaid and public benefits for undocumented immigrants, consistent with a deport-all-without-legal-status stance prioritized by criminal history. No evidence of a call to deport all regardless of family ties, but her record shows a strong enforcement-first orientation.",https://www.ontheissues.org/Stacy_Garrity.htm,,,Medicaid work requirement; end benefits for illegal aliens.,"Medicaid work requirement; end benefits for people here illegally."
-4200004,Stacy Garrity,fossil-fuels,5,"As Treasurer, Garrity co-signed a 2021 letter with 14 other state treasurers calling on Biden to stop 'attacks on energy companies,' including threats to divest from banks that reduced fossil fuel support. In 2022 she called for advancing energy independence policy. In Aug 2025 she said 'Unleash the liquid gold that we have right under our feet,' signaling support for maximizing extraction without environmental restrictions.",https://www.patreasury.gov/newsroom/,https://www.ontheissues.org/Stacy_Garrity.htm,,"Unleash the liquid gold that we have right under our feet.","Unleash the liquid gold that we have right under our feet."
-4200004,Stacy Garrity,healthcare,4,"Garrity called for a Medicaid work requirement and ending Medicaid benefits for undocumented immigrants (Aug 2025). She also publicly supported the One Big Beautiful Bill Act (July 2025), which included approximately $1 trillion in Medicaid cuts, aligning with a position of limiting government healthcare assistance to the poorest citizens.",https://www.ontheissues.org/Stacy_Garrity.htm,https://en.wikipedia.org/wiki/Stacy_Garrity,,"Medicaid work requirement, end benefits for illegal aliens.","Medicaid work requirement, end benefits for those without legal status."
-4200004,Stacy Garrity,immigration,4,"Garrity stated support for ending Medicaid and public benefits for undocumented immigrants (Aug 2025) and actively backed the One Big Beautiful Bill Act, which restricted public services for those without legal status. This aligns with making it harder to access services without legal status while not explicitly calling for halting all legal immigration.",https://www.ontheissues.org/Stacy_Garrity.htm,https://en.wikipedia.org/wiki/Stacy_Garrity,,"Medicaid work requirement, end benefits for illegal aliens.","Medicaid work requirement, end benefits for those without legal status."
-4200004,Stacy Garrity,medicare/aid,4,"Garrity supported the One Big Beautiful Bill Act (July 2025), which included approximately $1 trillion in Medicaid cuts and added work requirements. She also called for ending Medicaid benefits for undocumented immigrants, consistent with partially reducing Medicaid coverage rather than phasing it out entirely.",https://en.wikipedia.org/wiki/Stacy_Garrity,https://www.ontheissues.org/Stacy_Garrity.htm,,,,
-4200004,Stacy Garrity,school-vouchers,5,"Garrity stated in Oct 2024 that 'the solution to inequity in public schools is school choice,' a universal school choice position. No documented caveats limiting vouchers to low-income families or requiring accountability measures for private schools.",https://www.ontheissues.org/Stacy_Garrity.htm,,,"Solution to inequity in public schools is school choice.","The solution to inequity in public schools is school choice."
-4200004,Stacy Garrity,social-security,4,"Garrity advocates for a state-run retirement savings program as an alternative framework to the federal Social Security system (Sep 2024), suggesting support for individual accounts or state-level alternatives. This aligns with gradual movement toward privatized or individualized accounts rather than full phase-out.",https://www.ontheissues.org/Stacy_Garrity.htm,,,Advocates for a state-run retirement savings program.,"Advocates for a state-run retirement savings program."
-4200004,Stacy Garrity,tariffs,4,"Garrity stated in April 2025 that 'Trump's tariffs are common sense measures good for America,' endorsing targeted tariffs on countries that don't trade fairly rather than universal high tariffs on all imports.",https://www.ontheissues.org/Stacy_Garrity.htm,,,"Trump's tariffs are common sense measures good for America.","These tariffs are common sense measures good for America."
-4200004,Stacy Garrity,taxes,4,"Garrity stated her 'top fiscal priority is lowering the overall tax burden' (Aug 2025) and expressed a general fiscal conservatism of finding 'opportunities to reduce costs.' She advocates across-the-board tax reduction rather than drastic government shrinkage.",https://www.ontheissues.org/Stacy_Garrity.htm,,,"Top fiscal priority is lowering the overall tax burden.","My top fiscal priority is lowering the overall tax burden."
-4200004,Stacy Garrity,ukraine-support,2,"As Treasurer, Garrity championed legislation requiring divestment of Pennsylvania taxpayer funds from Russian assets; the law took effect Feb 26, 2024. She also made additional Israel Bonds investments and praised the Senate's Stand with Israel Act in June 2024, demonstrating continued support for allies under attack. Her fund-action record shows active support for Ukraine's cause at the state level.",https://www.patreasury.gov/newsroom/,https://en.wikipedia.org/wiki/Stacy_Garrity,,,
-4200004,Stacy Garrity,voting-rights,4,"Garrity publicly opposes Pennsylvania's current mail-in ballot system (Aug 2025). She appeared at a Jan 5, 2021 Harrisburg rally urging lawmakers to decertify Pennsylvania's 2020 election results, consistent with a stance favoring stricter photo ID requirements and reducing mail-in voting.",https://www.ontheissues.org/Stacy_Garrity.htm,https://en.wikipedia.org/wiki/Stacy_Garrity,,Opposes Pennsylvania's current mail-in ballot system.,"Opposes the current mail-in ballot system."
