external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-26009,Lisa McClain,abortion,4,"McClain voted for the Born-Alive Abortion Survivors Protection Act (H.R. 21, Jan. 24 2025, passing 217-204 on a party-line vote), which imposes criminal penalties on providers who fail to care for infants born alive after abortion attempts. She has not sponsored a total abortion ban with no exceptions, placing her at restricting abortion to cases of rape, incest, or serious maternal health threats.",https://en.wikipedia.org/wiki/Born-Alive_Abortion_Survivors_Protection_Act,https://www.ontheissues.org/MI/Lisa_McClain.htm,,,
-26009,Lisa McClain,campaign-finance,4,"McClain voted against the For the People Act (H.R.1, 117th Congress), which would have established campaign finance disclosure requirements, limited dark money, and created public financing options for federal elections. Her opposition reflects a preference for reducing restrictions on political spending rather than adding new ones.",https://www.ontheissues.org/MI/Lisa_McClain_Government_Reform.htm,https://en.wikipedia.org/wiki/Lisa_McClain,,,
-26009,Lisa McClain,civil-rights,4,"McClain voted against the George Floyd Justice in Policing Act (H.R. 1280, Feb. 2021), which would have eliminated qualified immunity and expanded federal civil rights enforcement. She also opposed the ERA deadline extension and the Protecting Our Democracy Act, consistently voting to limit rather than expand federal civil rights authority.",https://www.ontheissues.org/MI/Lisa_McClain_Crime.htm,https://www.ontheissues.org/MI/Lisa_McClain_Government_Reform.htm,https://en.wikipedia.org/wiki/Lisa_McClain,,
-26009,Lisa McClain,climate-change,5,"McClain has a lifetime LCV score of 1% — recording zero pro-environment votes in 2022, 2023, and 2024 combined. She voted against the Inflation Reduction Act (2022), the largest U.S. climate investment in history, and supported the One Big Beautiful Bill (2025), which eliminated electric vehicle and home energy tax credits. Her record consistently rejects climate policy.",https://www.lcv.org/congressional-scorecard/moc/lisa-mcclain,https://en.wikipedia.org/wiki/Inflation_Reduction_Act,https://en.wikipedia.org/wiki/One_Big_Beautiful_Bill_Act,,
-26009,Lisa McClain,deportation,4,"McClain voted for the Laken Riley Act (Jan. 2025, 263-156), mandating detention of non-citizens charged with theft, burglary, or assault on law enforcement pending removal. She also supported the One Big Beautiful Bill (2025), which provided $170 billion for border enforcement and raised ICE detention to 100,000 beds, prioritizing criminal history in deportation order.",https://en.wikipedia.org/wiki/Laken_Riley_Act,https://en.wikipedia.org/wiki/One_Big_Beautiful_Bill_Act,https://www.ontheissues.org/MI/Lisa_McClain_Immigration.htm,,
-26009,Lisa McClain,fossil-fuels,4,"McClain has a lifetime LCV score of 1% with zero pro-environment votes across 2022-2024. She voted against the Inflation Reduction Act — which funded clean energy as an alternative to fossil fuels — and supported the One Big Beautiful Bill (2025), which eliminated EV credits and reversed clean energy incentives, effectively favoring expanded fossil fuel production.",https://www.lcv.org/congressional-scorecard/moc/lisa-mcclain,https://en.wikipedia.org/wiki/Inflation_Reduction_Act,https://en.wikipedia.org/wiki/One_Big_Beautiful_Bill_Act,,
-26009,Lisa McClain,healthcare,4,"McClain explicitly opposes Medicare for All and has stated government needs to get out of the way on prescription drug pricing. She co-sponsored the Stop Federal Vaccine Mandates for Employees Act and voted for the One Big Beautiful Bill (2025), which cut over $1.2 trillion from Medicaid through work requirements and eligibility restrictions while leaving most Americans on employer-based private insurance.",https://www.ontheissues.org/MI/Lisa_McClain_Health_Care.htm,https://en.wikipedia.org/wiki/One_Big_Beautiful_Bill_Act,,End all Medicare fraud no to Medicare for All,End all Medicare fraud no to Medicare for All
-26009,Lisa McClain,immigration,4,"McClain voted against the NO BAN Act (Feb. 2021), preserving the president's authority to restrict entry from non-cooperating countries. She supported the Laken Riley Act and the One Big Beautiful Bill (2025), which allocated $170 billion for border enforcement and imposed new restrictions on public services for non-citizens, reflecting a significantly reduced legal immigration posture.",https://www.ontheissues.org/MI/Lisa_McClain_Immigration.htm,https://en.wikipedia.org/wiki/Laken_Riley_Act,https://en.wikipedia.org/wiki/One_Big_Beautiful_Bill_Act,,
-26009,Lisa McClain,medicare/aid,4,"McClain opposes Medicare for All and voted for the One Big Beautiful Bill (2025), which cuts over $1.2 trillion from Medicaid by adding 80-hour monthly work requirements for recipients ages 19-64, requiring six-month eligibility rechecks, and reducing provider tax thresholds — a substantial reduction in Medicaid coverage consistent with partial privatization.",https://www.ontheissues.org/MI/Lisa_McClain_Health_Care.htm,https://en.wikipedia.org/wiki/One_Big_Beautiful_Bill_Act,,,
-26009,Lisa McClain,misinformation,4,"McClain voted against the Protecting Our Democracy Act, which would have expanded government transparency and accountability mechanisms. As House Republican Conference Chair she has consistently supported free speech protections over government intervention in platform content, aligning with preventing government censorship rather than requiring platform-level fact-checking.",https://www.ontheissues.org/MI/Lisa_McClain_Government_Reform.htm,https://en.wikipedia.org/wiki/Lisa_McClain,,,
