full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
Letty Hardi,-5127200001,residential-zoning,4,"Hardi led the unanimous 7-0 passage of an ADU ordinance in April 2025 allowing by-right accessory dwelling unit development with no restrictive parking mandates and no discretionary review required. She also called for an ADU 2.0 review in a year to relax provisions further if needed, and supported the West Falls Metro transit-oriented development.",https://fallschurchpulse.org/?s=Hardi,https://www.fcnp.com/?s=Letty+Hardi,,"Mayor Letty Hardi called for an ADs 2.0 review in a year to see if new provisions need to be relaxed.",The mayor called for an ADs 2.0 review in a year to see if new provisions need to be relaxed.
Letty Hardi,-5127200001,housing,3,"Hardi championed targeted affordable housing expansion including the ADU ordinance (April 2025), Virginia Village mixed-income redevelopment, and securing federal funding for affordable housing initiatives. Her approach combines targeted affordable programs with enabling private development rather than public housing construction or rent caps.",https://www.fcnp.com/?s=Letty+Hardi,https://www.fcnp.com/?s=Falls+Church+City+Council+housing,,"[Congressman] has been an extraordinary partner...helping us secure federal funding for affordable housing initiatives.",
Letty Hardi,-5127200001,growth-and-development,3,"Hardi supported the West Falls Metro transit-oriented development groundbreaking (November 2025) and Virginia Village affordable housing redevelopment, while stressing that projects must be appropriately ambitious and financeable. She emphasized proactive infrastructure investment including schools, parks, sidewalks, and a library over her tenure while cautioning that FY28 will be tougher.",https://www.fcnp.com/?s=Hardi+mayor,https://www.fcnp.com/?s=Falls+Church+Virginia+Village,,"Remember, we have to make sure that whatever we set out to do will be financeable.","Remember, we have to make sure that whatever we set out to do will be financeable."
Letty Hardi,-5127200001,climate-change,3,"In her May 2026 budget remarks Hardi proposed a climate report card to ensure consistent annual greenhouse gas reduction investments, praised the community center solar project, and framed climate action as a generational investment requiring sustained budget commitment. She has not declared a climate emergency or committed to phasing out fossil fuels by 2030.",https://www.fcnp.com/?s=Hardi+climate,https://www.fcnp.com/?s=Hardi+mayor,,doing our part on climate change is one of those [important but less urgent investments],doing our part on climate change is one of those [important but less urgent investments]
Letty Hardi,-5127200001,economic-development,3,"Hardi credited commercial development with enabling residential tax rate reductions and proposed a new Commercial and Industrial (C&I) real estate tax to fund transportation projects. She engaged restaurant owners on downtown revitalization while emphasizing balance between growth and community benefit rather than maximum incentives for any large employer.",https://www.fcnp.com/?s=Hardi+budget+tax,https://www.fcnp.com/?s=Hardi+mayor,,"generating the revenue to pay for new infrastructure and top quality services while keeping the tax burden on residents and businesses as low as possible","generating the revenue to pay for new infrastructure and top quality services while keeping the tax burden on residents and businesses as low as possible"
Letty Hardi,-5127200001,taxes,3,"The FY2027 budget adopted under Hardi's leadership included a half-cent tax rate reduction (6-1 vote), and she highlighted that the real estate tax rate dropped from $1.355 to $1.18 per $100 over six years through commercial development revenue. She framed the goal as keeping tax burdens as low as possible while funding quality services, but also cautioned that tougher fiscal times ahead may require revenue adjustments.",https://www.fcnp.com/?s=Hardi+budget+tax,https://www.fcnp.com/?s=Hardi+mayor,,the city has lowered taxes 14.5 cents which she notes is a rarity in the region right now.,
Letty Hardi,-5127200001,transportation-priorities,2,"Hardi attended the West Falls Metro development groundbreaking (November 2025) which includes a new pedestrian/bike/bus street grid and proposed a C&I tax restricted by law to transportation funding. She publicly flagged falling behind on sidewalk repairs as a concern and sits on regional transportation bodies — indicating equal investment in multimodal options alongside road capacity.",https://www.fcnp.com/?s=Falls+Church+transit+bus+bike+pedestrian,https://www.fcnp.com/?s=Hardi+budget+tax,,"We don't love that we're going backwards on this, because we're also going backwards on sidewalk repairs, too.","We don't love that we're going backwards on this, because we're also going backwards on sidewalk repairs, too."
Letty Hardi,-5127200001,local-environment,3,"Hardi promoted the Leave the Leaves environmental stewardship initiative through Falls Church Forward (September 2024), supported the community center solar project in the FY2027 budget, and proposed climate investment metrics. Her approach applies consistent environmental standards and supports green initiatives without evidence of strict preservation mandates or blanket developer fee-in-lieu allowances.",https://www.fcnp.com/?s=Hardi+climate,https://www.fcnp.com/?s=Hardi+community+school+library,,,,
David Snyder,-5127200005,residential-zoning,2,"Snyder voted against the T-Zone ordinance in October 2023 (5-2 vote) calling its changes fatal flaws and ""the most disappointing outcome in my 24 years on the Council."" His objections centered on inadequate protections for height, setbacks, stepbacks, and coverage — signaling support for modest density with robust community process and design safeguards, not broad upzoning.",https://www.fcnp.com/?s=Snyder+T-zone+2023,https://fallschurchpulse.org/?s=Snyder+T-zone,,"the most disappointing outcome in my 24 years on the Council.","the most disappointing outcome in my 24 years on the Council."
David Snyder,-5127200005,housing,3,"Snyder supported affordable housing expansion through tax deferral relief and city purchase of quadplexes, and backed the Washington and Broad project with 10% on-site affordable units. He cast the sole dissenting vote against hiring a consultant for the Virginia Village affordable housing scale (120–150 units) citing scale concerns — reflecting targeted-help orientation rather than public housing or rent caps.",https://www.fcnp.com/?s=Snyder+housing,https://www.fcnp.com/?s=Snyder+affordable+Virginia+Village,,"120 to 150 units, and I am not on board with that.","120 to 150 units, and I am not on board with that."
