state,cd,geo_id,target_election,existing_race_id,incumbent_name,incumbent_pid,incumbent_external_id,incumbent_stance_count,incumbent_top_up_tier,nominee_status,general_candidates,new_records_needed,field_status,source_url,seeding_phase,ballot_system,rcv,filing_open_deadline
NV,1,3201,NV 2026 Statewide General,a5295941-38b1-4c7f-8edf-39097ad3fb0a,Dina Titus,786af5d2-9502-401c-a3ed-61de88e589e9,-32001,11,partial,renominated,Dina Titus (D); Carrie Buck (R); Bobby Khan (No Political Party); Steven St John (No Political Party),Carrie Buck (already-wired); Bobby Khan; Steven St John,decided,https://www.nvsos.gov/home/showpublisheddocument/20105/639179848915855983,165,standard,false,
NV,2,3202,NV 2026 Statewide General,0c470cc0-5250-43f1-b7f7-57778cadacc6,Mark E. Amodei,030b5074-8335-48b3-8d6b-0ea7c09814a5,-32002,16,partial,retired,Teresa Benitez-Thompson (D); David Flippo (R); Lynn Chapman (Independent American),David Flippo (already-wired); Teresa Benitez-Thompson (already-wired); Lynn Chapman (already-wired); NOTE-NV2-NULL-PID: Lynn Chapman race_candidates row has NULL politician_id — fix-not-recreate in Phase 165,decided,https://www.nvsos.gov/home/showpublisheddocument/20105/639179848915855983,165,standard,false,
NV,3,3203,NV 2026 Statewide General,79e7fb35-a73a-478c-847d-553e9ad11e7c,Susie Lee,325c7cae-aae6-4d7b-9c03-e707c7423d3c,-32003,16,partial,renominated,Susie Lee (D); Marty O'Donnell (R); Jon Kamerath (Independent American),Marty O'Donnell (already-wired); Jon Kamerath,decided,https://www.nvsos.gov/home/showpublisheddocument/20105/639179848915855983,165,standard,false,
NV,4,3204,NV 2026 Statewide General,81eb1a27-b710-42c3-a27c-a2c0153c2820,Steven Horsford,7644cd40-b5c1-494a-8e65-f3126fc7f9ee,-32004,13,partial,renominated,Steven Horsford (D); Cody Whipple (R); Russell Best (Independent American); William Johnson (No Political Party),Cody Whipple (already-wired); Russell Best; William Johnson,decided,https://www.nvsos.gov/home/showpublisheddocument/20105/639179848915855983,165,standard,false,
UT,1,4901,UT 2026 Statewide General,,Blake Moore,e365a1d4-2de3-4fb6-b416-d78227836553,,24,done,redistricted,Riley Owen (R); Ben McAdams (D); Jesse West (Libertarian); Elias Henry Montgomery (Unaffiliated),"Riley Owen; Ben McAdams; Jesse West; Elias Henry Montgomery; NOTE-UT-PRIMARY-DISTRICT-SHIFT: Utah's congressional map was court-ordered redrawn for 2026 (League of Women Voters v. Utah State Legislature) creating a brand-new UT-1 (Salt Lake City-based, Dem-leaning, NO prior incumbent) while each sitting incumbent relocated to a different new district number -- Blake Moore (old D1) now runs in new D2, Celeste Maloy (old D2) now runs in new D3, Mike Kennedy (old D3) now runs in new D4; Burgess Owens (old D4) retired and is on no 2026 ballot. The orchestrator-supplied authoritative incumbent map (Moore=D1/Maloy=D2/Kennedy=D3/Owens=D4) reflects OLD pre-redistricting numbering. The DB's Jun-23 primary races keyed by geo_id 4901-4904 already correctly match the NEW 2026 district boundaries (4901=new-D1 Dem field incl. McAdams, 4902=new-D2 Moore-vs-Lisonbee, 4903=new-D3 Maloy-vs-Lyman, 4904=new-D4 Kennedy) -- it is the authoritative incumbent map that is one-district-off vs 2026 reality, NOT the DB primary keying. Phase 165 must re-key incumbent-to-geo_id assignments per the new map rather than re-deriving from primary race district labels.; NOTE-UT-REDISTRICTED-2026: court-ordered new map (LWV v. Utah Legislature) — DB Jun-23 primary races match the NEW districts; the incumbent map is keyed to OLD districts (Moore old-D1 now runs in D2, Maloy D2-to-D3, Kennedy D3-to-D4, Owens retired); Phase 165 must re-key incumbent-to-geo_id and re-link existing pids (Moore/Maloy/Kennedy are NOT new records) before seeding",decided,https://vote.utah.gov/2026-candidate-filings/,165,standard,false,
UT,2,4902,UT 2026 Statewide General,,Celeste Maloy,a7983eb6-bae0-4269-856b-f4554fb5ce29,,23,partial,redistricted,Blake Moore (R); Peter Crosby (D); Daniel Cottam (Libertarian); Carlton E. Bowen (Independent American); Robert M. Moesinger (Unaffiliated),"Blake Moore; Peter Crosby; Daniel Cottam; Carlton E. Bowen; Robert M. Moesinger -- NOTE: Blake Moore already exists in our DB as the authoritative UT-1-mapped incumbent (pid e365a1d4-2de3-4fb6-b416-d78227836553); this new-UT-2 nominee needs Moore's EXISTING pid re-linked to geo_id 4902, not a new politician record. Celeste Maloy (this row's authoritative incumbent) did not run here -- she moved to new UT-3.",decided,https://vote.utah.gov/2026-candidate-filings/,165,standard,false,
UT,3,4903,UT 2026 Statewide General,,Mike Kennedy,9e3164d5-ce71-4c50-9220-b969265ce551,,22,partial,redistricted,Celeste Maloy (R); Kent Udell (D); Cassie Easley (Constitution); Adonis Hooslyn (Unaffiliated); Ayden Scott (Unaffiliated); Michael R. Stoddard (Libertarian),"Celeste Maloy; Kent Udell; Cassie Easley; Adonis Hooslyn; Ayden Scott; Michael R. Stoddard -- NOTE: Celeste Maloy already exists in our DB as the authoritative UT-2-mapped incumbent (pid a7983eb6-bae0-4269-856b-f4554fb5ce29); this new-UT-3 nominee needs Maloy's EXISTING pid re-linked to geo_id 4903, not a new politician record. Mike Kennedy (this row's authoritative incumbent) did not run here -- he moved to new UT-4.",decided,https://vote.utah.gov/2026-candidate-filings/,165,standard,false,
UT,4,4904,UT 2026 Statewide General,,Burgess Owens,cb87ddbb-5a83-45b7-b67a-789e63f0e58b,,23,partial,retired,Mike Kennedy (R); Jonny Larsen (D); Taylor Wright (Libertarian); Steven Burt (Unaffiliated),"Mike Kennedy; Jonny Larsen; Taylor Wright; Steven Burt -- NOTE: Mike Kennedy already exists in our DB as the authoritative UT-3-mapped incumbent (pid 9e3164d5-ce71-4c50-9220-b969265ce551); this new-UT-4 nominee needs Kennedy's EXISTING pid re-linked to geo_id 4904, not a new politician record. Burgess Owens (this row's authoritative incumbent) announced in March 2026 he would not seek re-election and is not on any 2026 ballot.",decided,https://vote.utah.gov/2026-candidate-filings/,165,standard,false,
NM,1,3501,NM 2026 Statewide General,,Melanie A. Stansbury,8a92e955-2138-41a3-a598-0c0e0478c73a,-35001,12,partial,renominated,Melanie Stansbury (D); Didi Okpareke (R),Didi Okpareke (R),decided,https://candidateportal.servis.sos.state.nm.us/CandidateList.aspx?eid=2917&cty=99,165,standard,false,
NM,2,3502,NM 2026 Statewide General,,Gabe Vasquez,ec381f3b-eea9-4429-a343-f606bc8a0235,-35002,6,partial,renominated,Gabe Vasquez (D); Greg Cunningham (R),Greg Cunningham (R),decided,https://candidateportal.servis.sos.state.nm.us/CandidateList.aspx?eid=2917&cty=99,165,standard,false,
