full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3
R. Creigh Deeds,abortion,2,"Deeds received the endorsement of Planned Parenthood Advocates of Virginia in 2023. His 2011 campaign themes highlighted 'Affordable Access to Quality Healthcare' and he was a historic supporter of women's rights. The Planned Parenthood endorsement specifically indicates support for keeping abortion legal and accessible through the second trimester, aligning with value 2.",https://ballotpedia.org/Creigh_Deeds,https://en.wikipedia.org/wiki/Creigh_Deeds,
R. Creigh Deeds,taxes,2,"Deeds explicitly refused to make a no-tax-increase pledge during his 2009 gubernatorial run. He wrote in The Washington Post supporting a new gas tax to fund transportation. In 2008 he voted for a bill to raise the Virginia gas tax $0.06 per gallon over 6 years. This documented pattern of supporting targeted tax increases on higher earners to fund public services aligns with value 2 (moderately raise taxes on wealthy people and large companies to fund existing services).",https://en.wikipedia.org/wiki/Creigh_Deeds,https://ballotpedia.org/Creigh_Deeds,
R. Creigh Deeds,same-sex-marriage,2,"In 2006, Deeds was part of the unanimous Democratic coalition that voted to oppose a Virginia constitutional amendment to ban same-sex marriage. Wikipedia documents that he has 'supported workplace protections and LGBTQ rights in the General Assembly and criticized attempts to roll back these protections' in 2025. His continued LGBTQ rights advocacy and opposition to banning SSM aligns with value 2 (allow same-sex marriage nationwide while protecting some organizations' right to decline participation).",https://en.wikipedia.org/wiki/Creigh_Deeds,https://ballotpedia.org/Creigh_Deeds,
R. Creigh Deeds,healthcare,3,"Deeds' Wikipedia page documents that he 'appears to be in favor of health care cost transparency, insurance reforms, and protections for consumers in the health system.' His 2011 campaign themes included 'Affordable Access to Quality Healthcare' — supporting legislation to help elderly and disabled Virginians afford prescription drugs. This consumer-protective, but not universal-coverage approach aligns with value 3 (help people who can't afford care and expand programs for seniors and low-income residents).",https://en.wikipedia.org/wiki/Creigh_Deeds,https://ballotpedia.org/Creigh_Deeds,
"Glen H. Sturtevant, Jr.",taxes,4,"Sturtevant's 2015 campaign website stated: 'Families must live within their means; government should too. We can grow our economy and create more jobs if government learns to live with less and we keep more of what we earn. I''ll be a vote for lower taxes and free market, pro-growth economic policies. We have to get government off the back of regular people so that our economy can grow.' This anti-tax, pro-market position aligns with value 4 (cut taxes for everyone and scale back public services to match).",https://ballotpedia.org/Glen_Sturtevant,,
"Glen H. Sturtevant, Jr.",healthcare,4,"Sturtevant's 2015 campaign website explicitly stated: 'I oppose the expansion of Medicaid and Obamacare in Virginia. The federal tax increases and healthcare mandates imposed by Obamacare are killing jobs and our economy. Medicaid is already growing at an unsustainable rate, and expanding it will hurt our ability to fund important priorities like public safety and education.' Opposition to Medicaid expansion with market-based approach aligns with value 4 (only help the poorest people afford healthcare and leave everyone else to employers and private insurance).",https://ballotpedia.org/Glen_Sturtevant,,
Lashrecse D. Aird,abortion,2,"Aird's 2017 campaign website stated under Women's Rights: 'Aird will actively pursue the cause of making sure that woman get equal pay for equal work. As a mother and wife, she will be an advocate for women's reproductive access and work to ensure that they have the right to choose. She believes that the decision of family planning should remain at the discretion of a woman.' Additionally, she received the endorsement of Planned Parenthood Advocates of Virginia in 2023. Value 2 (keep abortion legal and accessible through the second trimester) aligns with this documented advocacy for reproductive choice.",https://ballotpedia.org/Lashrecse_Aird,,
Lashrecse D. Aird,civil-rights,2,"Aird received the endorsement of People for the American Way in 2023, an organization focused on advancing civil rights and equal protection. As a member of the Health and Human Services Committee and Education committees, she has championed equity-focused legislation. Her 2017 platform included 'Women's Rights' and senior care, indicating a pattern of strengthening civil rights enforcement and addressing systemic discrimination, consistent with value 2 (strengthen civil rights enforcement and address systemic discrimination).",https://ballotpedia.org/Lashrecse_Aird,,
Lashrecse D. Aird,voting-rights,2,"Aird received the endorsement of People for the American Way in 2023, whose core mission includes protecting voting rights and democratic participation. As a former chair of the Petersburg Democratic Committee and current member of the Senate Privileges and Elections Committee, she is deeply engaged with election integrity and voter access issues. Her alignment with People for the American Way indicates support for expanding early voting and mail-in access, consistent with value 2 (expand early voting and make mail-in voting available without requiring an excuse).",https://ballotpedia.org/Lashrecse_Aird,,
Lamont Bagby,voting-rights,2,"Bagby's Wikipedia page documents that he 'championed legislation focused on stopping the school-to-prison pipeline, creating affordable housing, criminal justice reforms, voting rights, environmental justice, and consumer protections.' He chairs the Virginia Legislative Black Caucus, whose mission includes 'improving the economic, educational, political and social conditions of African Americans,' including protecting voting access. His explicit focus on voting rights and connection to communities facing suppression aligns with value 2 (expand early voting and make mail-in voting available to all voters without requiring an excuse).",https://en.wikipedia.org/wiki/Lamont_Bagby,https://ballotpedia.org/Lamont_Bagby,
