full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
Bill Foster,-17011,abortion,1,"Foster co-sponsored the Women's Health Protection Act to ban all abortion restrictions, voted against the No Taxpayer Funding for Abortion Act (supporting public funding), and voted against the Pain-Capable Unborn Child Protection Act's 20-week ban. He supports abortion access without restrictions and public funding, matching stance 1.",https://www.ontheissues.org/IL/Bill_Foster.htm,https://www.ontheissues.org/IL/Bill_Foster_Abortion.htm,,"""Access safe, legal abortion without restrictions""","Access safe, legal abortion without restrictions"
Bill Foster,-17011,campaign-finance,2,"Foster co-sponsored the Government By the People Act (public financing via voter vouchers) and the Close the Floodgates Act (to repeal rules allowing donors to give $750K+ to parties), demonstrating support for strictly limiting large-money influence. This aligns with stance 2 (strictly limit corporate donations and dark money groups).",https://www.ontheissues.org/IL/Bill_Foster_Government_Reform.htm,https://www.ontheissues.org/IL/Bill_Foster.htm,,,
Bill Foster,-17011,civil-rights,2,"Foster voted for the Violence Against Women Act expansion to include LGBTQ protections, the Hate Crimes Prevention Act, and the Paycheck Fairness Act. He signed the Employment Non-Discrimination Act (ENDA) and supports proactive federal enforcement against systemic discrimination, matching stance 2.",https://www.ontheissues.org/IL/Bill_Foster_Civil_Rights.htm,https://www.ontheissues.org/IL/Bill_Foster.htm,,,
Bill Foster,-17011,climate-change,2,"Foster holds a 96% lifetime LCV score (100% in 2025), supports banning offshore Gulf drilling, and has called for '50% clean and carbon free electricity by 2030.' He stated 'Global warming is our most serious environmental challenge.' This reflects an aggressive clean-energy transition agenda matching stance 2.",https://www.lcv.org/congressional-scorecard/moc/bill-foster,https://www.ontheissues.org/IL/Bill_Foster.htm,,"""Global warming is our most serious environmental challenge""",Global warming is our most serious environmental challenge
Bill Foster,-17011,deportation,2,"Foster opposed the anti-DACA amendment (2016), voted to support military service pathways for DREAMers, and co-sponsored increased visa caps to protect long-term immigrant residents. His record consistently protects long-term undocumented residents from removal, aligning with stance 2 (only deport those convicted of serious violent crimes).",https://www.ontheissues.org/IL/Bill_Foster_Immigration.htm,https://www.ontheissues.org/IL/Bill_Foster.htm,,,
Bill Foster,-17011,fossil-fuels,2,"Foster voted YES on banning offshore Gulf oil drilling, has a 96% lifetime LCV score, and advocates for '50% clean and carbon free electricity by 2030.' His consistent pro-environment voting record demonstrates support for stopping new fossil fuel permits (stance 2) rather than an outright immediate ban.",https://www.ontheissues.org/IL/Bill_Foster.htm,https://www.lcv.org/congressional-scorecard/moc/bill-foster,,,
Bill Foster,-17011,healthcare,2,"Foster voted for the ACA and opposes its repeal, voted YES on Medicare expansion override, and voted YES on expanding SCHIP. He frames healthcare as 'fundamentally an affordability crisis' requiring comprehensive coverage solutions. This reflects stance 2 — ensuring affordable coverage through a mix of public programs and regulated private insurance.",https://www.ontheissues.org/IL/Bill_Foster_Health_Care.htm,https://www.ontheissues.org/IL/Bill_Foster.htm,,"""Health care crisis is fundamentally an affordability crisis""",Health care crisis is fundamentally an affordability crisis
Bill Foster,-17011,immigration,2,"Foster supports legal immigration expansion (co-sponsored the Fairness for High-Skilled Immigrants Act removing country caps), voted to protect DREAMers, and states immigrants 'will come as long as there are jobs offered.' He supports legal pathways for undocumented residents and expanded access to public services regardless of status, matching stance 2.",https://www.ontheissues.org/IL/Bill_Foster_Immigration.htm,https://www.ontheissues.org/IL/Bill_Foster.htm,,,
Bill Foster,-17011,medicare/aid,2,"Foster voted YES on Medicare expansion veto override (2008) and SCHIP expansion, received a 90% ARA rating for pro-Trust Fund stance, and is endorsed by NCPSSM. He strongly opposes privatization and supports lowering barriers to coverage, consistent with stance 2 (lower Medicare age to 55 and expand Medicaid significantly).",https://www.ontheissues.org/IL/Bill_Foster_Social_Security.htm,https://www.ontheissues.org/IL/Bill_Foster_Health_Care.htm,,,
Bill Foster,-17011,religious-freedom,3,"Foster co-sponsored H.R.631 to allow religious exemptions from the ACA individual mandate for recognized faith-based healing sects, while also supporting LGBTQ anti-discrimination measures. This balancing of religious accommodation with civil rights protections matches stance 3 (balance protecting religious practices with equal treatment under law).",https://www.ontheissues.org/IL/Bill_Foster_Health_Care.htm,https://www.ontheissues.org/IL/Bill_Foster.htm,,,
