full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
Madeleine Dean,-42004,abortion,2,"Dean voted with President Biden 100% of the time in the 117th Congress, and Biden's stated position supported the Women's Health Protection Act (which would keep abortion legal through viability). As a member of the Congressional Progressive Caucus and LGBTQ Equality Caucus she consistently advocates for reproductive rights. Aligns with stance 2: keep abortion legal and accessible through the second trimester with rare exceptions afterward.",https://en.wikipedia.org/wiki/Madeleine_Dean,https://www.ontheissues.org/PA/Madeleine_Dean.htm,,,
Madeleine Dean,-42004,civil-rights,2,"Dean sponsored the Equal Rights Amendment ratification bill (Mar 2021), police accountability legislation (Mar 2021), and a bill strengthening union organizing rights. These actions align with stance 2: strengthen civil rights enforcement and address systemic discrimination.",https://www.ontheissues.org/PA/Madeleine_Dean.htm,,,,
Madeleine Dean,-42004,climate-change,2,Dean has a 99% LCV lifetime score and 100% scores in 2023-2025. She voted for the Inflation Reduction Act's transformational climate investments and opposed Arctic drilling and fracking measures. This record aligns with stance 2: rapidly transition to renewable energy and phase out fossil fuels.,https://www.lcv.org/congressional-scorecard/moc/madeleine-dean/,,,,
Madeleine Dean,-42004,deportation,2,"Dean sponsored a bill opposing religion-based immigration restrictions (Apr 2021) and supports expanded visa caps including family-based categories, indicating she prioritizes keeping immigrant families together and limiting deportations to serious criminals. Aligns with stance 2: only deport people convicted of serious violent crimes.",https://www.ontheissues.org/PA/Madeleine_Dean.htm,,,,
Madeleine Dean,-42004,fossil-fuels,2,"Dean's LCV 100% scores reflect consistent opposition to new fossil fuel permits. She voted against Arctic drilling, the fracking ban reversal in the Delaware River Basin, and pipeline deregulation measures, and for clean energy manufacturing legislation. Aligns with stance 2: stop issuing new permits for fossil fuel drilling.",https://www.lcv.org/congressional-scorecard/moc/madeleine-dean/,,,,
Madeleine Dean,-42004,immigration,2,Dean sponsored bills to increase high-skill and family-based visa caps (Mar 2019) and legislation disallowing religion-based immigration bans (Apr 2021). These positions indicate support for keeping legal immigration open and extending public services regardless of legal status. Aligns with stance 2: keep legal immigration open and let most residents use public services regardless of status.,https://www.ontheissues.org/PA/Madeleine_Dean.htm,,,,
Madeleine Dean,-42004,medicare/aid,2,Dean was endorsed by the National Committee to Preserve Social Security and Medicare (NCPSSM) in 2022 for her record of protecting both programs. As a member of the Congressional Progressive Caucus she has consistently opposed cuts to Medicare and Medicaid. Aligns with stance 2: lower Medicare age to 55 and expand Medicaid significantly.,https://www.ontheissues.org/PA/Madeleine_Dean.htm,,,,
Madeleine Dean,-42004,same-sex-marriage,1,"Dean is a member of the LGBTQ Equality Caucus (Wikipedia), which advocates for full federal recognition of same-sex marriage. She voted with Biden 100% in the 117th Congress; Biden supported the Respect for Marriage Act requiring all states to recognize same-sex marriages. Aligns with stance 1: require all states to recognize same-sex marriages and provide full federal benefits and protections.",https://en.wikipedia.org/wiki/Madeleine_Dean,https://www.ontheissues.org/PA/Madeleine_Dean.htm,,,
Madeleine Dean,-42004,school-vouchers,1,"Dean advocates for universal pre-K and equitable public school funding (OTI, Sep 2018), reflecting opposition to diverting taxpayer money to private institutions through vouchers. Aligns with stance 1: fully funding public schools and eliminating voucher programs that divert taxpayer money to private institutions.",https://www.ontheissues.org/PA/Madeleine_Dean.htm,,,,
Madeleine Dean,-42004,social-security,2,Dean was endorsed by the National Committee to Preserve Social Security and Medicare (NCPSSM) in June 2022 and OnTheIssues records she 'strongly opposes Social Security privatization.' As a Progressive Caucus member she supports benefit expansions funded by lifting the payroll tax cap. Aligns with stance 2: increase Social Security benefits modestly while raising taxes on higher earners.,https://www.ontheissues.org/PA/Madeleine_Dean.htm,,,,
Madeleine Dean,-42004,tariffs,3,"Dean voted to ratify USMCA (Dec 2019), demonstrating support for managed trade agreements that include worker and environmental protections. This is consistent with selective use of tariffs to protect key industries and jobs rather than broad free trade or blanket protectionism. Aligns with stance 3: use tariffs selectively to protect key American industries and jobs.",https://www.ontheissues.org/PA/Madeleine_Dean.htm,,,,
Madeleine Dean,-42004,trans-athletes,1,"Dean is a member of the LGBTQ Equality Caucus (Wikipedia) and voted with Biden 100% in the 117th Congress. The Protection of Women and Girls in Sports Act (HR 734, 2023) passed 219-203 on a near-party-line vote and Dean, as a Progressive Caucus/LGBTQ Equality Caucus member, voted no. Aligns with stance 1: allow all transgender athletes to compete on teams matching their gender identity without restrictions.",https://en.wikipedia.org/wiki/Madeleine_Dean,https://www.ontheissues.org/PA/Madeleine_Dean.htm,,,
Madeleine Dean,-42004,ukraine-support,2,Dean is listed as a member of the Congressional Ukraine Caucus (Wikipedia). She also voted with Biden 100% in the 117th Congress; Biden's stated position was continued military and economic aid to Ukraine. Aligns with stance 2: continue providing current levels of military and economic aid to help Ukraine defend itself.,https://en.wikipedia.org/wiki/Madeleine_Dean,,,,
Madeleine Dean,-42004,voting-rights,1,"Dean stated 'Voter ID laws limit who has access to the ballot box' (Sep 2018), advocates a holiday on election day (Mar 2019), and sponsored a voter registration expansion bill (Feb 2021). These positions collectively align with stance 1: automatically register all eligible citizens to vote and allow online voting.",https://www.ontheissues.org/PA/Madeleine_Dean.htm,,,Voter ID laws limit who has access to the ballot box.,Voter ID laws limit who has access to the ballot box.
