full_name,topic_key,source_url,snippet,snippet_index
Karen Kwan,abortion,https://en.wikipedia.org/wiki/Karen_Kwan_(politician),"Kwan previously served as House Minority Whip and currently serves as Senate Minority Caucus Whip (since November 2024). She demonstrates exceptionally strong party support, with an overall score of 97-100%.",0
Karen Kwan,abortion,https://adambrown.info/p/research/utah_legislature/profile/kwan_karen_0206,"Sen. Kwan has served in the Utah Legislature since 2017, spending six sessions in the House (H34 district, 2017-2022) and four in the Senate (S12 district, 2023-2026). She is a Democrat who held leadership positions including Caucus Manager, Whip, and currently serves as Whip in the Senate. Party Loyalty: Kwan demonstrates exceptionally strong party support, with an overall score of 97-100% (chamber average: 94-97%).",0
Karen Kwan,same-sex-marriage,https://en.wikipedia.org/wiki/Karen_Kwan_(politician),"In 2020, Kwan sponsored a resolution to ratify the Equal Rights Amendment to the US Constitution. However, the bill did not receive any committee assignment or hearing.",0
Karen Kwan,same-sex-marriage,https://www.utahsenatedemocrats.org/home/senator-karen-kwan,"Senator Kwan prioritizes education, economic support for seniors, family values, and equality and access — advocating for language access and promoting equality for all Utahns. The page describes her as believing in 'justice and fairness' and notes her hope to 'pave the way for a diverse array of voices in Utah's political landscape, reflecting the strength that unity in diversity brings.'",0
Karen Kwan,trans-athletes,https://www.ksl.com/article/50109476/utah-house-passes-ban-on-transgender-athletes-in-girls-sports-after-heated-debate,"Rep. Karen Kwan, D-Murray, said: 'I want to point out the fact that the sponsor testified that this bill is about girls not having the same opportunity as boys in sports, and I have to wonder how discriminating against transgender children changes any of that.'",0
Karen Kwan,trans-athletes,https://adambrown.info/p/research/utah_legislature/profile/kwan_karen_0206,"Her 'nay' rate exceeds chamber averages consistently. In 2026, she voted 'nay' 14% of the time versus a 6.4% chamber average — significantly higher according to the statistical analysis. Her winning side rate (39% in 2026) trails the chamber average (70%) by approximately 31 percentage points, indicating she 'votes on the minority side on contested votes more frequently than her colleagues.'",0
Karen Kwan,voting-rights,https://utahnewsdispatch.com/2025/02/25/utah-house-passes-scaled-back-bill-to-require-voter-id-still-allow-voting-by-mail/,"Karen Kwan, Senate Minority Whip and D-Taylorsville, stated 'There's no evidence of widespread voter fraud,' arguing Utah's voting system was 'already working.' While she acknowledged the new version of HB300 appears to be an improvement, Kwan said her caucus will be looking at the bill closely as it progresses through the Senate.",0
Karen Kwan,voting-rights,https://www.sltrib.com/news/politics/2025/03/26/utah-gov-cox-signs-bill-end/,"Utah Gov. Cox signs away the state's popular universal vote-by-mail election system, requiring opting in. Democrats voted against HB300, expressing concerns about restricting voting by mail and bringing sweeping changes to a system that audits have shown functions largely well.",0
Karen Kwan,climate-change,https://climateandcleanaircompact.org/,"We, as leaders from business, government, faith, and civic institutions, care deeply about Utah's future. Poor air quality has an immediate impact on the health of Utah families, especially our most vulnerable communities. Many strategies benefit both air quality and our climate. The transition creates new opportunities for innovation as we achieve a resilient, clean, and affordable energy future. Senator Karen Kwan is listed as representing 'District 12' among the compact's signatories.",0
Karen Kwan,climate-change,https://climateandcleanaircompact.org/signatories/,"The entry for Karen Kwan shows: Position: 'Senator Karen Kwan' Location: 'Utah Legislature, District 12.' The compact represents a commitment by leaders across business, government, faith, and civic institutions who care deeply about Utah's future and achieving a resilient, clean, and affordable energy future.",0
