politician_name,office_title,committee_name,committee_id,cmt_type,decision,reason
"Abigail M. Baron","","Baronian for City Council 2024","1463687","C","confirm","lastName ""Baron"" in committee name, cmt_type=C (Candidate)"
"Alan Morrison","Director of Natural Resources","William Morrison My Time for City Council","1260324","C","confirm","lastName ""Morrison"" in committee name, cmt_type=C (Candidate)"
"Alan Morrison","Director of Natural Resources","William Morrison My Time for City Council","Pending","C","confirm","lastName ""Morrison"" in committee name, cmt_type=C (Candidate)"
"Alan Morrison","Director of Natural Resources","Morrison for City Council 2013","1343694","C","confirm","lastName ""Morrison"" in committee name, cmt_type=C (Candidate)"
"Alberto Guerrero","Board Member","Genny Guerrero for City Council District 14, 2024","1460698","C","confirm","lastName ""Guerrero"" in committee name, cmt_type=C (Candidate)"
"Alex Vargas","Council Member","Vargas for City Council 2024","1459908","C","confirm","lastName ""Vargas"" in committee name, cmt_type=C (Candidate)"
"Alma Guerrero","Board Member","Genny Guerrero for City Council District 14, 2024","1460698","C","confirm","lastName ""Guerrero"" in committee name, cmt_type=C (Candidate)"
"Ana Maria Luna","","Sylvia Luna for 1st District Council","1268665","C","confirm","lastName ""Luna"" in committee name, cmt_type=C (Candidate)"
"Ana Valencia","Council Member","Valencia for LAUSD Board 2019","1413837","C","confirm","lastName ""Valencia"" in committee name, cmt_type=C (Candidate)"
"Anastasia Flores","Board Member","Fred Flores for City Council 2017","1393251","C","confirm","lastName ""Flores"" in committee name, cmt_type=C (Candidate)"
"Andrew E. Cooper","","Angelenos for Safe Transportation PAC Sponsored by L.A. Taxi Cooperative Inc. and South Bay Cooperative, Inc.","1340101","G","ambiguous","lastName ""Cooper"" in committee name but cmt_type=""G"" (not C)"
"Andy Ruff","City Common Council - At Large","Nancy Woodruff For Council 7, 2017","1380670","C","confirm","lastName ""Ruff"" in committee name, cmt_type=C (Candidate)"
"Angelia L Moore","Indianapolis Public School Board - At Large","Committee to Elect Walter Moore","1297003","C","confirm","lastName ""Moore"" in committee name, cmt_type=C (Candidate)"
"Ann Huang","Board Member","Rae Huang for Mayor 2026","1484729","C","confirm","lastName ""Huang"" in committee name, cmt_type=C (Candidate)"
"Annabelle G. Cortez","","Madeline Cortez Le for City Controller 2022","1429316","C","confirm","lastName ""Cortez"" in committee name, cmt_type=C (Candidate)"
"April S Collins","Assessor","Collins for City Council 2020","1419960","C","confirm","lastName ""Collins"" in committee name, cmt_type=C (Candidate)"
"Arturo Flores","Board Member","Fred Flores for City Council 2017","1393251","C","confirm","lastName ""Flores"" in committee name, cmt_type=C (Candidate)"
"Audrey B. Collins","","Collins for City Council 2020","1419960","C","confirm","lastName ""Collins"" in committee name, cmt_type=C (Candidate)"
"Bridgett Lewis","Council Member","Lewis for City Council District 9 2013","1344652","C","confirm","lastName ""Lewis"" in committee name, cmt_type=C (Candidate)"
"Brigitte Lewis","Council Member","Lewis for City Council District 9 2013","1344652","C","confirm","lastName ""Lewis"" in committee name, cmt_type=C (Candidate)"
"Bruce Silverstein","Council Member","Scott Silverstein for City Council 2022","1442077","C","confirm","lastName ""Silverstein"" in committee name, cmt_type=C (Candidate)"
"Bruce Silverstein","Council Member","Scott Silverstein for City Council 2013","1348687","C","confirm","lastName ""Silverstein"" in committee name, cmt_type=C (Candidate)"
"Cale J Bradford","Indiana Appeals Court Judge - District 2","Silke Bradford for School Board 2020","1416564","C","confirm","lastName ""Bradford"" in committee name, cmt_type=C (Candidate)"
"Charles F Miller","Superior Court Judge","Miller for Mayor","1262901","C","confirm","lastName ""Miller"" in committee name, cmt_type=C (Candidate)"
"Cherise Moore","Board Member","Committee to Elect Walter Moore","1297003","C","confirm","lastName ""Moore"" in committee name, cmt_type=C (Candidate)"
"Cheryl Cox","Board Member","Rob Wilcox for Controller 2022","1438727","C","confirm","lastName ""Cox"" in committee name, cmt_type=C (Candidate)"
"Christine Parra","Council Member","Parra 2007","1292765","C","confirm","lastName ""Parra"" in committee name, cmt_type=C (Candidate)"
"Daniel Alexander","","Alexander Tsao - Changing City Council in 2022","1444539","C","confirm","lastName ""Alexander"" in committee name, cmt_type=C (Candidate)"
"Darleen Ramos","Board Member","RICHARD RAMOS FOR LA Board of Education 2024","1462085","C","confirm","lastName ""Ramos"" in committee name, cmt_type=C (Candidate)"
"Dave Hall","Indiana House of Representatives - District 62","ISADORE HALL FOR CITY CONTROLLER 2026","1483798","C","confirm","lastName ""Hall"" in committee name, cmt_type=C (Candidate)"
"David A. Berger","","Committee to Elect David Berger","1313869","C","confirm","lastName ""Berger"" in committee name, cmt_type=C (Candidate)"
"David Fu","Council Member","Furutani for City Council 2011","1340011","C","confirm","lastName ""Fu"" in committee name, cmt_type=C (Candidate)"
"David G Henry","Council - At Large","Henry Mantel for Los Angeles City Council 2026","1482418","C","confirm","lastName ""Henry"" in committee name, cmt_type=C (Candidate)"
"Dawn Abrams","Assessor","Scott Abrams for City Council 2019","1414946","C","confirm","lastName ""Abrams"" in committee name, cmt_type=C (Candidate)"
"Deborah L. Christian","","Christian L. Guzman for City Council 2022","1438114","C","confirm","lastName ""Christian"" in committee name, cmt_type=C (Candidate)"
"Derek Tran","Representative","Angelenos for Safe Transportation PAC Sponsored by L.A. Taxi Cooperative Inc. and South Bay Cooperative, Inc.","1340101","G","ambiguous","lastName ""Tran"" in committee name but cmt_type=""G"" (not C)"
"Diane M. Goodman","","Friends to Elect Goodman for LA City Council 2011","1333973","C","confirm","lastName ""Goodman"" in committee name, cmt_type=C (Candidate)"
"Dolores Santiago","Board Member","MIGUEL SANTIAGO FOR CITY COUNCIL 2024","1459824","C","confirm","lastName ""Santiago"" in committee name, cmt_type=C (Candidate)"
"Doug Collins","Secretary of Veterans Affairs","Collins for City Council 2020","1419960","C","confirm","lastName ""Collins"" in committee name, cmt_type=C (Candidate)"
"Dusty White","Assessor","Dr. White for School Board 2022","1435619","C","confirm","lastName ""White"" in committee name, cmt_type=C (Candidate)"
"Edward Michael","Commission - District 1","Michael McCue for CD 2, 2009","1320273","C","confirm","lastName ""Michael"" in committee name, cmt_type=C (Candidate)"
"Edward Zuniga","Board Member","Iris Zuniga for Board of Education 2013","1354141","C","confirm","lastName ""Zuniga"" in committee name, cmt_type=C (Candidate)"
"Elaine B Brown","Indiana Appeals Court Judge - District 5","Chris Brown for City Council 2011","1333406","C","confirm","lastName ""Brown"" in committee name, cmt_type=C (Candidate)"
"Elaine Lu","","California Apartment Association Housing Solutions Committee","1405775","G","ambiguous","lastName ""Lu"" in committee name but cmt_type=""G"" (not C)"
"Elaine Lu","","US and Luca Barton for Council 2017","1387052","C","confirm","lastName ""Lu"" in committee name, cmt_type=C (Candidate)"
"Elizabeth Potter Scully","","Antoinette Scully for Los Angeles City Council 2023","1456869","C","confirm","lastName ""Scully"" in committee name, cmt_type=C (Candidate)"
"Emma Turner","Board Member","Citizens to Elect Gordon Turner","1313965","C","confirm","lastName ""Turner"" in committee name, cmt_type=C (Candidate)"
"Erik Miller","Board Member","Miller for Mayor","1262901","C","confirm","lastName ""Miller"" in committee name, cmt_type=C (Candidate)"
"Erin Wyatt","Monroe County Community School Board - District 1","Bill Wyatt for Mayor","1267425","C","confirm","lastName ""Wyatt"" in committee name, cmt_type=C (Candidate)"
"Ernie Vargas","Council Member","Vargas for City Council 2024","1459908","C","confirm","lastName ""Vargas"" in committee name, cmt_type=C (Candidate)"
