external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-33001,Chris Pappas,abortion,2,"Pappas is co-chair of the House Pro-Choice Caucus and supports public funding for abortion including Planned Parenthood, as documented in 2018 Project Vote Smart and Christian Coalition surveys. After Dobbs he called for passing a law to restore abortion rights nationally. His positions align with keeping abortion legal and accessible, but he has not publicly endorsed legal access at all stages with full public funding.",https://en.wikipedia.org/wiki/Chris_Pappas_(American_politician),https://www.ontheissues.org/House/Chris_Pappas_Abortion.htm,https://www.ontheissues.org/House/Chris_Pappas_Health_Care.htm,,
-33001,Chris Pappas,campaign-finance,2,"Pappas supports regulation of corporate and union campaign contributions per Project Vote Smart survey responses. He co-sponsored the Protecting Our Democracy Act which included campaign finance accountability provisions, and his OnTheIssues record shows he favors restricting dark money and corporate political spending.",https://www.ontheissues.org/House/Chris_Pappas_Government_Reform.htm,https://en.wikipedia.org/wiki/Chris_Pappas_(American_politician),,,
-33001,Chris Pappas,civil-rights,2,"Pappas voted YES on the George Floyd Justice in Policing Act (2021), which lowered qualified immunity protections and expanded oversight of law enforcement misconduct. He co-sponsored the Equity and Inclusion Enforcement Act authorizing private lawsuits for race discrimination in federally funded education programs, and co-sponsored the Equal Rights Amendment resolution.",https://www.ontheissues.org/House/Chris_Pappas_Crime.htm,https://www.ontheissues.org/House/Chris_Pappas_Civil_Rights.htm,https://www.ontheissues.org/House/Chris_Pappas_Education.htm,,
-33001,Chris Pappas,climate-change,3,"Pappas supports funding renewable energy and regulating greenhouse gas emissions, and co-filed a resolution to strengthen the Clean Water Act. As a Problem Solvers Caucus moderate representing a swing NH district, his record reflects investing in clean energy while gradually reducing fossil fuel reliance, not an emergency declaration or phaseout by 2030.",https://www.ontheissues.org/House/Chris_Pappas.htm,https://www.ontheissues.org/House/Chris_Pappas_Environment.htm,https://en.wikipedia.org/wiki/Chris_Pappas_(American_politician),,
-33001,Chris Pappas,deportation,3,"Pappas voted for the Laken Riley Act in January 2025, which requires detention and deportation proceedings for undocumented immigrants charged with theft, burglary, or violence, stating enforcement should ensure 'swift, significant consequences' for crimes. However, his broader immigration record — supporting pathways for undocumented long-term residents and opposing mass deportation — places him at value 3 (focus on those with criminal records while leaving long-term residents in place).",https://en.wikipedia.org/wiki/Chris_Pappas_(American_politician),https://www.ontheissues.org/House/Chris_Pappas_Immigration.htm,,,"enforcement should ensure ""swift, significant consequences"" for crimes","enforcement should ensure ""swift, significant consequences"" for crimes"
-33001,Chris Pappas,fossil-fuels,3,"Pappas supports clean energy investment and environmental protections including strengthening the Clean Water Act, but has no documented position calling for a ban on new permits or a major expansion of drilling. As a swing-district moderate he reflects maintaining current production levels under existing environmental regulations.",https://www.ontheissues.org/House/Chris_Pappas_Environment.htm,https://www.ontheissues.org/House/Chris_Pappas.htm,https://en.wikipedia.org/wiki/Chris_Pappas_(American_politician),,
-33001,Chris Pappas,healthcare,2,"Pappas supports expanding the ACA and allowing people to opt into Medicare (a public option approach), expanding Medicaid, and keeping Planned Parenthood funded. He opposes repealing the ACA or the individual mandate. His record reflects a mix of public programs and regulated private insurance rather than a single-payer system.",https://www.ontheissues.org/House/Chris_Pappas_Health_Care.htm,https://www.ontheissues.org/House/Chris_Pappas.htm,https://en.wikipedia.org/wiki/Chris_Pappas_(American_politician),,
-33001,Chris Pappas,immigration,3,"Pappas supports expanded legal immigration and visa caps (co-sponsored Fairness for High-Skilled Immigrants Act), opposes religion-based immigration bans, and supports a citizenship pathway for undocumented residents. However, his 2025 vote for the Laken Riley Act signals he does not support blanket protection for all undocumented residents, placing him at maintaining roughly current immigration levels with a criminal-enforcement carve-out.",https://www.ontheissues.org/House/Chris_Pappas_Immigration.htm,https://en.wikipedia.org/wiki/Chris_Pappas_(American_politician),,,
-33001,Chris Pappas,medicare/aid,3,"Pappas opposes cuts to Social Security and Medicare, stating 'We won't allow cuts to these vital programs to sustain tax cuts for the superrich and biggest corporations.' He supports expanding the ACA and allowing opt-in to Medicare (public option), but has not proposed lowering the Medicare age to 55 or major Medicaid expansion beyond ACA. His record reflects improving current programs while controlling costs.",https://www.ontheissues.org/House/Chris_Pappas_Social_Security.htm,https://www.ontheissues.org/House/Chris_Pappas_Health_Care.htm,,,"We won't allow cuts to these vital programs to sustain tax cuts for the superrich and biggest corporations.","We won't allow cuts to these vital programs to sustain tax cuts for the superrich and biggest corporations."
-33001,Chris Pappas,redistricting,1,"Pappas co-sponsored legislation requiring states to establish independent, nonpartisan redistricting commissions for congressional districts, removing partisan manipulation from the process. He also supported the For the People Act which included redistricting reform provisions.",https://www.ontheissues.org/House/Chris_Pappas_Government_Reform.htm,https://en.wikipedia.org/wiki/Chris_Pappas_(American_politician),,,
-33001,Chris Pappas,religious-freedom,2,"Pappas voted for the NO BAN Act prohibiting religious discrimination in visa and immigration decisions, and he opposed the transgender military service ban. As co-chair of the Congressional Equality Caucus, he consistently supports ensuring religious freedom does not override anti-discrimination protections in employment and civil rights contexts.",https://www.ontheissues.org/House/Chris_Pappas_Civil_Rights.htm,https://www.ontheissues.org/House/Chris_Pappas_Immigration.htm,https://en.wikipedia.org/wiki/Chris_Pappas_(American_politician),,
-33001,Chris Pappas,same-sex-marriage,1,"Pappas is the first openly gay man elected to represent New Hampshire in Congress and co-chairs the Congressional Equality Caucus. He supports the Equality Act which would codify federal protections for LGBTQ Americans including same-sex couples, and has consistently advocated for full federal recognition and protections for same-sex marriages.",https://en.wikipedia.org/wiki/Chris_Pappas_(American_politician),https://www.ontheissues.org/House/Chris_Pappas_Civil_Rights.htm,,,
