external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-4003,Yassamin Ansari,climate-change,2,"Ansari built her career around climate policy — she was a senior UN climate advisor helping implement the Paris Agreement, created Phoenix's Office of Heat Response and Mitigation, and earned a 100% LCV score in 2025 with 33 pro-environment votes. Her record reflects a rapid clean-energy transition approach, consistent with stance 2.",https://en.wikipedia.org/wiki/Yassamin_Ansari,https://www.lcv.org/congressional-scorecard/moc/yassamin-ansari,,,
-4003,Yassamin Ansari,fossil-fuels,2,"Ansari voted against every fossil fuel expansion tracked by LCV in 2025 — including Arctic Refuge drilling (Vote 295), Western Arctic drilling (Vote 296), fossil fuel grid prioritization (Vote 279), and methane fee rollback (Vote 52) — consistent with stopping new permits for fossil fuel drilling.",https://www.lcv.org/congressional-scorecard/moc/yassamin-ansari,https://en.wikipedia.org/wiki/Yassamin_Ansari,,,
-4003,Yassamin Ansari,immigration,2,"Following the January 2026 killing of Alex Pretti by an ICE agent, Ansari called for abolishing ICE, reflecting a stance of keeping legal immigration broadly open while opposing aggressive enforcement. As a Congressional Progressive Caucus member representing a majority-Latino Phoenix district, her position aligns with welcoming immigrants and extending public services regardless of status.",https://en.wikipedia.org/wiki/Yassamin_Ansari,,,,
-4003,Yassamin Ansari,deportation,2,"Ansari's call to abolish ICE following a January 2026 incident signals opposition to broad deportation enforcement, consistent with a position of deporting only those convicted of serious violent crimes. She also visited ICE detention facilities in April 2026 to investigate overcrowding conditions, underscoring her opposition to mass enforcement.",https://en.wikipedia.org/wiki/Yassamin_Ansari,https://www.commondreams.org/tag/yassamin-ansari,,,
-4003,Yassamin Ansari,housing,2,"As a Phoenix city councilmember, Ansari supported expanding temporary and affordable housing to address homelessness in 2022. Her progressive platform and district demographics in central Phoenix point to a policy of requiring affordable units in new developments and public funding for housing access.",https://en.wikipedia.org/wiki/Yassamin_Ansari,,,,
-4003,Yassamin Ansari,homelessness,2,"Ansari advocated in 2022 for expanding temporary and affordable housing options to address Phoenix's homelessness crisis, an approach consistent with decriminalizing public sleeping while investing in shelter capacity and outreach rather than enforcement-first responses.",https://en.wikipedia.org/wiki/Yassamin_Ansari,,,,
-4003,Yassamin Ansari,civil-rights,2,Ansari is a Congressional Progressive Caucus member who has explicitly supported LGBTQ+ rights and hosted Phoenix's first LGBTQ+ block party in 2021. Her identity as the first Iranian-American elected to public office in Arizona informs her advocacy for strengthening civil rights enforcement and addressing systemic discrimination.,https://en.wikipedia.org/wiki/Yassamin_Ansari,,,,
-4003,Yassamin Ansari,same-sex-marriage,1,"Ansari publicly supports LGBTQ+ rights, hosted Phoenix's first LGBTQ+ block party in 2021, and is a member of the Congressional Progressive Caucus. Her record is consistent with requiring full federal recognition and protections for same-sex marriages across all states.",https://en.wikipedia.org/wiki/Yassamin_Ansari,,,,
-4003,Yassamin Ansari,taxes,2,"Ansari voted against the 2025 reconciliation package described by LCV as 'Raising Energy Costs and Providing Polluter Giveaways to Cut Taxes for Billionaires' (Vote 190). As a Congressional Progressive Caucus member, her opposition to this tax-cut-for-wealthy package aligns with modestly raising taxes on high earners to fund existing services.",https://www.lcv.org/congressional-scorecard/moc/yassamin-ansari,https://en.wikipedia.org/wiki/Yassamin_Ansari,,,
-4005,Andy Biggs,abortion,5,"Biggs opposes all elective abortion and advocated including ""pre-born humans"" in the 14th Amendment (Dec 2017), sponsored a bill protecting infant survivors of abortion (Feb 2019), and called the 2022 overturning of Roe v. Wade ""a major victory for the unborn."" He supports abolishing the Senate filibuster specifically to pass anti-abortion legislation, indicating support for a federal ban.",https://www.ontheissues.org/House/Andy_Biggs.htm,https://en.wikipedia.org/wiki/Andy_Biggs,,"""a major victory for the unborn""","""a major victory for the unborn"""
