cd,geo_id,full_name,party_from_field,role,decision,assign_external_id,is_incumbent,source
1,2601,"Jack Bergman",R,R,REUSE,-26001,true,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
1,2601,"Callie Barr",D,D,NEW,-260101,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
1,2601,"Kyle Blomquist",D,D,NEW,-260102,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
1,2601,"Wayne Stiles",D,D,NEW,-260103,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
1,2601,"Matthew DenOtter",R,R,NEW,-260104,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
1,2601,"Justin Michal",R,R,NEW,-260105,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
1,2601,"Zebulon Featherly",I,I,NEW,-260106,false,"Declared indep/Green (politics1.com/mi.htm + Ballotpedia); provisional — MI filing deadline 2026-07-16"
1,2601,"Thomas Latza",I,I,NEW,-260107,false,"Declared indep/Green (politics1.com/mi.htm + Ballotpedia); provisional — MI filing deadline 2026-07-16"
2,2602,"John R. Moolenaar",R,R,REUSE,-26002,true,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
2,2602,"Ben Ambrose",D,D,NEW,-260201,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
2,2602,"Jamie Hill",D,D,NEW,-260202,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
2,2602,"Clyde Welford",D,D,NEW,-260203,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
3,2603,"Hillary J. Scholten",D,D,REUSE,-26003,true,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
3,2603,"Ryan Cushman",R,R,NEW,-260301,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
3,2603,"Terri DeBoer",R,R,NEW,-260302,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
4,2604,"Bill Huizenga",R,R,REUSE,-26004,true,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
4,2604,"Diop Harris II",D,D,NEW,-260401,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
4,2604,"Sean McCann",D,D,NEW,-260402,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
4,2604,"Philip Tanis",R,R,NEW,-260403,false,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
5,2605,"Tim Walberg",R,R,REUSE,-26005,true,"MI BOE PRI-2026 candidate report (mi-boe.entellitrak.com)"
