full_name,politician_id,topic_key,value,reasoning
Kathleen Riebe,497f54d5-f52e-4f0c-971d-dab4d65e8014,abortion,2,"Riebe has voted against every Utah abortion restriction bill, proposed amendments to limit the impact of abortion bans, and sponsored a bill to remove the crime-report requirement for rape/incest exceptions. She introduced SB229 expanding sex education and supported contraception access for minors. As a Democrat who received 100% ratings from Planned Parenthood Action Council of Utah, her record shows consistent support for abortion access through at least the second trimester. — best matches stance 2 (keep abortion legal and accessible through the second trimester with rare exceptions afterward)."
Kathleen Riebe,497f54d5-f52e-4f0c-971d-dab4d65e8014,school-vouchers,1,"Riebe voted NO on HB215 (Utah Fits All school choice scholarships) in both committee and on the Senate floor in January 2023, as one of six Democrats opposing the bill. As a public school teacher in Granite School District, she argued that taxpayer resources should strengthen public schools for all children rather than fund private alternatives: 'So, if you're telling me that we're sending these kids because they can have a different, better experience, why don't the kids in our schools get them?' — best matches stance 1 (fully funding public schools and eliminating voucher programs that divert taxpayer money to private institutions)."
Kathleen Riebe,497f54d5-f52e-4f0c-971d-dab4d65e8014,taxes,2,"Riebe opposed Utah's repeated income tax cuts, arguing on the Senate floor that the state should 'really start investing in the people in our communities and the people that are going to school' rather than cutting rates, and called the timing of cuts during COVID-19 inappropriate given 'a lot of unmet needs right now.' She has consistently advocated for redirecting revenue to education and public services. She does not call for dramatically higher rates but consistently opposes cuts benefiting higher earners. — best matches stance 2 (moderately raise taxes on wealthy people and large companies to fund existing services)."
Kathleen Riebe,497f54d5-f52e-4f0c-971d-dab4d65e8014,healthcare,2,"Riebe is described as 'a bold leader for expanding Medicaid' and explicitly supports expanding Medicare and Medicaid. Her 2026 congressional campaign prioritizes affordable healthcare and she opposed Republican efforts to cut ACA health subsidies. She also supported family planning services expansion through Medicaid and defended contraceptive access. — best matches stance 2 (make sure everyone has affordable coverage through a mix of public programs and regulated private insurance)."
Kathleen Riebe,497f54d5-f52e-4f0c-971d-dab4d65e8014,voting-rights,2,"Riebe is a Democrat who served as Minority Whip during the 2025 session when Republicans passed HB300 (ending automatic universal vote-by-mail), which passed 19-10 mostly along party lines. The Utah House Democratic Caucus formally opposed HB300 and Democrats uniformly opposed these restrictions. Her general position favoring expanded voting access aligns with all Democrats' opposition to restricting mail-in voting. — best matches stance 2 (expand early voting periods and make mail-in voting available to all voters without requiring an excuse)."
Kathleen Riebe,497f54d5-f52e-4f0c-971d-dab4d65e8014,redistricting,1,"As a Democrat in a Republican-supermajority Utah Senate, Riebe was directly harmed by partisan gerrymandering (redistricted from D8 to D15 in 2022 after GOP redrew maps). The 2021 redistricting maps were challenged in court by the League of Women Voters as unconstitutional partisan gerrymanders. Democrats uniformly opposed the GOP-drawn maps and Riebe as Minority Whip would have opposed the legislature retaining map-drawing power over the independent advisory commission. — best matches stance 1 (independent citizens' commissions with no elected officials involved at any level)."
Kathleen Riebe,497f54d5-f52e-4f0c-971d-dab4d65e8014,immigration,2,"Riebe has expressed concern that immigration enforcement creates fear in communities where Spanish is spoken: 'I'm also concerned about immigration and how our average citizens are afraid to walk the streets if they are, you know, someone who speaks Spanish.' She opposed calling out the National Guard against average citizens. As a Democrat she is aligned with keeping legal immigration open and accessible while protecting public service access regardless of status. — best matches stance 2 (keep legal immigration open and let most residents use public services regardless of legal status)."
Kathleen Riebe,497f54d5-f52e-4f0c-971d-dab4d65e8014,deportation,2,"Riebe opposed aggressive immigration enforcement, stating 'calling out the National Guard to fight against the average citizen is just not what I believe America should be.' The Utah Senate in 2025 passed deportation-facilitating legislation (HB226) 21-8 with all Democrats opposing it, meaning Riebe almost certainly voted against it. She has expressed concern for immigrants in communities and opposes mass deportation approaches. — best matches stance 2 (only deport people convicted of serious violent crimes)."
Kathleen Riebe,497f54d5-f52e-4f0c-971d-dab4d65e8014,campaign-finance,2,"Riebe pledged not to accept corporate PAC money for her 2026 congressional campaign, supports overturning Citizens United, and said 'I won't take a dime of corporate political action committee money... I'd rather go out knowing I was working for the people instead of corporations.' This reflects a strong position against corporate money in politics. — best matches stance 2 (strictly limit corporate donations and dark money groups)."
Kathleen Riebe,497f54d5-f52e-4f0c-971d-dab4d65e8014,civil-rights,2,"Riebe received 100% ratings from Equality Utah and is considered an LGBTQ+ ally who has opposed anti-LGBTQ+ bills in the Utah legislature. She has opposed bills targeting transgender students and supported civil rights protections. Her 100% score from Equality Utah and consistent opposition to discriminatory legislation demonstrates support for strengthening civil rights enforcement and addressing systemic discrimination. — best matches stance 2 (strengthen civil rights enforcement and address systemic discrimination)."
