full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
"Jesús G. ""Chuy"" García",-17004,healthcare,1,"García explicitly supports a single-payer Medicare-based universal healthcare system, stating he believes it would reduce overall costs while covering the 30 million uninsured. This aligns with value 1: make healthcare free and available to everyone paid for and run by the public sector.",https://www.ontheissues.org/IL/Chuy_Garcia_Health_Care.htm,https://www.lcv.org/congressional-scorecard/moc/jesus-garcia,,"""I support a single payer health care system based on Medicare.""","""I support a single payer health care system based on Medicare."""
"Jesús G. ""Chuy"" García",-17004,abortion,2,"García is documented as pro-choice per Project Vote Smart (2018) and has an LCV lifetime score of 97%, indicating strong progressive alignment. His record does not show support for publicly-funded abortion at all stages, placing him at value 2: keep abortion legal and accessible through the second trimester with rare exceptions.",https://www.ontheissues.org/IL/Chuy_Garcia_Abortion.htm,https://www.lcv.org/congressional-scorecard/moc/jesus-garcia,,,
"Jesús G. ""Chuy"" García",-17004,campaign-finance,2,"García co-sponsored the For the People Act (HR 1, 2021) and the Protecting Our Democracy Act, both of which include strict limits on corporate donations and dark money. Per Project Vote Smart he supports regulating corporate and union campaign donations, matching value 2: strictly limit corporate donations and dark money groups.",https://www.ontheissues.org/IL/Chuy_Garcia_Government_Reform.htm,https://www.ontheissues.org/IL/Chuy_Garcia_Corporations.htm,,,
"Jesús G. ""Chuy"" García",-17004,civil-rights,2,"García co-sponsored the Equal Rights Amendment ratification (HJ Res 17), voted YES on the Equity and Inclusion Enforcement Act (HR 2574, 2020), and is a consistent LGBTQ+ ally. His record centers on strengthening civil rights enforcement and addressing systemic discrimination, matching value 2.",https://www.ontheissues.org/IL/Chuy_Garcia_Civil_Rights.htm,https://www.ontheissues.org/illinois/Chuy_Garcia.htm,,"""On bills seeking to protect the LGBT community, my record has been clear and unwavering support.""","""On bills seeking to protect the LGBT community, my record has been clear and unwavering support."""
"Jesús G. ""Chuy"" García",-17004,climate-change,2,"García has a 97% lifetime LCV score and voted YES on the Inflation Reduction Act (2022), which funds a rapid renewable energy transition. He opposed rollbacks of the methane polluter fee and supported climate-smart infrastructure, matching value 2: rapidly transition to renewable energy and phase out fossil fuels.",https://www.lcv.org/congressional-scorecard/moc/jesus-garcia,https://www.ontheissues.org/IL/Chuy_Garcia_Environment.htm,,"""The retreat on climate change, environmental protection and public health is a disservice to our children and grandchildren.""","""The retreat on climate change, environmental protection and public health is a disservice to our children and grandchildren."""
"Jesús G. ""Chuy"" García",-17004,deportation,1,"García introduced the New Way Forward Act (2019), which would stop most deportations and create protection pathways for undocumented immigrants. He supports reforming or abolishing ICE and opposed requiring undocumented immigrants to leave the country before applying for citizenship, matching value 1: stop deportations entirely and protect undocumented residents from removal.",https://en.wikipedia.org/wiki/Jes%C3%BAs_%22Chuy%22_Garc%C3%ADa,https://www.ontheissues.org/IL/Chuy_Garcia_Immigration.htm,,,
"Jesús G. ""Chuy"" García",-17004,fossil-fuels,2,"With a 97% LCV score, García opposed rolling back the methane polluter fee (2025), supported clean energy legislation, and has consistently backed stopping new fossil fuel permits. His voting record aligns with value 2: stop issuing new permits for fossil fuel drilling.",https://www.lcv.org/congressional-scorecard/moc/jesus-garcia,https://www.ontheissues.org/IL/Chuy_Garcia_Environment.htm,,,
"Jesús G. ""Chuy"" García",-17004,immigration,1,"García co-sponsored the NO BAN Act, the New Way Forward Act, and the Fairness for High-Skilled Immigrants Act. He supports pathways to citizenship for undocumented residents and full access to public services regardless of immigration status, matching value 1: make it easier for immigrants to come legally and let all immigrants fully use public services.",https://www.ontheissues.org/IL/Chuy_Garcia_Immigration.htm,https://en.wikipedia.org/wiki/Jes%C3%BAs_%22Chuy%22_Garc%C3%ADa,,,
"Jesús G. ""Chuy"" García",-17004,medicare/aid,1,"García explicitly supports single-payer Medicare-for-All — expanding Medicare to cover everyone regardless of age. He supports raising the wage ceiling for Medicare contributions and views the program as an essential public benefit, matching value 1: expand Medicare to cover everyone regardless of age.",https://www.ontheissues.org/IL/Chuy_Garcia_Health_Care.htm,https://www.ontheissues.org/IL/Chuy_Garcia_Social_Security.htm,,,
"Jesús G. ""Chuy"" García",-17004,redistricting,2,"García co-sponsored the For the People Act (2019 and 2021), which requires states to establish independent redistricting commissions with equal bipartisan representation to carry out congressional redistricting and eliminate partisan gerrymandering, matching value 2: independent redistricting commissions with equal representation from both major parties.",https://www.ontheissues.org/IL/Chuy_Garcia_Government_Reform.htm,https://www.ontheissues.org/illinois/Chuy_Garcia.htm,,,
