external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-39008,Warren Davidson,abortion,5,"Davidson co-sponsored the Life at Conception Act (H.R. 816), which would extend 14th Amendment equal protection to fertilized eggs at conception with no rape or incest exceptions. When asked about child rape victims carrying pregnancies he responded dismissively about pregnancy detection timelines, and his 2016 campaign stated: ""life begins at conception"" with no exceptions in all cases.",https://www.ontheissues.org/OH/Warren_Davidson_Abortion.htm,https://en.wikipedia.org/wiki/Warren_Davidson,,"""I oppose abortion. I know that life begins at conception and seek to see that reflected in our Constitution. In all cases both lives matter.""","""I oppose abortion. I know that life begins at conception and seek to see that reflected in our Constitution. In all cases both lives matter."""
-39008,Warren Davidson,campaign-finance,4,"Davidson voted against both the For the People Act (H.R. 1, 2019 and 2021) and the Protecting Our Democracy Act, opposing requirements for presidential candidates to disclose tax returns and requirements for campaign finance transparency. His record consistently supports reducing restrictions on political spending rather than adding new disclosure mandates.",https://www.ontheissues.org/OH/Warren_Davidson_Government_Reform.htm,https://en.wikipedia.org/wiki/Warren_Davidson,,,
-39008,Warren Davidson,civil-rights,5,"Davidson voted against the Equal Rights Amendment deadline extension, opposed the For the People Act's civil rights provisions, and signed the First Amendment Defense Act to protect institutions that oppose same-sex marriage from federal penalties. He has no documented support for affirmative action or race-based programs and his record aligns with eliminating race-based government programs.",https://www.ontheissues.org/OH/Warren_Davidson_Civil_Rights.htm,https://www.ontheissues.org/OH/Warren_Davidson.htm,,,
-39008,Warren Davidson,climate-change,5,"Davidson's LCV lifetime score is 2% (0% in 2023, 2024, and 2025), voting against virtually every pro-environment measure. He opposes government subsidies for wind and solar until they are ""economically feasible,"" supports offshore drilling in the Eastern Gulf of Mexico, and voted against the Clean Economy Jobs and Innovation Act.",https://www.lcv.org/congressional-scorecard/moc/warren-davidson,https://www.ontheissues.org/OH/Warren_Davidson_Environment.htm,,,
-39008,Warren Davidson,deportation,5,"Davidson co-sponsored the Birthright Citizenship Act to strip automatic citizenship from children of undocumented immigrants, voted YES on the Gosar Anti-DACA amendment to ban DACA recipients from military service, opposes sanctuary cities and their funding, and supports defunding jurisdictions that shield undocumented immigrants from enforcement regardless of family ties or length of residence.",https://www.ontheissues.org/OH/Warren_Davidson_Immigration.htm,https://en.wikipedia.org/wiki/Warren_Davidson,,"""Securing our borders is a top national security issue.""","""Securing our borders is a top national security issue."""
-39008,Warren Davidson,fossil-fuels,5,"Davidson voted against an amendment prohibiting offshore drilling research in the Eastern Gulf of Mexico, voted against the Clean Economy Jobs and Innovation Act (renewable energy grants), and opposes wind/solar subsidies until they are economically competitive without government support. His LCV scores are 0% in every year from 2022–2025, reflecting a record of consistently opposing environmental restrictions on fossil fuels.",https://www.ontheissues.org/OH/Warren_Davidson_Energy_+_Oil.htm,https://www.lcv.org/congressional-scorecard/moc/warren-davidson,,,
-39008,Warren Davidson,healthcare,5,"Davidson supports full repeal of the Affordable Care Act and advocates for free-market solutions to replace it, opposing any government role in managing healthcare coverage. He has repeatedly voted to repeal or defund the ACA and argues that ""free markets work"" for healthcare, with no documented support for maintaining public programs beyond VA reform.",https://www.ontheissues.org/OH/Warren_Davidson_Health_Care.htm,https://en.wikipedia.org/wiki/Warren_Davidson,,"""Ending Obamacare is past due, with free-market solutions.""","""Ending Obamacare is past due, with free-market solutions."""
-39008,Warren Davidson,immigration,5,"Davidson co-sponsored the Birthright Citizenship Act to exclude children of undocumented immigrants from automatic citizenship, opposes any pathway to citizenship for those who violated immigration laws, supports defunding sanctuary cities, voted NO on the NO BAN Act, and voted YES to ban DACA recipients from military service. His documented record consistently favors stopping most illegal immigration and blocking public services for undocumented residents.",https://www.ontheissues.org/OH/Warren_Davidson_Immigration.htm,https://en.wikipedia.org/wiki/Warren_Davidson,,"""We should improve them for talented people whose skills are in demand, and not ahead of those who have already shown contempt for our laws.""","""We should improve them for talented people whose skills are in demand, and not ahead of those who have already shown contempt for our laws."""
-39008,Warren Davidson,medicare/aid,4,"Davidson supports repealing the ACA (which would end the Medicaid expansion covering millions), advocates for free-market healthcare rather than government programs, and his general fiscal position favors reducing federal entitlement spending. He has no documented support for expanding or preserving Medicaid coverage and voted against COVID relief packages on national debt grounds.",https://www.ontheissues.org/OH/Warren_Davidson_Health_Care.htm,https://en.wikipedia.org/wiki/Warren_Davidson,,,
-39008,Warren Davidson,misinformation,5,"Davidson has been a leading opponent of government surveillance and content regulation, describing FISA authorities as an ""extralegal spying regime"" with ""vague laws and lax protections."" He supported the Fourth Amendment Is Not For Sale Act and co-sponsored the SAPRA surveillance reform bill, reflecting a broad position against any government role in monitoring or regulating online speech and content.",https://en.wikipedia.org/wiki/Warren_Davidson,https://www.washingtonexaminer.com/tag/warren-davidson,,"""extralegal spying regime"" with ""vague laws and lax protections""","an ""extralegal spying regime"" with ""vague laws and lax protections"""
-39008,Warren Davidson,redistricting,5,"Davidson voted against the For the People Act (2019 and 2021), which included provisions requiring states to establish independent nonpartisan redistricting commissions. He opposed these federal mandates on redistricting, aligning with the position that states and their legislatures should control the drawing of district lines without outside interference.",https://www.ontheissues.org/OH/Warren_Davidson_Government_Reform.htm,https://en.wikipedia.org/wiki/Warren_Davidson,,,
-39008,Warren Davidson,religious-freedom,5,"Davidson is a devout Christian who co-signed the First Amendment Defense Act to protect businesses and organizations that oppose same-sex marriage from federal penalties, stated that government must not ""coerce actions willfully hostile to our traditions and values,"" and advocates that Judeo-Christian values form the moral framework underlying American limited government. He consistently supports full religious autonomy for faith-based organizations.",https://www.ontheissues.org/OH/Warren_Davidson_Principles_+_Values.htm,https://www.ontheissues.org/OH/Warren_Davidson_Civil_Rights.htm,,,
-39008,Warren Davidson,same-sex-marriage,5,"Davidson's 2016 campaign explicitly stated ""marriage is between one man and one woman"" and he co-signed the First Amendment Defense Act to protect those who oppose same-sex marriage on religious grounds. He affirmed support for defining marriage exclusively as a union between a man and a woman in an American Family Association survey and frames the issue as a matter of constitutional truth and religious liberty.",https://www.ontheissues.org/OH/Warren_Davidson_Civil_Rights.htm,https://en.wikipedia.org/wiki/Warren_Davidson,,,
-39008,Warren Davidson,school-vouchers,4,"Davidson opposes Common Core standards and supports voucher programs and school choice per his OnTheIssues profile, consistent with his Freedom Caucus and Republican Study Committee membership. He has not documented support for a universal federal voucher program but his record aligns with expanding eligibility broadly so parents can choose their school.",https://www.ontheissues.org/OH/Warren_Davidson.htm,https://en.wikipedia.org/wiki/Warren_Davidson,,,
-39008,Warren Davidson,tariffs,1,"OnTheIssues rates Davidson as ""strongly favors free trade"" and his primary documented trade vote is supporting USMCA implementation (December 2019), which maintained North American trade openness. He has no documented votes in favor of broad tariff increases and his free-market economic philosophy — including FairTax co-sponsorship eliminating corporate taxes — is consistent with eliminating tariff barriers.",https://www.ontheissues.org/OH/Warren_Davidson_Free_Trade.htm,https://www.ontheissues.org/OH/Warren_Davidson.htm,,,
-39008,Warren Davidson,taxes,5,"Davidson co-sponsored H.R. 25 (FairTax Act) to replace the entire federal income tax system with a 23% national sales tax and defund the IRS, introduced a bill to repeal the 16th Amendment (April 2024), and voted for the 2017 Tax Cuts and Jobs Act. He stated he will ""work aggressively for a simpler, flatter tax code"" and believes ""there is no way to tax the economy into good health.""",https://www.ontheissues.org/OH/Warren_Davidson_Tax_Reform.htm,https://www.washingtonexaminer.com/tag/warren-davidson,,"""Work aggressively for a simpler, flatter tax code.""","""Work aggressively for a simpler, flatter tax code."""
-39008,Warren Davidson,ukraine-support,4,"Davidson consistently opposed large-scale Ukraine aid packages including the $39.8 billion measure in May 2022, conditioning any support on the administration providing a ""clear, strategic mission"" rather than writing a ""blank check."" He was also among the small group voting against a resolution condemning Russian abduction of Ukrainian children (2023), reflecting a position of sharply reducing aid and refocusing resources domestically.",https://en.wikipedia.org/wiki/Warren_Davidson,,,"""clear, strategic mission""","a ""clear, strategic mission"""
-39008,Warren Davidson,voting-rights,4,"Davidson voted against both the 2019 and 2021 versions of the For the People Act, which would have implemented automatic voter registration, same-day registration, and expanded early voting. He opposes expanding voter access measures, aligning with requiring photo ID and regular voter roll maintenance rather than broader access expansions.",https://www.ontheissues.org/OH/Warren_Davidson_Government_Reform.htm,https://en.wikipedia.org/wiki/Warren_Davidson,,,
