external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-260802,Al Lemmo,abortion,4,"Lemmo states a pro-life position and opposes Planned Parenthood funding. He has not called for a complete ban with criminal penalties — his documented stance aligns with restricting abortion to cases of rape, incest, or serious threats to the mother's life.",https://www.isidewith.com/candidates/al-lemmo,,,,
-260802,Al Lemmo,ai-regulation,3,"Lemmo supports government regulation of AI: he backs requiring human doctor supervision over AI diagnostics, supports taxing automation, and states ""the government should regulate ethical artificial intelligence."" This reflects a requirement for basic safety oversight rather than strict approval regimes or a fully free market.",https://www.isidewith.com/candidates/al-lemmo,,,"Yes, mega-corporations shouldn't be allowed to dodge payroll taxes and decimate the working class by plugging in an algorithm","Yes, mega-corporations shouldn't be allowed to dodge payroll taxes and decimate the working class by plugging in an algorithm"
-260802,Al Lemmo,campaign-finance,4,"Lemmo explicitly opposes campaign donation limits as ""a violation of free speech"" and supports allowing corporate donations to campaigns. He does not call for eliminating all campaign finance law entirely.",https://www.isidewith.com/candidates/al-lemmo,,,"No, this is a violation of free speech","No, this is a violation of free speech"
-260802,Al Lemmo,childcare,5,"Lemmo explicitly states ""No, federal subsidies and regulations will drive up costs and destroy private childcare market"" when asked about universal childcare. This aligns with leaving childcare entirely to the private market with no government subsidies.",https://www.isidewith.com/candidates/al-lemmo,,,"No, federal subsidies and regulations will drive up costs and destroy private childcare market","No, federal subsidies and regulations will drive up costs and destroy private childcare market"
-260802,Al Lemmo,civil-rights,5,"Lemmo supports eliminating DEI initiatives, opposes affirmative action, and opposes racial sensitivity training requirements in federal agencies and schools. His positions align with eliminating affirmative action and race-based government programs.",https://www.isidewith.com/candidates/al-lemmo,,,,
-260802,Al Lemmo,climate-change,5,"Lemmo opposes increasing environmental regulations to address climate change and supports U.S. withdrawal from the Paris Climate Agreement. His position aligns with rejecting climate change policies and focusing on economic growth.",https://www.isidewith.com/candidates/al-lemmo,,,,
-260802,Al Lemmo,deportation,4,"Lemmo supports deporting immigrants convicted of crimes, opposes sanctuary cities, supports local law enforcement cooperation with federal immigration authorities, and opposes amnesty programs. He supports broad deportation of those without legal status prioritizing criminal offenders.",https://www.isidewith.com/candidates/al-lemmo,,,,
-260802,Al Lemmo,fossil-fuels,4,"Lemmo supports expanding offshore oil drilling and allowing drilling in the Alaska Wildlife Refuge. He supports expanding fossil fuel production but has not called for removing all environmental restrictions.",https://www.isidewith.com/candidates/al-lemmo,,,,
-260802,Al Lemmo,healthcare,4,"Lemmo opposes Obamacare and single-payer healthcare and opposes increasing Medicaid funding. While he considers it ""immoral to deny coverage for pre-existing conditions,"" his overall position supports leaving most Americans to employer and private insurance with only limited assistance for the poorest.",https://www.isidewith.com/candidates/al-lemmo,,,"No, it is immoral to deny health insurance to people with pre-existing conditions","No, it is immoral to deny health insurance to people with pre-existing conditions"
-260802,Al Lemmo,homelessness,5,"Lemmo opposes allowing sleeping or camping on public property and opposes increased funding for homeless shelters. His position aligns with banning public camping and relying on existing social services for those who seek help.",https://www.isidewith.com/candidates/al-lemmo,,,,
-260802,Al Lemmo,housing,4,"Lemmo opposes rent control and opposes expanded government housing programs. He uniquely supports banning corporate and foreign investors from purchasing residential real estate but otherwise favors reducing regulations and letting private developers handle housing supply.",https://www.isidewith.com/candidates/al-lemmo,,,"Yes and also ban corporate and foreign investors from purchasing residential real estate","Yes and also ban corporate and foreign investors from purchasing residential real estate"
-260802,Al Lemmo,immigration,5,"Lemmo opposes birthright citizenship, supports the border wall, opposes sanctuary city funding, supports requiring immigrants remain in Mexico during asylum processing, opposes in-state tuition for undocumented students, and supports decreasing skilled worker visa issuance. His comprehensive restrictionist stance aligns with stopping most legal immigration and blocking public services for those without legal status.",https://www.isidewith.com/candidates/al-lemmo,,,"No, automatic citizenship encourages illegal immigration and 'birth tourism'","No, automatic citizenship encourages illegal immigration and 'birth tourism'"
-260802,Al Lemmo,medicare/aid,4,"Lemmo opposes increasing federal Medicaid funding and opposes expanding Medicare. He supports a Medicaid work requirement. While he backs federal Medicare drug price negotiation, his overall position favors reducing Medicaid coverage rather than expanding either program.",https://www.isidewith.com/candidates/al-lemmo,,,,
-260802,Al Lemmo,misinformation,4,"Lemmo opposes government regulation of social media to prevent misinformation, stating the position should be no government regulation. He supports free speech online and opposes government content moderation, though he has not explicitly called for banning all government involvement.",https://www.isidewith.com/candidates/al-lemmo,,,,
-260802,Al Lemmo,redistricting,2,"Lemmo states ""Yes, switch to multi-member, proportionally selected redistricting system"" — an explicit endorsement of independent redistricting reform rather than partisan legislative control. This aligns with independent redistricting commissions with balanced party representation.",https://www.isidewith.com/candidates/al-lemmo,,,"Yes, switch to multi-member, proportionally selected redistricting system","Yes, switch to multi-member, proportionally selected redistricting system"
-260802,Al Lemmo,religious-freedom,4,"Lemmo supports businesses being able to deny service based on religious beliefs and opposes removing religious references from federal property. He supports robust religious exemptions from civil rights laws, aligning with protecting religious freedom and allowing faith-based exemptions.",https://www.isidewith.com/candidates/al-lemmo,,,,
-260802,Al Lemmo,same-sex-marriage,5,"Lemmo explicitly states ""No, marriage should be defined as between a man and woman"" when asked about same-sex marriage rights. This aligns with defining marriage as only between one man and one woman.",https://www.isidewith.com/candidates/al-lemmo,,,"No, marriage should be defined as between a man and woman","No, marriage should be defined as between a man and woman"
-260802,Al Lemmo,school-vouchers,5,"Lemmo explicitly supports government school voucher programs. He also supports handling education at the state and local level rather than federally, and supports parental choice in education. His position aligns with universal vouchers following the student.",https://www.isidewith.com/candidates/al-lemmo,,,,
-260802,Al Lemmo,social-security,4,"Lemmo opposes lifting the Social Security payroll tax cap so high earners pay on all income, while supporting making benefits tax-free for recipients. His opposition to expanding funding mechanisms without benefit expansion aligns with gradually reducing benefits for higher earners.",https://www.isidewith.com/candidates/al-lemmo,,,,
-260802,Al Lemmo,taxes,4,"Lemmo opposes raising taxes on the wealthy, opposes capital gains tax increases, favors lower corporate tax rates, and supports economic stimulus through tax cuts for all citizens. He supports government spending cuts to reduce the national debt. His position aligns with cutting taxes and scaling back public services.",https://www.isidewith.com/candidates/al-lemmo,,,"No, the government should never determine what a private business should pay employees","No, the government should never determine what a private business should pay employees"
