external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-54001,Carol D. Miller,abortion,5,"Miller stated 'Life begins at conception; never allow abortion' and when asked under what circumstances abortion should be allowed answered 'None.' She co-sponsored the Born-Alive Abortion Survivors Protection Act (Feb 2019), reflecting a complete ban position with no exceptions.",https://www.ontheissues.org/House/Carol_Miller.htm,https://www.ontheissues.org/House/Carol_Miller_Abortion.htm,,"Life begins at conception; never allow abortion.","Life begins at conception; never allow abortion."
-54001,Carol D. Miller,healthcare,4,"Miller advocates for repealing the Affordable Care Act ('Repeal ObamaCare and eliminate the bureaucracy') and eliminating the individual mandate, while supporting existing Medicare and Social Security for current beneficiaries. This reflects a position of limiting government healthcare to existing safety-net programs rather than full private-market-only.",https://www.ontheissues.org/House/Carol_Miller.htm,https://www.ontheissues.org/House/Carol_Miller_Health_Care.htm,,"Repeal ObamaCare and eliminate the bureaucracy.","Repeal the current healthcare law and eliminate the bureaucracy."
-54001,Carol D. Miller,fossil-fuels,5,"Miller campaigned as 'pro-coal and pro-Trump through and through' and stated 'We need to strengthen our coal industry, expand our oil and natural gas energy production.' Her LCV lifetime score is 5% (0% in 2024 and 2025), with 33 anti-environment votes in 2025 alone including opposition to all clean energy standards, methane regulations, and public lands protections.",https://www.ontheissues.org/House/Carol_Miller.htm,https://www.lcv.org/congressional-scorecard/moc/carol-miller,,"Pro-coal and pro-Trump through and through.","Pro-coal and pro-energy through and through."
-54001,Carol D. Miller,climate-change,5,"Miller opposes federal regulation of greenhouse gas emissions and renewable energy subsidies, aligning with the position of rejecting climate change policies in favor of economic growth. Her LCV score is 0% for 2024 and 2025, with 33–35 anti-environment votes each year opposing clean energy, climate action initiatives, and methane polluter fee rules.",https://www.lcv.org/congressional-scorecard/moc/carol-miller,https://www.ontheissues.org/House/Carol_Miller_Energy_+_Oil.htm,,,,
-54001,Carol D. Miller,taxes,4,"Miller supports making the GOP Tax Cuts and Jobs Act permanent, opposes raising income taxes to balance the budget, and supports lower corporate taxes as a means of promoting economic growth. She supports a balanced budget constitutional amendment, reflecting a cut-taxes-and-reduce-spending orientation.",https://www.ontheissues.org/House/Carol_Miller_Tax_Reform.htm,https://www.ontheissues.org/House/Carol_Miller_Budget_+_Economy.htm,,,,
-54001,Carol D. Miller,tariffs,3,"Miller describes herself as 'an America-first conservative' who opposes trade deals 'that send jobs overseas,' reflecting a selective-protectionist stance. Wikipedia confirms she 'opposes free trade and supports an America First policy approach.' She serves on the Ways and Means Subcommittee on Trade but has not called for universal high tariffs.",https://en.wikipedia.org/wiki/Carol_Miller_(politician),https://www.ontheissues.org/House/Carol_Miller_Free_Trade.htm,,"America first: End trade deals that send jobs overseas.","America first: End trade deals that send jobs overseas."
-54001,Carol D. Miller,same-sex-marriage,4,"Miller stated 'Religious freedom supersedes right to same-sex marriage' (2016) and voted YES on WV SB41 allowing individuals to decline participation in same-sex ceremonies on religious grounds. No documented vote against federal recognition of same-sex marriage or support for a one-man-one-woman constitutional amendment has been found, placing her at chair 4 rather than 5.",https://www.ontheissues.org/House/Carol_Miller.htm,https://www.ontheissues.org/House/Carol_Miller_Civil_Rights.htm,,"Religious freedom supersedes right to same-sex marriage.","Religious freedom supersedes right to same-sex marriage."
-54001,Carol D. Miller,religious-freedom,4,"Miller 'Strongly Agreed' that 'Judeo-Christian values established a framework of morality which permitted our limited government system' and voted YES on WV SB41 (religious exemptions from same-sex marriage ceremonies). She supports faith-based exemptions from laws that conflict with sincere religious beliefs.",https://www.ontheissues.org/House/Carol_Miller.htm,https://www.ontheissues.org/House/Carol_Miller_Civil_Rights.htm,,"Our limited government established by Judeo-Christian values.","Our limited government established by Judeo-Christian values."
-54001,Carol D. Miller,immigration,4,"Miller campaigned on 'Cut the bull; build the wall' and 'Build the border wall, not sanctuary cities.' She strongly disagrees with sanctuary policies, supports requiring undocumented immigrants to return to their country of origin before being eligible for citizenship, and voted against the NO BAN Act restricting presidential immigration bans.",https://www.ontheissues.org/House/Carol_Miller.htm,https://www.ontheissues.org/House/Carol_Miller_Immigration.htm,,"Cut the bull; build the wall.","Cut the bull; build the wall."
-54001,Carol D. Miller,deportation,4,"Miller opposes amnesty and sanctuary cities, and supports requiring undocumented immigrants to return to their home countries before any pathway to citizenship. She has not explicitly called for immediate deportation of all undocumented residents regardless of ties, placing her at chair 4 (deport all without legal status, prioritizing by criminal record).",https://www.ontheissues.org/House/Carol_Miller_Immigration.htm,https://www.ontheissues.org/House/Carol_Miller.htm,,,,
