external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-47009,Steve Cohen,abortion,2,"Cohen has co-sponsored the Women's Health Protection Act and the Prevention First Act, consistently opposing all restrictions on abortion access. He has voted NO on multiple abortion-restriction bills (No Taxpayer Funding for Abortion Act, Pain-Capable Unborn Child Protection Act). His record aligns with keeping abortion legal and accessible through the second trimester with only rare later exceptions.",https://www.ontheissues.org/House/Steve_Cohen_Abortion.htm,https://en.wikipedia.org/wiki/Steve_Cohen_(politician),,"""The decision to terminate a pregnancy is one of the most serious decisions a woman can make. It certainly is not a decision that should be made by the legislature.""","""The decision to terminate a pregnancy is one of the most serious decisions a woman can make. It certainly is not a decision that should be made by the legislature."""
-47009,Steve Cohen,campaign-finance,2,"Cohen co-sponsored the Fair Elections Now Act (5:1 matching funds for small donors), the DISCLOSE Act, and the DISCLOSE 2013 Act requiring transparency on campaign spending. He signed a constitutional amendment to overturn Citizens United and co-sponsored the Government By the People Act, placing him firmly in the 'strictly limit corporate donations and dark money' camp.",https://www.ontheissues.org/House/Steve_Cohen_Government_Reform.htm,https://en.wikipedia.org/wiki/Steve_Cohen_(politician),,,
-47009,Steve Cohen,civil-rights,2,"Cohen led the formal Congressional apology for slavery and segregation (2008), backed the Equal Rights Amendment, co-sponsored the Student Non-Discrimination Act for LGBTQ+ students, and has endorsed the 'Covenant with Black America' addressing systemic discrimination. His record reflects strengthening civil rights enforcement and addressing systemic discrimination, not mandating equity requirements or reparations.",https://www.ontheissues.org/House/Steve_Cohen_Civil_Rights.htm,https://en.wikipedia.org/wiki/Steve_Cohen_(politician),,,
-47009,Steve Cohen,climate-change,2,"Cohen supports the Green New Deal (10-year national mobilization), backed 50% clean electricity by 2030, and opposes offshore oil drilling. His lifetime League of Conservation Voters score is 97% (2025 score: 96%), reflecting consistent support for a rapid transition to renewable energy and phasing out fossil fuels.",https://www.ontheissues.org/House/Steve_Cohen.htm,https://www.lcv.org/congressional-scorecard/moc/steve-cohen,,,
-47009,Steve Cohen,deportation,2,"Cohen voted against the No Sanctuary for Criminals Act (2017), which would have penalized sanctuary jurisdictions and expanded mandatory detention. He co-sponsored the Fair Day in Court for Kids Act to provide legal counsel in deportation proceedings and has backed DREAMer pathways to citizenship, reflecting a posture of deporting only those convicted of serious violent crimes.",https://en.wikipedia.org/wiki/Steve_Cohen_(politician),https://www.ontheissues.org/House/Steve_Cohen_Immigration.htm,,,
-47009,Steve Cohen,fossil-fuels,2,"Cohen opposes offshore drilling and co-sponsored the BREATHE Act to tighten restrictions on hydrogen sulfide emissions from oil and gas operations. His 97% lifetime LCV score reflects consistent opposition to fossil fuel expansion. His record aligns with stopping new permits for fossil fuel drilling rather than an outright immediate ban.",https://www.ontheissues.org/House/Steve_Cohen_Environment.htm,https://www.lcv.org/congressional-scorecard/moc/steve-cohen,,,
-47009,Steve Cohen,healthcare,2,"Cohen believes 'adequate health care is a fundamental right' and co-sponsored the Public Option Deficit Reduction Act to establish a public insurance option alongside private coverage. He has consistently opposed ACA repeal, supported drug price negotiation for Medicare, and backed SCHIP expansion — reflecting a 'mix of public programs and regulated private insurance' approach rather than single-payer.",https://www.ontheissues.org/House/Steve_Cohen_Health_Care.htm,https://en.wikipedia.org/wiki/Steve_Cohen_(politician),,,
-47009,Steve Cohen,immigration,2,"Cohen opposed religion-based immigration restrictions (co-sponsored NO BAN Act), backed higher visa caps for family and high-skilled immigrants, voted for DREAMer military service pathways, and co-sponsored legal aid for undocumented children in deportation proceedings. His record reflects keeping legal immigration open and letting most residents use public services regardless of legal status.",https://www.ontheissues.org/House/Steve_Cohen_Immigration.htm,https://en.wikipedia.org/wiki/Steve_Cohen_(politician),,,
-47009,Steve Cohen,medicare/aid,2,"Cohen has strongly opposed converting Medicare to a voucher system (voted against Ryan Budget), supported requiring HHS to negotiate Medicare drug prices, backed SCHIP expansion, and strongly opposed TennCare (Medicaid) cuts. He has co-sponsored a public insurance option and consistently supported expanding Medicare and Medicaid, aligning with lowering the Medicare age and significantly expanding Medicaid.",https://www.ontheissues.org/House/Steve_Cohen_Health_Care.htm,https://en.wikipedia.org/wiki/Steve_Cohen_(politician),,,
-47009,Steve Cohen,redistricting,2,"Cohen co-sponsored redistricting reform legislation requiring independent redistricting commissions, reflecting opposition to purely partisan map-drawing. His government reform record consistently supports democratic accountability measures. His position aligns with independent commissions with equal representation from both major parties.",https://www.ontheissues.org/House/Steve_Cohen_Government_Reform.htm,,,,
