external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-13008,Austin Scott,abortion,4,"Scott co-sponsored the Life at Conception Act (H.R. 816) extending 14th Amendment personhood to the unborn, voted YES on the Pain-Capable Unborn Child Protection Act (20-week ban with maternal life exception), and sponsored the Born-Alive Abortion Survivors Protection Act. He opposes all federal abortion funding and has stated life begins at conception. The 20-week ban's maternal life exception places him at stance 4 rather than a total ban.",https://www.ontheissues.org/GA/Austin_Scott.htm,https://www.ontheissues.org/GA/Austin_Scott_Abortion.htm,,"Life begins at conception; advocate for the unborn","Life begins at conception; advocate for the unborn"
-13008,Austin Scott,civil-rights,5,"Scott voted NO on the George Floyd Justice in Policing Act, voted NAY on the Equity and Inclusion Enforcement Act (prohibiting private lawsuits for school race discrimination), and received a 0% rating from the UFCW reflecting opposition to labor protections. His record reflects consistent opposition to expanding federal civil rights enforcement and race-based programs.",https://www.ontheissues.org/GA/Austin_Scott.htm,https://www.ontheissues.org/GA/Austin_Scott_Civil_Rights.htm,https://www.ontheissues.org/GA/Austin_Scott_Education.htm,,
-13008,Austin Scott,climate-change,5,"Scott signed the No Climate Tax Pledge in 2010 pledging to oppose global warming legislation that would raise taxes, voted YES on opening the Outer Continental Shelf to oil drilling, voted NO on assisting rural electric renewable energy, and earned an LCV lifetime score of 3% (2025 score: 0%). This record reflects consistent rejection of climate policies in favor of economic and energy priorities.",https://www.lcv.org/congressional-scorecard/moc/austin-scott,https://www.ontheissues.org/GA/Austin_Scott.htm,https://en.wikipedia.org/wiki/Austin_Scott_(politician),,
-13008,Austin Scott,deportation,4,"Scott has stated he believes 'we should secure our borders, enforce our existing immigration laws, and remove those illegal immigrants who are in the United States unlawfully.' He was endorsed by ALIPAC for a rule-of-law approach emphasizing employer enforcement and deportation of convicted undocumented immigrants, prioritizing those with criminal records first.",https://www.ontheissues.org/GA/Austin_Scott.htm,https://www.ontheissues.org/GA/Austin_Scott_Immigration.htm,,"""we should secure our borders, enforce our existing immigration laws, and remove those illegal immigrants who are in the United States unlawfully""","we should secure our borders, enforce our existing immigration laws, and remove those illegal immigrants who are in the United States unlawfully"
-13008,Austin Scott,fossil-fuels,4,"Scott voted YES on opening the Outer Continental Shelf to oil drilling, voted NO on assisting rural electric renewable energy, and signed the No Climate Tax Pledge. His LCV lifetime score of 3% reflects sustained support for fossil fuel production. He has stated 'domestic oil production will foster energy independence,' aligning with expanding permits rather than maximizing extraction without any environmental oversight.",https://www.lcv.org/congressional-scorecard/moc/austin-scott,https://www.ontheissues.org/GA/Austin_Scott.htm,,"""Domestic oil production will foster energy independence""","Domestic oil production will foster energy independence"
-13008,Austin Scott,healthcare,4,"Scott has stated he will 'vote to defund, repeal and replace ObamaCare' and opposes 'government-run healthcare,' calling for 'market-based solutions that keep government out of the exam room.' He voted YES on the Ryan Budget introducing Medicare choice/voucher options and voted YES to repeal the Prevention and Public Health Fund. His position supports private insurance for most Americans with limited government assistance only for the poorest.",https://www.ontheissues.org/GA/Austin_Scott_Health_Care.htm,https://www.ontheissues.org/GA/Austin_Scott.htm,,"""market-based solutions that keep government out of the exam room""","market-based solutions that keep government out of the exam room"
-13008,Austin Scott,immigration,4,"Scott co-sponsored the Birthright Citizenship Act restricting citizenship to children with at least one citizen or legal permanent resident parent, voted YES on the Gosar Anti-DACA Amendment banning DREAMers from military service, opposed pathways to citizenship, and was endorsed by ALIPAC for his anti-amnesty stance. He supports making legal immigration harder and limiting public services to those with legal status.",https://www.ontheissues.org/GA/Austin_Scott_Immigration.htm,https://www.ontheissues.org/GA/Austin_Scott.htm,,,
-13008,Austin Scott,medicare/aid,4,"Scott voted YES on the Ryan Budget, which would replace guaranteed Medicare benefits with a voucher/choice system — described by critics as ending 'Medicare as we know it' — and he opposed government-run healthcare broadly. He has not supported expanding Medicaid. His support for the Ryan Budget's premium-support model aligns with partial privatization of Medicare.",https://www.ontheissues.org/GA/Austin_Scott_Health_Care.htm,https://www.ontheissues.org/GA/Austin_Scott.htm,,,
-13008,Austin Scott,religious-freedom,4,"Scott co-sponsored the First Amendment Defense Act to protect 'faith-based opposition to same-sex marriage' and supports the view that 'religious objections to GLBT services warrant respect.' His voting record reflects support for faith-based exemptions from civil rights laws, aligning with allowing exemptions from laws that conflict with sincere religious beliefs.",https://www.ontheissues.org/GA/Austin_Scott.htm,https://www.ontheissues.org/GA/Austin_Scott_Civil_Rights.htm,,,
-13008,Austin Scott,same-sex-marriage,5,"Scott backed the Federal Marriage Amendment to prevent same-sex marriage at the federal constitutional level, co-sponsored the State Marriage Defense Act prohibiting federal recognition of same-sex marriages in non-recognizing states, and opposes same-sex marriage on the grounds that 'state definition of marriage supersedes federal gay marriage.' His position reflects defining marriage as only between a man and woman.",https://www.ontheissues.org/GA/Austin_Scott_Civil_Rights.htm,https://www.ontheissues.org/GA/Austin_Scott.htm,,"""State definition of marriage supersedes federal gay marriage""","State definition of marriage supersedes federal gay marriage"
-13008,Austin Scott,school-vouchers,4,"Scott voted YES on reauthorizing the DC Opportunity Scholarship Program (2011) and YES on the SOAR Act (2015) continuing DC's private school voucher program, and voted YES on the A-PLUS Amendment allowing states to use federal education funds with fewer mandates. He has stated 'vouchers break link of low-income and low-quality schools,' supporting broad but not yet universal voucher eligibility.",https://www.ontheissues.org/GA/Austin_Scott_Education.htm,https://www.ontheissues.org/GA/Austin_Scott.htm,,"""Vouchers break link of low-income and low-quality schools""","Vouchers break link of low-income and low-quality schools"
-13008,Austin Scott,social-security,3,"Scott has stated 'Social Security is an important agreement between our nation and our seniors whose terms should be safeguarded,' opposes raising the retirement age, opposes increasing Social Security taxes, and opposes privatization of the program. He supports solving funding challenges through spending control and economic growth before bipartisan reform — consistent with making small adjustments to keep the program stable.",https://www.ontheissues.org/GA/Austin_Scott_Social_Security.htm,https://www.ontheissues.org/GA/Austin_Scott.htm,,"""Social Security is an important agreement between our nation and our seniors whose terms should be safeguarded""","Social Security is an important agreement between our nation and our seniors whose terms should be safeguarded"
-13008,Austin Scott,taxes,4,"Scott signed the Taxpayer Protection Pledge binding him to 'oppose any and all efforts to increase the marginal income tax rate for individuals and business,' voted YES on the Death Tax Repeal Act (2015) to eliminate the estate tax, and characterized estate tax as a 'pernicious double tax.' He supports cutting taxes across the board while scaling back government, but stops short of calling for a flat tax or drastically shrinking all government.",https://www.ontheissues.org/GA/Austin_Scott_Tax_Reform.htm,https://www.ontheissues.org/GA/Austin_Scott.htm,,"""Lower taxes & reduce regulatory burden""","Lower taxes & reduce regulatory burden"
-13008,Austin Scott,ukraine-support,2,"According to Wikipedia and Defending Democracy Together, Scott consistently supported military aid to Ukraine and received an 'A' grade on Ukraine support as of October 2023. As a senior member of the House Armed Services Committee, he has backed maintaining U.S. defense commitments. His record aligns with continuing current levels of military and economic aid to help Ukraine defend itself.",https://en.wikipedia.org/wiki/Austin_Scott_(politician),https://www.ontheissues.org/GA/Austin_Scott.htm,,,
-13008,Austin Scott,voting-rights,4,"Scott voted NAY on the For the People Act (2019 and 2021) which would have established automatic registration and same-day voting, citing concerns about voter fraud. OnTheIssues documents his position as 'No holiday on election day; no same-day registration.' He also sought to challenge 2020 election results over pandemic-era voting rule changes. His record aligns with requiring photo ID and maintaining strict voter roll standards.",https://www.ontheissues.org/GA/Austin_Scott_Government_Reform.htm,https://www.ontheissues.org/GA/Austin_Scott.htm,,,
