external_id	full_name	role	geo_id	email	phone	term_start	term_end	photo_url	source
	Tyler Vincent	Commissioner		tvincent@boxeldercountyut.gov	435-734-3347				boxeldercountyut.gov/334/County-Commission
	Lee Perry	Commissioner		lbperry@boxeldercountyut.gov	435-734-3347				boxeldercountyut.gov/334/County-Commission
	Boyd Bingham	Commissioner		bbingham@boxeldercountyut.gov	435-734-3347				boxeldercountyut.gov/334/County-Commission
	Kevin Potter	Sheriff			435-734-3800				boxeldercountyut.gov/Directory.aspx?did=6
	Stephen Hadfield	County Attorney			435-734-3329				boxeldercountyut.gov/Directory.aspx?did=9
	Marla Young	Clerk			435-734-3393				boxeldercountyut.gov/Directory.aspx?did=17
	Shirlene Larsen	Auditor			435-734-3388				boxeldercountyut.gov/Directory.aspx?did=23
	Chad Montgomery	Recorder			435-734-3395				boxeldercountyut.gov/Directory.aspx?did=33
	Kory Wilde	Assessor			435-734-3389				boxeldercountyut.gov/Directory.aspx?did=7
	Shaun Thornley	Treasurer			435-734-3385				boxeldercountyut.gov/Directory.aspx?did=24
