full_name,politician_id,topic_key,topic_id,value,reasoning,source_url_1,source_url_2,source_url_3
Scott Colom,4fd59af4-eca7-4cdc-9082-178278ce3dc8,healthcare,e8dad4a8-eb93-4931-91f5-d8fb5d7dd529,2,"Colom has made healthcare his central campaign issue, explicitly pledging to cancel Medicaid cuts and protect the ACA. He stated 'My number one priority is that we are going to prioritize accessible and affordable health care all across Mississippi' and criticized Hyde-Smith for 'voting to cut health care for 142,000 of our neighbors to give a tax cut to people already making $600,000 a year.' Supports expanding Medicaid to prevent rural hospital closures. Favors a public option approach rather than full single-payer.",https://scottcolom.com/sixteen-years-after-passage-of-affordable-care-act-cindy-hyde-smith-has-made-mississippis-health-care-crisis-worse/,https://scottcolom.com/outside-bankrupt-delta-hospital-colom-warns-hyde-smiths-vote-threatens-rural-hospitals-across-mississippi/,https://scottcolom.com
Scott Colom,4fd59af4-eca7-4cdc-9082-178278ce3dc8,medicare/aid,cab61e8a-64fe-4bbd-bc08-fe9914d0091b,2,"Colom explicitly opposes the Medicaid cuts in the One Big Beautiful Bill Act, stating 'Senator Cindy Hyde-Smith voted to give people making $600,000 a year a permanent 3% tax cut...To pay for that tax cut, she voted to cut a billion dollars for Medicaid.' He has pledged to cancel healthcare cuts affecting 140,000+ Mississippians and has made protecting Medicaid funding for rural hospitals central to his campaign. Supports improving current programs rather than full expansion to everyone.",https://scottcolom.com/outside-bankrupt-delta-hospital-colom-warns-hyde-smiths-vote-threatens-rural-hospitals-across-mississippi/,https://scottcolom.com/sixteen-years-after-passage-of-affordable-care-act-cindy-hyde-smith-has-made-mississippis-health-care-crisis-worse/,
Scott Colom,4fd59af4-eca7-4cdc-9082-178278ce3dc8,taxes,f7e5678d-dadd-4556-a2fc-446e24642ceb,2,"Colom has consistently attacked tax cuts for high earners, stating Hyde-Smith voted to give 'people making $600,000 a year a permanent 3% tax cut' while cutting healthcare for 142,000 Mississippians. He argues on Tax Day that 'every working Mississippian is expected to do their part.' His critique of the billionaire tax break framing aligns with a position of modestly increasing taxes on high earners while maintaining current rates for middle-class families.",https://scottcolom.com/by-the-numbers-what-the-hyde-smith-backed-billionaire-tax-break-is-costing-mississippi-families-and-communities/,https://scottcolom.com,
Scott Colom,4fd59af4-eca7-4cdc-9082-178278ce3dc8,voting-rights,d1792200-1d3b-4955-a0b7-0e6980d7a7b2,2,"In response to a Supreme Court ruling gutting the Voting Rights Act, Colom stated 'Today's Supreme Court ruling makes one of America's most important civil rights statutes significantly harder to enforce' and invoked Fannie Lou Hamer's legacy fighting for Mississippi voting rights. His statement 'The right to vote in this state was won at a cost, and I know Mississippians have never backed down from a fight worth having' signals strong support for expanding voting access. Aligns with expanding early voting and mail-in voting access.",https://scottcolom.com/district-attorney-colom-responds-to-supreme-court-ruling-gutting-the-voting-rights-act/,,
Scott Colom,4fd59af4-eca7-4cdc-9082-178278ce3dc8,tariffs,683c8084-2281-4920-a07c-18439b2dd413,3,"Colom opposes blanket tariffs that harm Mississippi farmers and raise consumer costs, characterizing Hyde-Smith's endorsement of tariffs as out of touch. His campaign statement notes tariffs are 'driving supply chain pressures that increase input costs for Mississippi farmers and ranchers.' However, he does not advocate eliminating all tariffs or free trade broadly; his position is selective opposition to tariffs that harm Mississippi agriculture — aligning with using tariffs selectively to protect key industries while opposing those that hurt domestic farmers.",https://scottcolom.com/colom-hyde-smiths-dismissive-grocery-cost-comments-an-insult-to-mississippi-families/,https://scottcolom.com,
Scott Colom,4fd59af4-eca7-4cdc-9082-178278ce3dc8,civil-rights,0bc588c6-39e1-4084-b5de-cac909b8b762,2,"As DA, Colom dropped murder charges against Eddie Lee Howard (who spent 23 years on death row based on debunked bite-mark evidence) and supported releasing Steven Jessie Harris after 11 years of detention without trial — demonstrating a commitment to addressing systemic failures in the justice system. He signed a letter with other district attorneys opposing the criminalization of gender-affirming surgery. His endorsements from the Congressional Black Caucus PAC and focus on Voting Rights Act enforcement signal support for strengthening civil rights protections.",https://en.wikipedia.org/wiki/Scott_Colom,https://scottcolom.com/endorsements/,
Scott Colom,4fd59af4-eca7-4cdc-9082-178278ce3dc8,campaign-finance,92730f69-ae57-401c-8ad1-2d07834a895d,2,"Colom directly criticized Hyde-Smith's acceptance of campaign contributions from fertilizer companies under DOJ investigation, stating 'It's hard to claim you fight for Mississippi farmers while you're cashing checks from the very companies the Justice Department says ripped them off.' His campaign explicitly calls out dark money and corporate donor influence on elected officials. He received endorsements from labor unions and progressive PACs rather than corporate sources, signaling support for limiting corporate donations.",https://scottcolom.com/breaking-hyde-smith-took-campaign-contributions-from-fertilizer-companies-now-under-doj-investigation-as-mississippi-farmers-faced-soaring-costs/,https://scottcolom.com/endorsements/,
Scott Colom,4fd59af4-eca7-4cdc-9082-178278ce3dc8,judicial-criminal-justice,9db07b16-1076-4b7d-ad89-ebe7b51f4336,2,"As District Attorney, Colom demonstrated a reform-minded approach to criminal justice: he dropped wrongful conviction cases relying on debunked forensic evidence (Eddie Lee Howard), supported releasing a defendant held 11 years without trial, and directed resources toward mental health alternatives for certain defendants. He also secured convictions in cold cases and violent crimes, emphasizing accountability for serious offenses while showing willingness to address systemic failures — aligning with reducing pretrial detention and diversion approaches rather than pure incarceration expansion.",https://en.wikipedia.org/wiki/Scott_Colom,https://scottcolom.com,
Scott Colom,4fd59af4-eca7-4cdc-9082-178278ce3dc8,social-security,87d20824-a6e9-407b-983c-65440084a0ab,3,"Colom's campaign emphasizes lowering costs for working families and opposing cuts to programs that benefit ordinary Mississippians, which implies opposition to Social Security cuts or privatization. However, he has not made explicit public statements about expanding Social Security benefits or removing the income cap on payroll taxes. His economic platform focuses primarily on healthcare and jobs rather than Social Security specifics. Placing at 3 (small adjustments to keep it stable) as the most evidence-consistent position without documented explicit advocacy for expansion or cuts.",https://scottcolom.com,https://scottcolom.com/victory-district-attorney-scott-colom-wins-democratic-senate-primary-advances-to-face-cindy-hyde-smith-in-november-were-going-in-a-new-direction/,
Scott Colom,4fd59af4-eca7-4cdc-9082-178278ce3dc8,immigration,4e2c69ce-591e-4197-9cd5-7aceff79d390,3,"Colom has made no explicit public statements on immigration policy. As a Mississippi Democrat running in a heavily conservative state, he emphasizes bipartisan cooperation and focuses his campaign on economic issues (healthcare, jobs, costs). His stated willingness to 'work with anyone, Republican or Democrat' and focus on 'bringing good jobs home' without immigration specifics suggests a centrist approach. Scoring 3 (maintain current levels while streamlining the legal process) as the most consistent position given no documented stance deviation from mainstream.",https://scottcolom.com,https://scottcolom.com/victory-district-attorney-scott-colom-wins-democratic-senate-primary-advances-to-face-cindy-hyde-smith-in-november-were-going-in-a-new-direction/,
Scott Colom,4fd59af4-eca7-4cdc-9082-178278ce3dc8,same-sex-marriage,c5ab4eab-702f-49b8-9277-8ea53f3853c6,2,"Colom has no documented explicit stance on same-sex marriage. However, he signed a letter with other district attorneys opposing the criminalization of gender-affirming surgery, demonstrating support for LGBTQ+ legal protections. He has received endorsements from progressive organizations including the Collective PAC. As a Democrat running statewide in Mississippi, he has not taken a public position on this issue — but his DA actions and progressive endorsements suggest alignment with allowing same-sex marriage nationwide while protecting some organizations' right to decline participation.",https://en.wikipedia.org/wiki/Scott_Colom,https://scottcolom.com/endorsements/,
Scott Colom,4fd59af4-eca7-4cdc-9082-178278ce3dc8,housing,669cac97-66a6-4087-b036-936fbe62efb3,3,"Colom's campaign does not include explicit housing policy positions. His economic platform focuses on healthcare costs, wages, and job creation. He has referenced the Jackson water crisis in criticizing Hyde-Smith's infrastructure vote, suggesting support for federal investment in basic infrastructure. His support for the American Rescue Plan Act (noting Hyde-Smith voted against its funds for Mississippi) implies general support for targeted federal assistance. Scoring 3 (tax incentives for affordable housing) as the most evidence-consistent position without a documented specific stance.",https://scottcolom.com/victory-district-attorney-scott-colom-wins-democratic-senate-primary-advances-to-face-cindy-hyde-smith-in-november-were-going-in-a-new-direction/,,
Scott Colom,4fd59af4-eca7-4cdc-9082-178278ce3dc8,ukraine-support,24e9212c-b011-422a-865c-093e35050901,3,"Colom has made no documented public statements on Ukraine-Russia policy. His campaign focuses exclusively on domestic Mississippi issues including healthcare, jobs, and costs. His stated desire to be 'the Mississippi Senator' rather than a partisan ideologue, and his emphasis on bringing home resources, suggests a pragmatic rather than interventionist foreign policy posture. Scoring 3 (limited humanitarian aid while encouraging diplomacy) as a reasonable centrist default consistent with his documented pragmatic approach, though no direct evidence exists.",https://scottcolom.com,https://scottcolom.com/victory-district-attorney-scott-colom-wins-democratic-senate-primary-advances-to-face-cindy-hyde-smith-in-november-were-going-in-a-new-direction/,
