full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
Bradley Scott Schneider,-17010,abortion,1,"Schneider describes himself as '100 percent pro-choice,' supports public funding for abortion services, co-sponsored the Women's Health Protection Act (2021 and 2022), voted against 20-week abortion bans, and received a perfect 100 score from Reproductive Freedom for All in 2024. This matches stance 1: abortion legal, accessible, and publicly funded at all stages.",https://www.ontheissues.org/IL/Brad_Schneider_Abortion.htm,https://reproductivefreedomforall.org/legislator/brad-schneider/,,"I believe in a woman's fundamental right to make her own decisions about her body and her health, free from intrusion by the government.","I believe in a woman's fundamental right to make her own decisions about her body and her health, free from intrusion by the government."
Bradley Scott Schneider,-17010,campaign-finance,2,"Schneider co-sponsored the For the People Act, which expands disclosure requirements, bans foreign nationals from donating, and establishes public matching for small donations. He also signed a constitutional amendment to overturn Citizens United, stating 'corporate political spending is not free speech.' This aligns with stance 2: strictly limit corporate donations and dark money groups.",https://www.ontheissues.org/IL/Brad_Schneider_Government_Reform.htm,https://www.ontheissues.org/IL/Brad_Schneider.htm,,Corporate political spending is not free speech.,Corporate political spending is not free speech.
Bradley Scott Schneider,-17010,civil-rights,2,"Schneider co-sponsored the George Floyd Justice in Policing Act (limiting qualified immunity and lowering intent standard for officer misconduct), backed the Equity and Inclusion Enforcement Act, and consistently voted to enforce anti-discrimination protections. This aligns with stance 2: strengthen civil rights enforcement and address systemic discrimination.",https://www.ontheissues.org/IL/Brad_Schneider_Civil_Rights.htm,https://www.ontheissues.org/IL/Brad_Schneider_Crime.htm,,,
Bradley Scott Schneider,-17010,climate-change,3,"Schneider holds a 96% lifetime LCV score (100% in 2023 and 2021), supports regulating greenhouse gas emissions, voted for the Clean Economy Jobs and Innovation Act, and advocates investing in solar, wind, geothermal, and nuclear energy. His record shows strong clean energy investment while not calling for emergency bans on all carbon activities or a strict 2030 fossil fuel phase-out, placing him at stance 3.",https://www.lcv.org/congressional-scorecard/moc/brad-schneider,https://www.ontheissues.org/IL/Brad_Schneider_Energy_+_Oil.htm,,,
Bradley Scott Schneider,-17010,deportation,2,"Schneider supports the DREAM Act, pathways to citizenship for undocumented immigrants, opposes requiring undocumented immigrants to leave the U.S. before applying for citizenship, and co-sponsored the NO BAN Act. His immigration positions consistently favor protecting long-term undocumented residents, aligning with stance 2: only deport people convicted of serious violent crimes.",https://www.ontheissues.org/IL/Brad_Schneider_Immigration.htm,https://www.ontheissues.org/IL/Brad_Schneider.htm,,,
Bradley Scott Schneider,-17010,fossil-fuels,3,"Schneider promotes renewable energy and supports greenhouse gas regulation, but has not specifically called for banning new drilling permits or imposing a drilling moratorium. His 96% LCV score reflects strong pro-environment voting while operating within the existing regulatory framework. This fits stance 3: maintain current levels of fossil fuel production with existing environmental regulations.",https://www.lcv.org/congressional-scorecard/moc/brad-schneider,https://www.ontheissues.org/IL/Brad_Schneider_Energy_+_Oil.htm,,,
Bradley Scott Schneider,-17010,healthcare,2,"Schneider supports the ACA and opposes repeal, but Wikipedia documents him as 'vocal in criticizing Medicare for All, viewing it as too expansive.' His approach — making coverage affordable through a mix of ACA-regulated private insurance and protected public programs — aligns with stance 2: make sure everyone has affordable coverage through a mix of public programs and regulated private insurance.",https://en.wikipedia.org/wiki/Brad_Schneider,https://www.ontheissues.org/IL/Brad_Schneider_Health_Care.htm,,,
Bradley Scott Schneider,-17010,immigration,2,"Schneider supports expanded family-based and high-skill visa caps (co-sponsoring the Fairness for High-Skilled Immigrants Act), the DREAM Act, pathways to citizenship, and opposes religion-based immigration restrictions (NO BAN Act). He favors a broadly open legal immigration system with services accessible to immigrants. This fits stance 2: keep legal immigration open and let most residents use public services regardless of legal status.",https://www.ontheissues.org/IL/Brad_Schneider_Immigration.htm,https://www.ontheissues.org/IL/Brad_Schneider.htm,,,
Bradley Scott Schneider,-17010,medicare/aid,3,"Schneider earned an NCPSSM endorsement for protecting Social Security and Medicare, and opposes converting Medicare to a voucher system. At the same time, he has explicitly criticized Medicare for All as 'too expansive,' indicating he supports strengthening and stabilizing current programs without major expansion or privatization. This matches stance 3: improve current programs while controlling costs.",https://www.ontheissues.org/IL/Brad_Schneider_Social_Security.htm,https://en.wikipedia.org/wiki/Brad_Schneider,,Our seniors have worked too hard for too long for us to pay for the wealthiest 2%'s tax cuts with their Medicare guarantee.,Seniors have worked too hard for too long for us to pay for the wealthiest 2%'s tax cuts with their Medicare guarantee.
Bradley Scott Schneider,-17010,redistricting,1,"Schneider co-sponsored the For the People Act, which requires states to establish independent redistricting commissions to carry out congressional redistricting, with no elected officials controlling the process. This matches stance 1: independent citizens' commissions with no elected officials involved at any level.",https://www.ontheissues.org/IL/Brad_Schneider_Government_Reform.htm,https://www.ontheissues.org/IL/Brad_Schneider.htm,,,
Bradley Scott Schneider,-17010,religious-freedom,2,"Schneider co-sponsored legislation requiring religious employers (including churches) to cover contraception in insurance, supports LGBTQ+ anti-discrimination enforcement in schools and employment, and backed the NO BAN Act against religion-based immigration restrictions. His record consistently holds that religious freedom does not override civil rights laws. This aligns with stance 2: protect religious freedom while ensuring it doesn't override anti-discrimination protections in employment and housing.",https://www.ontheissues.org/IL/Brad_Schneider.htm,https://www.ontheissues.org/IL/Brad_Schneider_Civil_Rights.htm,,,
Bradley Scott Schneider,-17010,same-sex-marriage,1,"Schneider stated 'All Americans should be entitled to the unconditional right to marry, regardless of sexual orientation,' co-sponsored repeal of DOMA, and voted for the Respect for Marriage Act requiring all states to recognize same-sex marriages with full federal benefits. This matches stance 1: require all states to recognize same-sex marriages and provide full federal benefits and protections.",https://www.ontheissues.org/IL/Brad_Schneider_Civil_Rights.htm,https://en.wikipedia.org/wiki/Brad_Schneider,,"All Americans should be entitled to the unconditional right to marry, regardless of sexual orientation.","All Americans should be entitled to the unconditional right to marry, regardless of sexual orientation."
Bradley Scott Schneider,-17010,social-security,3,"Schneider pledges to prevent privatization of Social Security and earned an NCPSSM endorsement for protecting both Social Security and Medicare. However, he has not specifically called for expanding benefits or removing the payroll tax income cap. His 80% ARA rating (mixed record) and anti-privatization focus align with stance 3: make small adjustments to keep Social Security stable for future generations.",https://www.ontheissues.org/IL/Brad_Schneider_Social_Security.htm,https://www.ontheissues.org/IL/Brad_Schneider.htm,,"I will work tirelessly in Congress to prevent the privatization of Social Security, insulating it from the kind of financial gambling that precipitated our current economic downturn.","I will work tirelessly in Congress to prevent the privatization of Social Security, insulating it from the kind of financial gambling that precipitated our current economic downturn."
Bradley Scott Schneider,-17010,tariffs,3,"Schneider co-sponsored the Sugar Reform Act maintaining domestic sugar tariffs, voted for the USMCA trade agreement with enforceable labor and environmental protections, and OnTheIssues rates him 'neutral on expanding free trade.' This mixed record — selective tariffs for specific industries, support for negotiated trade frameworks — best matches stance 3: use tariffs selectively to protect key American industries and jobs.",https://www.ontheissues.org/IL/Brad_Schneider_Free_Trade.htm,https://www.ontheissues.org/IL/Brad_Schneider.htm,,,
Bradley Scott Schneider,-17010,taxes,2,"Schneider voted against the 2017 Tax Cuts and Jobs Act (which reduced the corporate rate from 35% to 21%), supports increasing income tax rates, and has favored raising taxes on high earners while opposing deficit expansion from tax cuts. Wikipedia notes he supports 'higher taxes on high-income earners.' This aligns with stance 2: moderately raise taxes on wealthy people and large companies to fund existing services.",https://www.ontheissues.org/IL/Brad_Schneider_Tax_Reform.htm,https://en.wikipedia.org/wiki/Brad_Schneider,https://www.ontheissues.org/IL/Brad_Schneider_Corporations.htm,,
Bradley Scott Schneider,-17010,ukraine-support,2,"Wikipedia documents Schneider 'advocated for providing F-16 fighter jets to Ukraine in 2023,' and he voted with President Biden's stated position 100% of the time during the 117th Congress (which included Ukraine aid packages). He has been a consistent supporter of U.S. military assistance to Ukraine. This matches stance 2: continue providing current levels of military and economic aid to help Ukraine defend itself.",https://en.wikipedia.org/wiki/Brad_Schneider,https://www.ontheissues.org/IL/Brad_Schneider.htm,,,
Bradley Scott Schneider,-17010,voting-rights,1,"Schneider opposes photo ID requirements (signed the Voting Rights Amendment Act banning photo IDs at polls), co-sponsored the For the People Act expanding automatic voter registration, supports making Election Day a federal holiday, and backed early voting, same-day registration, and mail-in ballots. This comprehensive expansion of access matches stance 1: automatically register all eligible citizens to vote and allow online voting.",https://www.ontheissues.org/IL/Brad_Schneider_Government_Reform.htm,https://www.ontheissues.org/IL/Brad_Schneider.htm,,,
