external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-34008,Robert Menendez,abortion,2,"Menendez received a perfect 100% score from Reproductive Freedom for All, voting NAY on every tracked abortion-restriction measure (2023–2025) including the Born-Alive Abortion Survivors Protection Act (H.R. 21), the abortion coverage ban (H.R. 6703), and multiple mifepristone access restrictions. He is a member of the House Pro-Choice Caucus. No evidence of explicit support for public funding of abortion at all stages, placing him at value 2.",https://reproductivefreedomforall.org/congress-member/rob-menendez/,https://en.wikipedia.org/wiki/Rob_Menendez,,,,
-34008,Robert Menendez,civil-rights,2,"Menendez is a member of the Congressional Equality Caucus and the Gun Violence Prevention Task Force, both focused on addressing systemic inequality and discrimination. His pattern of advocacy aligns with strengthening civil rights enforcement and addressing systemic discrimination, consistent with value 2.",https://en.wikipedia.org/wiki/Rob_Menendez,,,,,
-34008,Robert Menendez,climate-change,2,"Menendez holds a 100% lifetime LCV (League of Conservation Voters) score, voting for the Inflation Reduction Act's climate and clean energy investments and against Arctic Refuge drilling and fossil fuel subsidies. His voting record consistently reflects a priority on rapid transition to clean energy.",https://www.lcv.org/congressional-scorecard/members-of-congress/?state=NJ&chamber=House,https://en.wikipedia.org/wiki/Rob_Menendez,,,,
-34008,Robert Menendez,deportation,2,"As Vice Chair of Policy for the Congressional Hispanic Caucus, Menendez led a May 2025 oversight visit to the Delaney Hall ICE detention facility, releasing a statement that 'ICE attempted to intimidate everyone involved and impede our ability to conduct oversight.' This immigration enforcement skepticism aligns with limiting deportation to serious violent crime offenders.",https://en.wikipedia.org/wiki/Rob_Menendez,,,"ICE attempted to intimidate everyone involved and impede our ability to conduct oversight.","ICE attempted to intimidate everyone involved and impede our ability to conduct oversight."
-34008,Robert Menendez,fossil-fuels,2,"Menendez holds a perfect 100% lifetime LCV score, voting consistently against fossil fuel subsidies and new drilling permits including opposition to Arctic Refuge oil extraction. Serving on the Energy and Commerce Committee's Energy and Environment subcommittees, his record reflects a stance of stopping new fossil fuel permits.",https://www.lcv.org/congressional-scorecard/members-of-congress/?state=NJ&chamber=House,https://en.wikipedia.org/wiki/Rob_Menendez,,,,
-34008,Robert Menendez,healthcare,2,"Menendez voted NAY on H.R. 1 (119th Congress), which attacked Medicaid and Planned Parenthood funding, and has consistently opposed healthcare cuts. His support for the Affordable Care Act framework and opposition to privatization efforts reflects a position of ensuring affordable coverage through a mix of public programs and regulated private insurance.",https://reproductivefreedomforall.org/congress-member/rob-menendez/,https://en.wikipedia.org/wiki/Rob_Menendez,,,,
-34008,Robert Menendez,housing,2,"Menendez is a member of the Congressional Renters Caucus, focused on tenant protection and affordable housing advocacy. He campaigned on addressing rising housing costs in Hudson County/Jersey City, a high-cost urban district, aligning with policies of rent caps, affordable unit requirements, and public housing investment.",https://en.wikipedia.org/wiki/Rob_Menendez,,,,,
-34008,Robert Menendez,immigration,2,"As Vice Chair of Policy for the Congressional Hispanic Caucus, Menendez has consistently advocated for immigrant rights, conducted oversight of ICE detention facilities, and supports keeping legal immigration pathways open while protecting undocumented residents. His district (Hudson County/Jersey City) has a large immigrant population and he represents their interests.",https://en.wikipedia.org/wiki/Rob_Menendez,,,,,
-34008,Robert Menendez,medicare/aid,3,"Menendez voted NAY on H.R. 1 (119th Congress) twice, blocking Republican-led cuts to Medicaid and Medicare-adjacent programs, and has consistently opposed privatization of these programs. Without documented sponsorship of Medicare expansion legislation, his record best fits improving and protecting current programs rather than a specific expansion mandate.",https://reproductivefreedomforall.org/congress-member/rob-menendez/,https://en.wikipedia.org/wiki/Rob_Menendez,,,,
-34008,Robert Menendez,same-sex-marriage,2,"Menendez is a member of the Congressional Equality Caucus, which advocates for full LGBTQ equality including marriage rights. He has consistently supported same-sex marriage as a federal right, consistent with the Respect for Marriage Act framework that guarantees nationwide recognition while permitting some religious organizations to decline participation.",https://en.wikipedia.org/wiki/Rob_Menendez,,,,,
-34008,Robert Menendez,ukraine-support,2,"Menendez is a member of the Congressional Ukraine Caucus, reflecting consistent support for U.S. aid to Ukraine. His caucus membership and Democratic Party alignment places him firmly in the continue-current-aid camp, consistent with supporting Ukraine's defense without necessarily calling for significantly escalated military commitments.",https://en.wikipedia.org/wiki/Rob_Menendez,,,,,
