politician_id,full_name,bioguide_id,topic_key,role,bill,introduced,title
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,military-intervention,sponsor,SJRES. 200,2026-07-13,A joint resolution to direct the removal of United States Armed Forces from hostilities within or against the Islamic Republic of Iran that have not been authorized by Congress.
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,military-intervention,sponsor,SJRES. 117,2026-03-05,A joint resolution to direct the removal of United States Armed Forces from hostilities within or against the Islamic Republic of Iran that have not been authorized by Congress.
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,military-intervention,sponsor,SJRES. 184,2026-04-16,A joint resolution to direct the removal of United States Armed Forces from hostilities within or against the Islamic Republic of Iran that have not been authorized by Congress.
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,military-intervention,sponsor,SJRES. 83,2025-09-18,A joint resolution to direct the removal of United States Armed Forces from hostilities that have not been authorized by Congress.
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,gun-policy,sponsor,S. 2088,2025-06-17,Firearm Destruction Licensure Act of 2025
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,gun-policy,sponsor,S. 1531,2025-04-30,Assault Weapons Ban of 2025
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,gun-policy,sponsor,HR. 8991,2024-07-10,Firearm Destruction Licensure Act of 2024
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,gun-policy,sponsor,HR. 4184,2023-06-15,Equal Access to Justice for Victims of Gun Violence Act of 2023
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,military-intervention,cosponsor,SJRES. 211,2026-08-06,A joint resolution to direct the removal of United States Armed Forces from hostilities within or against the Islamic Republic of Iran that have not been authorized by Congress.
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,defense-spending,cosponsor,S. 5189,2026-07-30,"A bill to amend title 10, United States Code, and the National Defense Authorization Act for Fiscal Year 1994, to codify and clarify gender neutral standards for members of certain Armed Forces, and for other purposes."
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,border-security,cosponsor,SRES. 796,2026-06-24,"A resolution recognizing the upcoming 250th anniversary of the United States of America and reaffirming the commitment of the Senate to the Nation's founding ideals of liberty, equality, and opportunity for all immigrant communities in the United States."
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,gun-policy,cosponsor,S. 4926,2026-06-24,State Firearms Dealer Licensing Enhancement Act
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,border-security,cosponsor,S. 2149,2026-06-09,Health Equity and Access under the Law for Immigrant Families Act of 2025
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,gun-policy,cosponsor,SCONRES. 34,2026-06-01,"A concurrent resolution recognizing the importance of saving lives, reducing gun violence, and strengthening public safety as the United States celebrates its 250th anniversary."
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,military-intervention,cosponsor,SJRES. 193,2026-05-20,A joint resolution to direct the removal of United States Armed Forces from hostilities within or against the Republic of Cuba that have not been authorized by Congress.
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,military-intervention,cosponsor,SJRES. 163,2026-05-12,A joint resolution to direct the removal of United States Armed Forces from hostilities within or against the Islamic Republic of Iran that have not been authorized by Congress.
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,military-intervention,cosponsor,SJRES. 171,2026-05-12,A joint resolution to direct the removal of United States Armed Forces from hostilities within or against the Islamic Republic of Iran that have not been authorized by Congress.
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,military-intervention,cosponsor,SJRES. 191,2026-04-30,A joint resolution to direct removal of United States Armed Forces from hostilities within or against the Islamic Republic of Iran that have not been authorized by Congress.
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,military-intervention,cosponsor,SJRES. 185,2026-04-27,A joint resolution to direct the removal of United States Armed Forces from hostilities within or against the Islamic Republic of Iran that have not been authorized by Congress.
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,military-intervention,cosponsor,SJRES. 114,2026-04-16,A joint resolution to direct the removal of United States Armed Forces from hostilities within or against the Islamic Republic of Iran that have not been authorized by Congress.
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,2020-election,cosponsor,SRES. 657,2026-03-24,"A resolution commending Taiwan on the 30th anniversary of its first direct presidential election in 1996, and expressing support for Taiwan in the preservation of its democratic institutions."
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,military-intervention,cosponsor,SJRES. 124,2026-03-12,A joint resolution to direct the removal of United States Armed Forces from hostilities within or against the Republic of Cuba that have not been authorized by Congress.
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,military-intervention,cosponsor,SJRES. 123,2026-03-10,A joint resolution to direct the removal of United States Armed Forces from hostilities within or against the Islamic Republic of Iran that have not been authorized by Congress.
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,military-intervention,cosponsor,SJRES. 116,2026-03-05,A joint resolution to direct the removal of United States Armed Forces from hostilities within or against the Islamic Republic of Iran that have not been authorized by Congress.
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,military-intervention,cosponsor,SJRES. 115,2026-03-05,A joint resolution to direct the removal of United States Armed Forces from hostilities within or against the Islamic Republic of Iran that have not been authorized by Congress.
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,military-intervention,cosponsor,SJRES. 118,2026-03-05,A joint resolution to direct the removal of United States Armed Forces from hostilities within or against the Islamic Republic of Iran that have not been authorized by Congress.
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,israel-military-aid,cosponsor,S. 3855,2026-03-03,"United States-Israel Framework for Upgraded Technologies, Unified Research, and Enhanced Security (FUTURES) Act of 2026"
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,gun-policy,cosponsor,S. 3875,2026-03-03,Responsible Firearms Marketing Act
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,military-intervention,cosponsor,SJRES. 104,2026-02-25,A joint resolution to direct the removal of United States Armed Forces from hostilities within or against the Islamic Republic of Iran that have not been authorized by Congress.
8a27a8b7-88b4-4f79-bbcf-d1d0e70d4032,Adam B. Schiff,S001150,border-security,cosponsor,S. 3702,2026-01-27,Dignity for Detained Immigrants Act
