external_id	full_name	role	geo_id	email	phone	term_start	term_end	photo_url	source
	Roger Armstrong	County Council		rarmstrong@summitcountyutah.gov	818-207-1417				summitcountyutah.gov/Directory.aspx?did=28
	Tonja Hanson	County Council		tbhanson@summitcountyutah.gov	435-901-7663				summitcountyutah.gov/Directory.aspx?did=28
	Chris Robinson	County Council		cfrobinson@summitcountyutah.gov	801-599-4397				summitcountyutah.gov/Directory.aspx?did=28
	Canice Harte	County Council		charte@summitcountyutah.gov	435-647-6151				summitcountyutah.gov/Directory.aspx?did=28
	Megan McKenna	County Council		mmckenna@summitcountyutah.gov					summitcountyutah.gov/Directory.aspx?did=28
	Kacey Bates	Sheriff		kbates@summitcountyutah.gov	435-615-3510				summitcountyutah.gov/Directory.aspx?did=36
	Margaret Olson	County Attorney							summitcountyutah.gov
	Malena Stevens	Clerk		mstevens@summitcountyutah.gov	435-336-3203				summitcountyutah.gov/Directory.aspx?did=23
	Cindy Keyes	Auditor		ckeyes@summitcountyutah.gov	435-336-3013				summitcountyutah.gov/Directory.aspx?did=19
	Gregory R. Wolbach	Recorder/Surveyor		gwolbach@summitcountyutah.gov	435-336-3244				summitcountyutah.gov/Directory.aspx?did=17
	Stephanie Paice	Assessor		spaice@summitcountyutah.gov	435-336-3253				summitcountyutah.gov/Directory.aspx?did=9
	Corrie Forsling	Treasurer		cforsling@summitcountyutah.gov	435-336-3267				summitcountyutah.gov/Directory.aspx?did=22
