cd,geo_id,full_name,party_from_field,role,decision,assign_external_id,is_incumbent,d02_note,source
1,0901,"John B. Larson",Democratic,D,REUSE,-9001,true,"","CT 2026 US House field (ctmirror.org / ctpublic.org / ctinsider.com convention coverage + FEC candidate filings); provisional pre-primary convention/petition field, cull >= 2026-08-12"
1,0901,"Luke Bronin",Democratic,D,NEW,-90101,false,"Dem convention-endorsed nominee (beat Larson 214-204, May-11-2026 convention)","CT 2026 US House field (ctmirror.org / ctpublic.org / ctinsider.com convention coverage + FEC candidate filings); provisional pre-primary convention/petition field, cull >= 2026-08-12 — Dem convention-endorsed nominee (beat Larson 214-204, May-11-2026 convention)"
1,0901,"Jillian Gilchrest",Democratic,D,NEW,-90102,false,"qualified at convention with 15%+ delegates","CT 2026 US House field (ctmirror.org / ctpublic.org / ctinsider.com convention coverage + FEC candidate filings); provisional pre-primary convention/petition field, cull >= 2026-08-12 — qualified at convention with 15%+ delegates"
1,0901,"Ruth Fortune",Democratic,D,NEW,-90103,false,"petitioned onto ballot with 3,743 signatures","CT 2026 US House field (ctmirror.org / ctpublic.org / ctinsider.com convention coverage + FEC candidate filings); provisional pre-primary convention/petition field, cull >= 2026-08-12 — petitioned onto ballot with 3,743 signatures"
1,0901,"Amy Chai",Republican,R,NEW,-90104,false,"only GOP candidate, nominated by acclamation","CT 2026 US House field (ctmirror.org / ctpublic.org / ctinsider.com convention coverage + FEC candidate filings); provisional pre-primary convention/petition field, cull >= 2026-08-12 — only GOP candidate, nominated by acclamation"
2,0902,"Joe Courtney",Democratic,D,REUSE,-9002,true,"","CT 2026 US House field (ctmirror.org / ctpublic.org / ctinsider.com convention coverage + FEC candidate filings); provisional pre-primary convention/petition field, cull >= 2026-08-12"
2,0902,"George Austin",Republican,R,NEW,-90201,false,"GOP convention-endorsed by acclamation, unopposed","CT 2026 US House field (ctmirror.org / ctpublic.org / ctinsider.com convention coverage + FEC candidate filings); provisional pre-primary convention/petition field, cull >= 2026-08-12 — GOP convention-endorsed by acclamation, unopposed"
3,0903,"Rosa L. DeLauro",Democratic,D,REUSE,-9003,true,"","CT 2026 US House field (ctmirror.org / ctpublic.org / ctinsider.com convention coverage + FEC candidate filings); provisional pre-primary convention/petition field, cull >= 2026-08-12"
3,0903,"Christopher Lancia",Republican,R,NEW,-90301,false,"GOP convention-endorsed via roll call","CT 2026 US House field (ctmirror.org / ctpublic.org / ctinsider.com convention coverage + FEC candidate filings); provisional pre-primary convention/petition field, cull >= 2026-08-12 — GOP convention-endorsed via roll call"
3,0903,"Rafael Irizarry",Republican,R,NEW,-90302,false,"qualified for primary at convention","CT 2026 US House field (ctmirror.org / ctpublic.org / ctinsider.com convention coverage + FEC candidate filings); provisional pre-primary convention/petition field, cull >= 2026-08-12 — qualified for primary at convention"
