external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-39012,Troy Balderson,abortion,4,"Balderson declares himself ""100% pro-life"" with a consistent anti-abortion voting record including sponsoring the Born-Alive Abortion Survivors Protection Act and voting to defund Planned Parenthood. He voted for the heartbeat bill in the Ohio legislature and pledged to fight late-term abortions, but his stated positions include exceptions consistent with value 4 rather than a complete ban with criminal penalties.",https://www.ontheissues.org/OH/Troy_Balderson.htm,https://www.ontheissues.org/OH/Troy_Balderson_Principles_+_Values.htm,,,
-39012,Troy Balderson,campaign-finance,4,"Balderson supported the Christian Coalition's position on ""Removing Campaign Free Speech Restrictions,"" treating campaign donations as protected free speech. He voted against the For the People Act (2019 and 2021) which included campaign finance reform provisions, aligning with reducing restrictions on political donations and spending.",https://www.ontheissues.org/OH/Troy_Balderson_Government_Reform.htm,https://www.ontheissues.org/OH/Troy_Balderson.htm,,Campaign donations are free speech,Campaign donations are free speech
-39012,Troy Balderson,civil-rights,5,"Balderson opposed making sexual orientation a protected class, voted against removing the ERA ratification deadline, voted against the Equity and Inclusion Enforcement Act allowing private lawsuits for school race discrimination, and voted against racial discrimination enforcement measures. His record aligns with eliminating race-based and orientation-based federal enforcement mechanisms.",https://www.ontheissues.org/OH/Troy_Balderson_Civil_Rights.htm,https://www.ontheissues.org/OH/Troy_Balderson.htm,,,
-39012,Troy Balderson,climate-change,5,"Balderson has a lifetime LCV score of 6% and scored 0% in 2024 and 2025, casting zero pro-environment votes in 2025 while voting against 33 environmental measures. He voted NO on the Clean Economy Jobs and Innovation Act and consistently opposed clean energy and climate legislation, aligning with rejecting climate change policies in favor of economic growth.",https://www.lcv.org/congressional-scorecard/moc/troy-balderson,https://www.ontheissues.org/OH/Troy_Balderson_Energy_+_Oil.htm,,,
-39012,Troy Balderson,deportation,4,"Balderson supports building a border wall and deporting those here illegally, requiring undocumented immigrants to return to their country of origin before becoming eligible for citizenship. He opposes sanctuary cities and in-state tuition for undocumented immigrants, consistent with deporting all people without legal status starting with those with criminal records.",https://www.ontheissues.org/OH/Troy_Balderson_Immigration.htm,https://www.ontheissues.org/OH/Troy_Balderson.htm,,,
-39012,Troy Balderson,fossil-fuels,5,"Balderson has a 0% LCV score in recent years and voted NO on the Clean Economy Jobs and Innovation Act providing renewable energy assistance. During his Ohio Senate tenure he chaired the Energy and Natural Resources Committee with a pro-fossil fuel record. His near-zero LCV scores reflect consistent opposition to environmental regulations on fossil fuels, aligning with removing restrictions to maximize extraction.",https://www.lcv.org/congressional-scorecard/moc/troy-balderson,https://www.ontheissues.org/OH/Troy_Balderson_Energy_+_Oil.htm,,,
-39012,Troy Balderson,healthcare,4,"Balderson supports repealing and replacing the ACA, opposed the individual mandate, and voted against Medicaid expansion in Ohio. He believes government should provide very limited healthcare assistance — his position aligns with helping only the poorest afford care while leaving everyone else to employers and private insurance, not full privatization.",https://www.ontheissues.org/OH/Troy_Balderson_Health_Care.htm,https://www.ontheissues.org/OH/Troy_Balderson.htm,,believes we must repeal and replace ObamaCare once and for all,believes we must repeal and replace a nationalized healthcare system once and for all
-39012,Troy Balderson,immigration,4,"Balderson supports building a border wall, deporting those here illegally, opposing sanctuary cities and in-state tuition for undocumented immigrants, and voted against the NO BAN Act to preserve executive travel restriction authority. He co-sponsored increasing high-skilled visa caps but overall supports making legal immigration more restrictive and limiting public services to those with legal status.",https://www.ontheissues.org/OH/Troy_Balderson_Immigration.htm,https://www.ontheissues.org/OH/Troy_Balderson.htm,,,
-39012,Troy Balderson,medicare/aid,3,"Balderson stated ""Scaling back benefits is not an option"" and that people have paid into Social Security and Medicare with the expectation of access. He proposed Medicaid drug testing (restrictive) but opposes cutting core Medicare/Social Security benefits, aligning with maintaining current programs while controlling costs rather than expanding or privatizing them.",https://www.ontheissues.org/OH/Troy_Balderson_Social_Security.htm,https://en.wikipedia.org/wiki/Troy_Balderson,,I don't believe scaling back Social Security or Medicare are options--people have paid into these programs with the expectation that they will be made available to them as they age and retire.,Scaling back Social Security or Medicare are not options — people have paid into these programs with the expectation that they will be made available to them as they age and retire.
-39012,Troy Balderson,misinformation,4,"Balderson voted NO on net neutrality regulation (2019) and consistently opposed government regulation of online speech and content. His voting record reflects a position of protecting free speech online and preventing government censorship, rather than mandating content removal or algorithm transparency.",https://www.ontheissues.org/OH/Troy_Balderson.htm,https://www.ontheissues.org/OH/Troy_Balderson_Government_Reform.htm,,,
