external_id,full_name,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3,quote_text,quote_deidentified
-37003,Gregory F. Murphy,healthcare,4,"Murphy is a practicing urologist who called the ACA 'one of worst pieces of legislation ever passed' and consistently opposed its expansion. His stated position favors keeping government assistance limited to those who cannot afford care while leaving others to employers and private insurance markets.",https://www.ontheissues.org/NC/Greg_Murphy.htm,,,"""ObamaCare was one of worst pieces of legislation ever passed.""","""The current healthcare law was one of worst pieces of legislation ever passed."""
-37003,Gregory F. Murphy,abortion,4,"Murphy declared 'Protect the innocent unborn; reduce barriers to adoption' and sponsored the Born-Alive Abortion Survivors Protection Act in November 2019, reflecting a strong pro-life position focused on restricting abortion to narrow circumstances such as rape, incest, or serious threat to the mother's life.",https://www.ontheissues.org/NC/Greg_Murphy.htm,https://en.wikipedia.org/wiki/Greg_Murphy_(politician),,"""Protect the innocent unborn; reduce barriers to adoption.""","""Protect the innocent unborn; reduce barriers to adoption."""
-37003,Gregory F. Murphy,tariffs,3,"Murphy backed the USMCA as his primary trade stance ('Implement USMCA for improved North American trade'), indicating support for selective managed trade agreements that protect key industries rather than pure free trade or across-the-board high tariffs.",https://www.ontheissues.org/NC/Greg_Murphy.htm,,,"""Implement USMCA for improved North American trade.""","""Implement USMCA for improved North American trade."""
-37003,Gregory F. Murphy,taxes,4,"Murphy consistently opposes higher taxes on wealthy individuals and supports reducing the tax burden, citing the national debt ('$22T debt mortgages our children's futures') as justification for curtailing spending and cutting taxes across income levels.",https://www.ontheissues.org/NC/Greg_Murphy.htm,,,"""Curtail spending; $22T debt mortgages our children's futures.""","""Curtail spending; $22T debt mortgages our children's futures."""
-37003,Gregory F. Murphy,fossil-fuels,5,"The League of Conservation Voters gave Murphy a 0% score in 2025 and a 6% lifetime score. He voted against methane pollution safeguards, opposed offshore wind funding, defunded clean energy programs, and supported opening public lands to mining — consistent with maximizing fossil fuel extraction with minimal environmental restrictions.",https://www.lcv.org/congressional-scorecard/moc/greg-murphy,,,,
-37003,Gregory F. Murphy,voting-rights,4,"Murphy opposed expanding voter registration and access, voted against measures to broaden mail-in and early voting, and signed an amicus brief supporting Texas v. Pennsylvania challenging 2020 election results in multiple states. His record aligns with requiring photo ID and regularly updating voter rolls.",https://www.ontheissues.org/NC/Greg_Murphy.htm,https://en.wikipedia.org/wiki/Greg_Murphy_(politician),,,
-37003,Gregory F. Murphy,deportation,4,"Murphy stated 'Oppose amnesty & enforce the laws already in place,' supports a border wall, and backs immigration bans from non-cooperating countries. His position favors deporting all people without legal status, prioritizing those with criminal records first.",https://www.ontheissues.org/NC/Greg_Murphy.htm,,,"""Oppose amnesty & enforce the laws already in place.""","""Oppose amnesty & enforce the laws already in place."""
-37003,Gregory F. Murphy,climate-change,5,"Murphy received a 0% LCV score in 2025 and a 6% lifetime score, voting against every major clean energy and climate measure including clean air standards, renewable energy investment, and endangered species protections. His record reflects rejection of climate change policies in favor of economic and energy production priorities.",https://www.lcv.org/congressional-scorecard/moc/greg-murphy,,,,
-37003,Gregory F. Murphy,civil-rights,5,"Murphy wrote in the Wall Street Journal that diversity training in medicine is dangerous everywhere and warned it would produce future physicians less qualified to meet patients' needs, reflecting opposition to DEI requirements and race-based institutional programs.",https://en.wikipedia.org/wiki/Greg_Murphy_(politician),,,,
-37003,Gregory F. Murphy,immigration,4,"Murphy stated 'Oppose amnesty & enforce the laws already in place,' supports the border wall, opposes pathways for undocumented immigrants, and backs immigration bans from countries that do not cooperate with U.S. enforcement — consistent with making it harder to immigrate legally and limiting public services to those with legal status.",https://www.ontheissues.org/NC/Greg_Murphy.htm,,,"""Oppose amnesty & enforce the laws already in place.""","""Oppose amnesty & enforce the laws already in place."""
